strategy,exit_method,hy_oas_band_at_entry,n,win_rate,avg_pnl_pct,total_pnl_pct
avwap_50_reclaim,atr_trail_1x,no_data,1,0.0,-0.8026,-0.8026
avwap_50_reclaim,atr_trail_1x,normal_3_5,4,0.25,-0.76495,-3.0598
avwap_50_reclaim,atr_trail_2x,no_data,1,0.0,-2.2308,-2.2308
avwap_50_reclaim,atr_trail_2x,normal_3_5,4,0.5,1.142,4.568
avwap_50_reclaim,atr_trail_mae_conditional,no_data,1,0.0,-0.8026,-0.8026
avwap_50_reclaim,atr_trail_mae_conditional,normal_3_5,4,0.25,-0.76495,-3.0598
avwap_50_reclaim,atr_trail_vix_conditional,no_data,1,0.0,-1.4384,-1.4384
avwap_50_reclaim,atr_trail_vix_conditional,normal_3_5,4,0.0,-0.844475,-3.3779
avwap_50_reclaim,break_even_at_1r,no_data,1,0.0,-1.854,-1.854
avwap_50_reclaim,break_even_at_1r,normal_3_5,4,0.25,-1.0648,-4.2592
avwap_50_reclaim,breakeven_plus_trail,no_data,1,0.0,0.0,0.0
avwap_50_reclaim,breakeven_plus_trail,normal_3_5,4,0.5,0.3752249999999999,1.5008999999999997
avwap_50_reclaim,chandelier_3x,no_data,1,0.0,-2.4983,-2.4983
avwap_50_reclaim,chandelier_3x,normal_3_5,4,0.5,0.9970249999999998,3.9880999999999993
avwap_50_reclaim,class_time_stop,no_data,1,0.0,-1.945,-1.945
avwap_50_reclaim,class_time_stop,normal_3_5,4,1.0,6.6084000000000005,26.433600000000002
avwap_50_reclaim,earnings_blackout,no_data,1,0.0,-29.3989,-29.3989
avwap_50_reclaim,earnings_blackout,normal_3_5,4,0.5,0.6693749999999998,2.6774999999999993
avwap_50_reclaim,fixed_4r_2r,no_data,1,0.0,-3.708,-3.708
avwap_50_reclaim,fixed_4r_2r,normal_3_5,4,0.5,2.5658,10.2632
avwap_50_reclaim,hybrid_50pct_target,no_data,1,0.0,-10.0,-10.0
avwap_50_reclaim,hybrid_50pct_target,normal_3_5,4,1.0,6.29925,25.197
avwap_50_reclaim,ma_exit_ema9,no_data,1,0.0,-0.6716,-0.6716
avwap_50_reclaim,ma_exit_ema9,normal_3_5,4,0.5,1.93955,7.7582
avwap_50_reclaim,mfe_lockin_trail,no_data,1,0.0,-0.8026,-0.8026
avwap_50_reclaim,mfe_lockin_trail,normal_3_5,4,0.25,-0.76495,-3.0598
avwap_50_reclaim,multi_tier_partial,no_data,1,0.0,-0.8026,-0.8026
avwap_50_reclaim,multi_tier_partial,normal_3_5,4,0.25,-0.649,-2.596
avwap_50_reclaim,next_pivot_target,no_data,1,1.0,0.0963,0.0963
avwap_50_reclaim,next_pivot_target,normal_3_5,4,0.75,1.2302499999999998,4.920999999999999
avwap_50_reclaim,r_multiple_2r,no_data,1,0.0,-1.854,-1.854
avwap_50_reclaim,r_multiple_2r,normal_3_5,4,0.25,-0.26235000000000014,-1.0494000000000006
avwap_50_reclaim,r_multiple_3r,no_data,1,0.0,-1.854,-1.854
avwap_50_reclaim,r_multiple_3r,normal_3_5,4,0.25,0.2684999999999999,1.0739999999999996
avwap_50_reclaim,regime_flip,no_data,1,0.0,-0.3157,-0.3157
avwap_50_reclaim,regime_flip,normal_3_5,4,1.0,5.7833749999999995,23.133499999999998
avwap_50_reclaim,reverse_signal,no_data,1,0.0,-0.8026,-0.8026
avwap_50_reclaim,reverse_signal,normal_3_5,4,0.25,-0.76495,-3.0598
avwap_50_reclaim,smc_mitigation_zone,no_data,1,0.0,-0.6716,-0.6716
avwap_50_reclaim,smc_mitigation_zone,normal_3_5,4,0.75,-0.1337,-0.5348
avwap_50_reclaim,time_stop_10d,no_data,1,0.0,-1.5143,-1.5143
avwap_50_reclaim,time_stop_10d,normal_3_5,4,0.5,0.3715499999999998,1.4861999999999993
avwap_50_reclaim,time_stop_20d,no_data,1,0.0,-0.3157,-0.3157
avwap_50_reclaim,time_stop_20d,normal_3_5,4,1.0,5.7833749999999995,23.133499999999998
avwap_50_reclaim,trailing_10pct,no_data,1,0.0,-7.1155,-7.1155
avwap_50_reclaim,trailing_10pct,normal_3_5,4,1.0,7.034025,28.1361
avwap_50_reclaim,trailing_15pct,no_data,1,0.0,-12.2758,-12.2758
avwap_50_reclaim,trailing_15pct,normal_3_5,4,0.75,4.083325,16.3333
avwap_50_reclaim,trailing_5pct,no_data,1,0.0,-1.9553,-1.9553
avwap_50_reclaim,trailing_5pct,normal_3_5,4,0.5,0.20639999999999992,0.8255999999999997
bollinger_lower,atr_trail_1x,no_data,19,0.15789473684210525,-0.303242105263158,-5.761600000000001
bollinger_lower,atr_trail_2x,no_data,19,0.21052631578947367,-2.2382315789473686,-42.5264
bollinger_lower,atr_trail_mae_conditional,no_data,19,0.15789473684210525,-0.303242105263158,-5.761600000000001
bollinger_lower,atr_trail_vix_conditional,no_data,19,0.15789473684210525,-1.3996,-26.592399999999998
bollinger_lower,break_even_at_1r,no_data,19,0.10526315789473684,-1.1915473684210525,-22.6394
bollinger_lower,breakeven_plus_trail,no_data,19,0.15789473684210525,-0.7864789473684212,-14.943100000000001
bollinger_lower,chandelier_3x,no_data,19,0.0,-0.26501052631578953,-5.035200000000001
bollinger_lower,class_time_stop,no_data,19,0.42105263157894735,-0.24439473684210528,-4.6435
bollinger_lower,earnings_blackout,no_data,19,0.5789473684210527,11.027436842105264,209.5213
bollinger_lower,fixed_4r_2r,no_data,19,0.2631578947368421,1.9454105263157895,36.9628
bollinger_lower,hybrid_50pct_target,no_data,19,0.5263157894736842,0.3148736842105266,5.982600000000005
bollinger_lower,ma_exit_ema9,no_data,19,0.42105263157894735,-0.03211052631578948,-0.6101000000000001
bollinger_lower,mfe_lockin_trail,no_data,19,0.15789473684210525,-0.4770842105263159,-9.064600000000002
bollinger_lower,multi_tier_partial,no_data,19,0.21052631578947367,-0.579336842105263,-11.007399999999999
bollinger_lower,next_pivot_target,no_data,19,0.5263157894736842,-1.9042315789473683,-36.1804
bollinger_lower,r_multiple_2r,no_data,19,0.15789473684210525,-0.9622,-18.2818
bollinger_lower,r_multiple_3r,no_data,19,0.10526315789473684,-0.5889315789473684,-11.189699999999998
bollinger_lower,regime_flip,no_data,19,0.3684210526315789,0.8178789473684208,15.539699999999996
bollinger_lower,reverse_signal,no_data,19,0.15789473684210525,-0.303242105263158,-5.761600000000001
