strategy,exit_method,news_sentiment_shift_during_hold,n,win_rate,avg_pnl_pct,total_pnl_pct
avwap_50_reclaim,atr_trail_1x,high_gt_20,4,0.25,-0.66805,-2.6722
avwap_50_reclaim,atr_trail_1x,mid_6_20,1,0.0,-1.1902,-1.1902
avwap_50_reclaim,atr_trail_2x,high_gt_20,4,0.5,1.13265,4.5306
avwap_50_reclaim,atr_trail_2x,mid_6_20,1,0.0,-2.1934,-2.1934
avwap_50_reclaim,atr_trail_mae_conditional,high_gt_20,4,0.25,-0.66805,-2.6722
avwap_50_reclaim,atr_trail_mae_conditional,mid_6_20,1,0.0,-1.1902,-1.1902
avwap_50_reclaim,atr_trail_vix_conditional,high_gt_20,4,0.0,-1.11605,-4.4642
avwap_50_reclaim,atr_trail_vix_conditional,mid_6_20,1,0.0,-0.3521,-0.3521
avwap_50_reclaim,break_even_at_1r,high_gt_20,4,0.25,-1.0125000000000002,-4.050000000000001
avwap_50_reclaim,break_even_at_1r,mid_6_20,1,0.0,-2.0632,-2.0632
avwap_50_reclaim,breakeven_plus_trail,high_gt_20,4,0.5,1.406825,5.6273
avwap_50_reclaim,breakeven_plus_trail,mid_6_20,1,0.0,-4.1264,-4.1264
avwap_50_reclaim,chandelier_3x,high_gt_20,4,0.5,1.1484249999999998,4.593699999999999
avwap_50_reclaim,chandelier_3x,mid_6_20,1,0.0,-3.1039,-3.1039
avwap_50_reclaim,class_time_stop,high_gt_20,4,0.75,4.897575,19.5903
avwap_50_reclaim,class_time_stop,mid_6_20,1,1.0,4.8983,4.8983
avwap_50_reclaim,earnings_blackout,high_gt_20,4,0.25,-6.87445,-27.4978
avwap_50_reclaim,earnings_blackout,mid_6_20,1,1.0,0.7764,0.7764
avwap_50_reclaim,fixed_4r_2r,high_gt_20,4,0.5,2.6704,10.6816
avwap_50_reclaim,fixed_4r_2r,mid_6_20,1,0.0,-4.1264,-4.1264
avwap_50_reclaim,hybrid_50pct_target,high_gt_20,4,0.75,1.614375,6.4575
avwap_50_reclaim,hybrid_50pct_target,mid_6_20,1,1.0,8.7395,8.7395
avwap_50_reclaim,ma_exit_ema9,high_gt_20,4,0.5,2.2528750000000004,9.011500000000002
avwap_50_reclaim,ma_exit_ema9,mid_6_20,1,0.0,-1.9249,-1.9249
avwap_50_reclaim,mfe_lockin_trail,high_gt_20,4,0.25,-0.66805,-2.6722
avwap_50_reclaim,mfe_lockin_trail,mid_6_20,1,0.0,-1.1902,-1.1902
avwap_50_reclaim,multi_tier_partial,high_gt_20,4,0.25,-0.5521,-2.2084
avwap_50_reclaim,multi_tier_partial,mid_6_20,1,0.0,-1.1902,-1.1902
avwap_50_reclaim,next_pivot_target,high_gt_20,4,1.0,2.285925,9.1437
avwap_50_reclaim,next_pivot_target,mid_6_20,1,0.0,-4.1264,-4.1264
avwap_50_reclaim,r_multiple_2r,high_gt_20,4,0.25,-0.21005000000000007,-0.8402000000000003
avwap_50_reclaim,r_multiple_2r,mid_6_20,1,0.0,-2.0632,-2.0632
avwap_50_reclaim,r_multiple_3r,high_gt_20,4,0.25,0.3208,1.2832
avwap_50_reclaim,r_multiple_3r,mid_6_20,1,0.0,-2.0632,-2.0632
avwap_50_reclaim,regime_flip,high_gt_20,4,0.75,4.585025,18.3401
avwap_50_reclaim,regime_flip,mid_6_20,1,1.0,4.4777,4.4777
avwap_50_reclaim,reverse_signal,high_gt_20,4,0.25,-0.66805,-2.6722
avwap_50_reclaim,reverse_signal,mid_6_20,1,0.0,-1.1902,-1.1902
avwap_50_reclaim,smc_mitigation_zone,high_gt_20,4,0.5,-0.325575,-1.3023
avwap_50_reclaim,smc_mitigation_zone,mid_6_20,1,1.0,0.0959,0.0959
avwap_50_reclaim,time_stop_10d,high_gt_20,4,0.5,0.4718499999999999,1.8873999999999995
avwap_50_reclaim,time_stop_10d,mid_6_20,1,0.0,-1.9155,-1.9155
avwap_50_reclaim,time_stop_20d,high_gt_20,4,0.75,4.585025,18.3401
avwap_50_reclaim,time_stop_20d,mid_6_20,1,1.0,4.4777,4.4777
avwap_50_reclaim,trailing_10pct,high_gt_20,4,0.75,2.4328,9.7312
avwap_50_reclaim,trailing_10pct,mid_6_20,1,1.0,11.2894,11.2894
avwap_50_reclaim,trailing_15pct,high_gt_20,4,0.5,-0.7999,-3.1996
avwap_50_reclaim,trailing_15pct,mid_6_20,1,1.0,7.2571,7.2571
avwap_50_reclaim,trailing_5pct,high_gt_20,4,0.5,0.5802499999999999,2.3209999999999997
avwap_50_reclaim,trailing_5pct,mid_6_20,1,0.0,-3.4507,-3.4507
bollinger_lower,atr_trail_1x,high_gt_20,10,0.2,0.5456200000000001,5.456200000000001
bollinger_lower,atr_trail_1x,low_1_5,2,0.0,-1.50885,-3.0177
bollinger_lower,atr_trail_1x,mid_6_20,7,0.14285714285714285,-1.171442857142857,-8.200099999999999
bollinger_lower,atr_trail_2x,high_gt_20,10,0.1,-2.51068,-25.1068
bollinger_lower,atr_trail_2x,low_1_5,2,0.5,-2.68235,-5.3647
bollinger_lower,atr_trail_2x,mid_6_20,7,0.2857142857142857,-1.7221285714285715,-12.0549
bollinger_lower,atr_trail_mae_conditional,high_gt_20,10,0.2,0.5456200000000001,5.456200000000001
bollinger_lower,atr_trail_mae_conditional,low_1_5,2,0.0,-1.50885,-3.0177
bollinger_lower,atr_trail_mae_conditional,mid_6_20,7,0.14285714285714285,-1.171442857142857,-8.200099999999999
bollinger_lower,atr_trail_vix_conditional,high_gt_20,10,0.2,-0.95708,-9.5708
bollinger_lower,atr_trail_vix_conditional,low_1_5,2,0.0,-3.04185,-6.0837
bollinger_lower,atr_trail_vix_conditional,mid_6_20,7,0.14285714285714285,-1.5625571428571428,-10.937899999999999
bollinger_lower,break_even_at_1r,high_gt_20,10,0.2,-0.38978999999999997,-3.8979
bollinger_lower,break_even_at_1r,low_1_5,2,0.0,-1.50885,-3.0177
bollinger_lower,break_even_at_1r,mid_6_20,7,0.0,-2.246257142857143,-15.7238
bollinger_lower,breakeven_plus_trail,high_gt_20,10,0.2,-0.8730800000000001,-8.7308
bollinger_lower,breakeven_plus_trail,low_1_5,2,0.0,-2.56975,-5.1395
bollinger_lower,breakeven_plus_trail,mid_6_20,7,0.14285714285714285,-0.15325714285714298,-1.0728000000000009
bollinger_lower,chandelier_3x,high_gt_20,10,0.0,-0.15949,-1.5949
bollinger_lower,chandelier_3x,low_1_5,2,0.0,-0.2768,-0.5536
bollinger_lower,chandelier_3x,mid_6_20,7,0.0,-0.4123857142857143,-2.8867000000000003
bollinger_lower,class_time_stop,high_gt_20,10,0.5,-0.9955399999999998,-9.955399999999997
bollinger_lower,class_time_stop,low_1_5,2,0.5,-1.9924499999999998,-3.9848999999999997
bollinger_lower,class_time_stop,mid_6_20,7,0.2857142857142857,1.3281142857142858,9.296800000000001
bollinger_lower,earnings_blackout,high_gt_20,10,0.7,17.748269999999998,177.4827
bollinger_lower,earnings_blackout,low_1_5,2,0.5,4.652099999999999,9.304199999999998
bollinger_lower,earnings_blackout,mid_6_20,7,0.42857142857142855,3.2477714285714288,22.7344
bollinger_lower,fixed_4r_2r,high_gt_20,10,0.2,1.3284799999999999,13.284799999999999
bollinger_lower,fixed_4r_2r,low_1_5,2,0.5,4.471550000000001,8.943100000000001
bollinger_lower,fixed_4r_2r,mid_6_20,7,0.2857142857142857,2.1049857142857142,14.7349
bollinger_lower,hybrid_50pct_target,high_gt_20,10,0.6,2.25503,22.5503
bollinger_lower,hybrid_50pct_target,low_1_5,2,0.5,-1.22405,-2.4481
bollinger_lower,hybrid_50pct_target,mid_6_20,7,0.42857142857142855,-2.017085714285714,-14.119599999999998
bollinger_lower,ma_exit_ema9,high_gt_20,10,0.5,0.08757999999999999,0.8757999999999999
bollinger_lower,ma_exit_ema9,low_1_5,2,0.5,0.28044999999999987,0.5608999999999997
bollinger_lower,ma_exit_ema9,mid_6_20,7,0.2857142857142857,-0.29240000000000005,-2.0468
bollinger_lower,mfe_lockin_trail,high_gt_20,10,0.2,0.21532,2.1532
bollinger_lower,mfe_lockin_trail,low_1_5,2,0.0,-1.50885,-3.0177
bollinger_lower,mfe_lockin_trail,mid_6_20,7,0.14285714285714285,-1.171442857142857,-8.200099999999999
bollinger_lower,multi_tier_partial,high_gt_20,10,0.2,-0.1491099999999999,-1.4910999999999992
bollinger_lower,multi_tier_partial,low_1_5,2,0.5,-0.83635,-1.6727
