strategy,exit_method,sector,n,win_rate,avg_pnl_pct,total_pnl_pct
avwap_50_reclaim,atr_trail_1x,Broad Market,1,0.0,-0.602,-0.602
avwap_50_reclaim,atr_trail_1x,Communication Services,1,0.0,-0.8026,-0.8026
avwap_50_reclaim,atr_trail_1x,Consumer Discretionary,1,0.0,-1.9995,-1.9995
avwap_50_reclaim,atr_trail_1x,Health Care,2,0.5,-0.22914999999999996,-0.45829999999999993
avwap_50_reclaim,atr_trail_2x,Broad Market,1,0.0,-1.841,-1.841
avwap_50_reclaim,atr_trail_2x,Communication Services,1,0.0,-2.2308,-2.2308
avwap_50_reclaim,atr_trail_2x,Consumer Discretionary,1,1.0,3.3691,3.3691
avwap_50_reclaim,atr_trail_2x,Health Care,2,0.5,1.51995,3.0399
avwap_50_reclaim,atr_trail_mae_conditional,Broad Market,1,0.0,-0.602,-0.602
avwap_50_reclaim,atr_trail_mae_conditional,Communication Services,1,0.0,-0.8026,-0.8026
avwap_50_reclaim,atr_trail_mae_conditional,Consumer Discretionary,1,0.0,-1.9995,-1.9995
avwap_50_reclaim,atr_trail_mae_conditional,Health Care,2,0.5,-0.22914999999999996,-0.45829999999999993
avwap_50_reclaim,atr_trail_vix_conditional,Broad Market,1,0.0,-0.602,-0.602
avwap_50_reclaim,atr_trail_vix_conditional,Communication Services,1,0.0,-1.4384,-1.4384
avwap_50_reclaim,atr_trail_vix_conditional,Consumer Discretionary,1,0.0,-1.4996,-1.4996
avwap_50_reclaim,atr_trail_vix_conditional,Health Care,2,0.0,-0.63815,-1.2763
avwap_50_reclaim,break_even_at_1r,Broad Market,1,0.0,-1.2333,-1.2333
avwap_50_reclaim,break_even_at_1r,Communication Services,1,0.0,-1.854,-1.854
avwap_50_reclaim,break_even_at_1r,Consumer Discretionary,1,0.0,-1.9995,-1.9995
avwap_50_reclaim,break_even_at_1r,Health Care,2,0.5,-0.5132000000000001,-1.0264000000000002
avwap_50_reclaim,breakeven_plus_trail,Broad Market,1,0.0,-2.4665,-2.4665
avwap_50_reclaim,breakeven_plus_trail,Communication Services,1,0.0,0.0,0.0
avwap_50_reclaim,breakeven_plus_trail,Consumer Discretionary,1,1.0,7.057,7.057
avwap_50_reclaim,breakeven_plus_trail,Health Care,2,0.5,-1.5448000000000002,-3.0896000000000003
avwap_50_reclaim,chandelier_3x,Broad Market,1,0.0,-1.0142,-1.0142
avwap_50_reclaim,chandelier_3x,Communication Services,1,0.0,-2.4983,-2.4983
avwap_50_reclaim,chandelier_3x,Consumer Discretionary,1,1.0,2.8766,2.8766
avwap_50_reclaim,chandelier_3x,Health Care,2,0.5,1.0628499999999999,2.1256999999999997
avwap_50_reclaim,class_time_stop,Broad Market,1,1.0,4.8469,4.8469
avwap_50_reclaim,class_time_stop,Communication Services,1,0.0,-1.945,-1.945
avwap_50_reclaim,class_time_stop,Consumer Discretionary,1,1.0,10.5928,10.5928
avwap_50_reclaim,class_time_stop,Health Care,2,1.0,5.49695,10.9939
avwap_50_reclaim,earnings_blackout,Broad Market,1,1.0,9.7054,9.7054
avwap_50_reclaim,earnings_blackout,Communication Services,1,0.0,-29.3989,-29.3989
avwap_50_reclaim,earnings_blackout,Consumer Discretionary,1,0.0,-2.5887,-2.5887
avwap_50_reclaim,earnings_blackout,Health Care,2,0.5,-2.2196000000000002,-4.4392000000000005
avwap_50_reclaim,fixed_4r_2r,Broad Market,1,0.0,-2.4665,-2.4665
avwap_50_reclaim,fixed_4r_2r,Communication Services,1,0.0,-3.708,-3.708
avwap_50_reclaim,fixed_4r_2r,Consumer Discretionary,1,1.0,8.3628,8.3628
avwap_50_reclaim,fixed_4r_2r,Health Care,2,0.5,2.1834499999999997,4.366899999999999
avwap_50_reclaim,hybrid_50pct_target,Broad Market,1,1.0,6.7026,6.7026
avwap_50_reclaim,hybrid_50pct_target,Communication Services,1,0.0,-10.0,-10.0
avwap_50_reclaim,hybrid_50pct_target,Consumer Discretionary,1,1.0,6.0515,6.0515
avwap_50_reclaim,hybrid_50pct_target,Health Care,2,1.0,6.22145,12.4429
