strategy,point_sharpe,ci_low,ci_high,n_trades,method
avwap_252_breakout,-5.62019351832394,,,8,insufficient_sample
avwap_50_reclaim,6.559169519949217,,,18,insufficient_sample
bollinger_lower,-2.5577840380715138,,,20,insufficient_sample
bollinger_tight,7.822604002741199,,,3,insufficient_sample
buyback_8k_recent_long,0.9116491630378896,,,24,insufficient_sample
cmf_flip,4.331867739753383,,,4,insufficient_sample
cpr_narrow_bullish,-2.7842459986878803,,,18,insufficient_sample
cpr_narrow_momentum,78.75729709662367,,,2,insufficient_sample
htf_aligned_breakout_long,5.355519323827213,,,16,insufficient_sample
htf_aligned_breakout_short,-1.1082015486948302,,,13,insufficient_sample
hull_rsi,-8.450290341350177,,,13,insufficient_sample
macd_fast_crossover,-18.66045394843955,,,6,insufficient_sample
monthly_bias_momentum_long,2.977032213540925,,,26,insufficient_sample
orb_stocks_in_play_long,2.342045412071576,-3.179894627001214,7.052804829007823,35,bootstrap
orb_stocks_in_play_short,-10.650938064084702,,,14,insufficient_sample
pivot_r1_breakout,4.055436063452639,,,10,insufficient_sample
po3_bearish,-0.799262588579795,,,19,insufficient_sample
po3_bullish,-7.18069300404515,,,19,insufficient_sample
po3_htf_aligned_short,0.0,,,1,insufficient_sample
smc_bos_continuation,-6.58100573740047,,,19,insufficient_sample
smc_bos_retest_entry,-26.583307909491232,,,2,insufficient_sample
smc_choch_reversal,-5.112435411358184,,,19,insufficient_sample
smc_inverse_fvg,1.580988110024226,,,28,insufficient_sample
smc_liquidity_sweep_reversal,-17.20237817737201,,,3,insufficient_sample
smc_order_block_bounce,0.0,,,1,insufficient_sample
smc_premium_short,0.0,,,1,insufficient_sample
stochrsi_overbought_short,-17.07167195411195,,,9,insufficient_sample
stochrsi_oversold,6.680471659974852,,,2,insufficient_sample
ultimate_oscillator,-2.3547654836138907,,,4,insufficient_sample
volume_spike_breakout,0.0,,,1,insufficient_sample
williams_r_oversold,11.067215169994672,,,5,insufficient_sample
xs_combined_momentum_low_ivol,0.0,,,1,insufficient_sample
xs_low_beta_long,2.2676486368264035,-5.214208168495303,6.1748518334492255,30,bootstrap
xs_momentum_bottom_decile_short,0.14091244652221022,,,4,insufficient_sample
xs_momentum_top_decile,3.109255675676922,,,12,insufficient_sample
