strategy,sharpe_adj,win_rate_adj,profit_factor_adj,haircut_pct_applied
cpr_narrow_momentum,0.0,0.8,inf,0.4
bollinger_tight,0.0,0.60003,3.30679,0.2
avwap_50_reclaim,0.0,0.60003,2.40283,0.2
williams_r_oversold,0.0,0.54,6.46525,0.2
stochrsi_oversold,0.0,0.4,3.352,0.4
pivot_r1_breakout,0.0,0.4,2.35976,0.4
cmf_flip,0.0,0.45,1.9152999999999998,0.2
xs_momentum_top_decile,0.0,0.4,1.65,0.4
cpr_narrow_bullish,0.0,0.39996000000000004,0.6279,0.2
xs_low_beta_long,0.0,0.36000000000000004,1.63945,0.2
orb_stocks_in_play_long,0.0,0.33426,1.48159,0.2
po3_bearish,0.0,0.33156,0.8804,0.2
smc_choch_reversal,0.0,0.33156,0.4549,0.2
smc_inverse_fvg,0.0,0.32139,1.30717,0.2
monthly_bias_momentum_long,0.0,0.27696000000000004,1.76472,0.4
po3_bullish,0.0,0.28422000000000003,0.2205,0.2
htf_aligned_breakout_long,0.0,0.25,2.84384,0.4
htf_aligned_breakout_short,0.0,0.24616,0.8285,0.4
hull_rsi,0.0,0.24616,0.3089,0.4
smc_bos_continuation,0.0,0.23688,0.3374,0.2
xs_momentum_bottom_decile_short,0.0,0.2,1.01928,0.4
ultimate_oscillator,0.0,0.225,0.6944,0.2
avwap_252_breakout,0.0,0.2,0.4453,0.4
orb_stocks_in_play_short,0.0,0.19286999999999999,0.177,0.2
buyback_8k_recent_long,0.0,0.15003,1.29979,0.2
macd_fast_crossover,0.0,0.13336,0.0806,0.4
bollinger_lower,0.0,0.135,0.6525,0.2
stochrsi_overbought_short,0.0,0.08888000000000001,0.0265,0.4
po3_htf_aligned_short,0.0,0.0,0.0,0.2
smc_bos_retest_entry,0.0,0.0,0.0,0.2
smc_liquidity_sweep_reversal,0.0,0.0,0.0,0.2
smc_premium_short,0.0,0.0,0.0,0.2
xs_combined_momentum_low_ivol,0.0,0.0,0.0,0.4
smc_order_block_bounce,0.0,0.0,0.0,0.2
volume_spike_breakout,0.0,0.0,0.0,0.4
