strategy,exit_method,confidence_tier,n,win_rate,avg_pnl_pct,total_pnl_pct
avwap_252_breakout,atr_trail_1x,HIGH,7,0.0,-2.1199857142857144,-14.8399
avwap_252_breakout,atr_trail_1x,VERY_HIGH,1,0.0,-3.3226,-3.3226
avwap_252_breakout,atr_trail_2x,HIGH,7,0.2857142857142857,-1.4131857142857147,-9.892300000000002
avwap_252_breakout,atr_trail_2x,VERY_HIGH,1,0.0,-6.6452,-6.6452
avwap_252_breakout,atr_trail_mae_conditional,HIGH,7,0.0,-2.1199857142857144,-14.8399
avwap_252_breakout,atr_trail_mae_conditional,VERY_HIGH,1,0.0,-3.3226,-3.3226
avwap_252_breakout,atr_trail_vix_conditional,HIGH,7,0.14285714285714285,-2.0937428571428573,-14.6562
avwap_252_breakout,atr_trail_vix_conditional,VERY_HIGH,1,0.0,-5.3694,-5.3694
avwap_252_breakout,break_even_at_1r,HIGH,7,0.0,-2.2761285714285715,-15.9329
avwap_252_breakout,break_even_at_1r,VERY_HIGH,1,0.0,-3.3226,-3.3226
avwap_252_breakout,breakeven_plus_trail,HIGH,7,0.14285714285714285,-1.9027285714285715,-13.3191
avwap_252_breakout,breakeven_plus_trail,VERY_HIGH,1,1.0,7.4221,7.4221
avwap_252_breakout,chandelier_3x,HIGH,7,0.14285714285714285,-2.0724,-14.5068
avwap_252_breakout,chandelier_3x,VERY_HIGH,1,0.0,-6.5715,-6.5715
avwap_252_breakout,class_time_stop,HIGH,7,0.42857142857142855,-0.2916857142857146,-2.041800000000002
avwap_252_breakout,class_time_stop,VERY_HIGH,1,1.0,7.4221,7.4221
avwap_252_breakout,earnings_blackout,HIGH,7,0.2857142857142857,-27.867271428571428,-195.0709
avwap_252_breakout,earnings_blackout,VERY_HIGH,1,1.0,7.4221,7.4221
avwap_252_breakout,fixed_4r_2r,HIGH,7,0.14285714285714285,-3.040785714285714,-21.2855
avwap_252_breakout,fixed_4r_2r,VERY_HIGH,1,0.0,-6.6452,-6.6452
avwap_252_breakout,hybrid_50pct_target,HIGH,7,1.0,6.600642857142857,46.204499999999996
avwap_252_breakout,hybrid_50pct_target,VERY_HIGH,1,1.0,7.4221,7.4221
avwap_252_breakout,ma_exit_ema9,HIGH,7,0.14285714285714285,-2.7711,-19.3977
avwap_252_breakout,ma_exit_ema9,VERY_HIGH,1,0.0,-4.2445,-4.2445
avwap_252_breakout,mfe_lockin_trail,HIGH,7,0.14285714285714285,-1.4500285714285714,-10.1502
avwap_252_breakout,mfe_lockin_trail,VERY_HIGH,1,0.0,-3.3226,-3.3226
avwap_252_breakout,multi_tier_partial,HIGH,7,0.2857142857142857,-1.4246999999999999,-9.9729
avwap_252_breakout,multi_tier_partial,VERY_HIGH,1,0.0,-3.3226,-3.3226
avwap_252_breakout,next_pivot_target,HIGH,7,0.42857142857142855,-2.6287142857142856,-18.401
avwap_252_breakout,next_pivot_target,VERY_HIGH,1,1.0,3.8386,3.8386
avwap_252_breakout,r_multiple_2r,HIGH,7,0.2857142857142857,-0.4062714285714285,-2.8438999999999997
avwap_252_breakout,r_multiple_2r,VERY_HIGH,1,0.0,-3.3226,-3.3226
avwap_252_breakout,r_multiple_3r,HIGH,7,0.14285714285714285,-0.9711285714285712,-6.7978999999999985
avwap_252_breakout,r_multiple_3r,VERY_HIGH,1,0.0,-3.3226,-3.3226
avwap_252_breakout,regime_flip,HIGH,7,0.14285714285714285,-3.1915428571428572,-22.3408
avwap_252_breakout,regime_flip,VERY_HIGH,1,1.0,7.4221,7.4221
avwap_252_breakout,reverse_signal,HIGH,7,0.0,-2.1199857142857144,-14.8399
avwap_252_breakout,reverse_signal,VERY_HIGH,1,0.0,-3.3226,-3.3226
avwap_252_breakout,smc_mitigation_zone,HIGH,7,0.0,-2.1199857142857144,-14.8399
avwap_252_breakout,smc_mitigation_zone,VERY_HIGH,1,0.0,-3.3226,-3.3226
avwap_252_breakout,time_stop_10d,HIGH,7,0.42857142857142855,-0.39969999999999983,-2.797899999999999
avwap_252_breakout,time_stop_10d,VERY_HIGH,1,1.0,7.4221,7.4221
avwap_252_breakout,time_stop_20d,HIGH,7,0.14285714285714285,-3.1915428571428572,-22.3408
avwap_252_breakout,time_stop_20d,VERY_HIGH,1,1.0,7.4221,7.4221
avwap_252_breakout,trailing_10pct,HIGH,7,0.42857142857142855,-1.228714285714286,-8.601000000000003
avwap_252_breakout,trailing_10pct,VERY_HIGH,1,1.0,7.4221,7.4221
avwap_252_breakout,trailing_15pct,HIGH,7,0.2857142857142857,-5.755257142857142,-40.2868
avwap_252_breakout,trailing_15pct,VERY_HIGH,1,1.0,7.4221,7.4221
avwap_252_breakout,trailing_5pct,HIGH,7,0.0,-3.0871285714285714,-21.6099
avwap_252_breakout,trailing_5pct,VERY_HIGH,1,0.0,-5.3694,-5.3694
avwap_50_reclaim,atr_trail_1x,HIGH,16,0.4375,1.2661875,20.259
avwap_50_reclaim,atr_trail_1x,VERY_HIGH,2,0.0,-2.0568,-4.1136
avwap_50_reclaim,atr_trail_2x,HIGH,16,0.375,1.89278125,30.2845
avwap_50_reclaim,atr_trail_2x,VERY_HIGH,2,0.0,-3.1426000000000003,-6.285200000000001
avwap_50_reclaim,atr_trail_mae_conditional,HIGH,16,0.4375,1.2661875,20.259
avwap_50_reclaim,atr_trail_mae_conditional,VERY_HIGH,2,0.0,-2.0568,-4.1136
avwap_50_reclaim,atr_trail_vix_conditional,HIGH,16,0.3125,0.3710062499999998,5.936099999999997
avwap_50_reclaim,atr_trail_vix_conditional,VERY_HIGH,2,0.0,-1.7302,-3.4604
avwap_50_reclaim,break_even_at_1r,HIGH,16,0.25,2.7532125,44.0514
avwap_50_reclaim,break_even_at_1r,VERY_HIGH,2,0.0,-2.0568,-4.1136
avwap_50_reclaim,breakeven_plus_trail,HIGH,16,0.3125,3.16275625,50.6041
avwap_50_reclaim,breakeven_plus_trail,VERY_HIGH,2,0.0,-1.93675,-3.8735
avwap_50_reclaim,chandelier_3x,HIGH,16,0.5625,-10.853725,-173.6596
avwap_50_reclaim,chandelier_3x,VERY_HIGH,2,0.0,-3.8091999999999997,-7.618399999999999
avwap_50_reclaim,class_time_stop,HIGH,16,0.625,-8.92553125,-142.8085
