strategy,exit_method,regime_at_entry,n,win_rate,avg_pnl_pct,total_pnl_pct
avwap_252_breakout,atr_trail_1x,bear,2,0.0,-1.49,-2.98
avwap_252_breakout,atr_trail_1x,bull,6,0.0,-2.5304166666666665,-15.1825
avwap_252_breakout,atr_trail_2x,bear,2,0.0,-2.5728,-5.1456
avwap_252_breakout,atr_trail_2x,bull,6,0.3333333333333333,-1.89865,-11.3919
avwap_252_breakout,atr_trail_mae_conditional,bear,2,0.0,-1.49,-2.98
avwap_252_breakout,atr_trail_mae_conditional,bull,6,0.0,-2.5304166666666665,-15.1825
avwap_252_breakout,atr_trail_vix_conditional,bear,2,0.0,-2.0314,-4.0628
avwap_252_breakout,atr_trail_vix_conditional,bull,6,0.16666666666666666,-2.6604666666666668,-15.9628
avwap_252_breakout,break_even_at_1r,bear,2,0.0,-1.49,-2.98
avwap_252_breakout,break_even_at_1r,bull,6,0.0,-2.7125833333333333,-16.2755
avwap_252_breakout,breakeven_plus_trail,bear,2,0.0,-2.1656,-4.3312
avwap_252_breakout,breakeven_plus_trail,bull,6,0.3333333333333333,-0.26096666666666657,-1.5657999999999994
avwap_252_breakout,chandelier_3x,bear,2,0.0,-2.70785,-5.4157
avwap_252_breakout,chandelier_3x,bull,6,0.16666666666666666,-2.6104333333333334,-15.6626
avwap_252_breakout,class_time_stop,bear,2,1.0,1.38195,2.7639
avwap_252_breakout,class_time_stop,bull,6,0.3333333333333333,0.43606666666666644,2.6163999999999987
avwap_252_breakout,earnings_blackout,bear,2,0.0,-38.14775,-76.2955
avwap_252_breakout,earnings_blackout,bull,6,0.5,-18.558883333333334,-111.3533
avwap_252_breakout,fixed_4r_2r,bear,2,0.0,-4.68845,-9.3769
avwap_252_breakout,fixed_4r_2r,bull,6,0.16666666666666666,-3.0923,-18.5538
avwap_252_breakout,hybrid_50pct_target,bear,2,1.0,3.66015,7.3203
avwap_252_breakout,hybrid_50pct_target,bull,6,1.0,7.717716666666667,46.3063
avwap_252_breakout,ma_exit_ema9,bear,2,0.0,-2.20655,-4.4131
avwap_252_breakout,ma_exit_ema9,bull,6,0.16666666666666666,-3.2048500000000004,-19.229100000000003
avwap_252_breakout,mfe_lockin_trail,bear,2,0.5,0.8548500000000001,1.7097000000000002
avwap_252_breakout,mfe_lockin_trail,bull,6,0.0,-2.5304166666666665,-15.1825
avwap_252_breakout,multi_tier_partial,bear,2,0.5,0.04289999999999994,0.08579999999999988
avwap_252_breakout,multi_tier_partial,bull,6,0.16666666666666666,-2.2302166666666667,-13.3813
avwap_252_breakout,next_pivot_target,bear,2,0.0,-4.68845,-9.3769
avwap_252_breakout,next_pivot_target,bull,6,0.6666666666666666,-0.8642499999999999,-5.185499999999999
avwap_252_breakout,r_multiple_2r,bear,2,0.5,1.44005,2.8801
avwap_252_breakout,r_multiple_2r,bull,6,0.16666666666666666,-1.5077666666666667,-9.0466
avwap_252_breakout,r_multiple_3r,bear,2,0.0,-2.3442,-4.6884
avwap_252_breakout,r_multiple_3r,bull,6,0.16666666666666666,-0.9053499999999998,-5.432099999999998
avwap_252_breakout,regime_flip,bear,2,0.0,-1.8204,-3.6408
avwap_252_breakout,regime_flip,bull,6,0.3333333333333333,-1.8796499999999998,-11.277899999999999
avwap_252_breakout,reverse_signal,bear,2,0.0,-1.49,-2.98
avwap_252_breakout,reverse_signal,bull,6,0.0,-2.5304166666666665,-15.1825
avwap_252_breakout,smc_mitigation_zone,bear,2,0.0,-1.49,-2.98
avwap_252_breakout,smc_mitigation_zone,bull,6,0.0,-2.5304166666666665,-15.1825
avwap_252_breakout,time_stop_10d,bear,2,0.5,1.9389000000000003,3.8778000000000006
avwap_252_breakout,time_stop_10d,bull,6,0.5,0.12440000000000022,0.7464000000000013
avwap_252_breakout,time_stop_20d,bear,2,0.0,-1.8204,-3.6408
