exit_method,regime_at_entry,sector,cap_band,vol_band,hold_duration_band,n,win_rate,avg_pnl_pct,total_pnl_pct,sharpe_proxy
atr_trail_1x,bear,Consumer Discretionary,unknown,high_25_40,long_ge_11d,6,0.5,-0.4445833333333333,-2.6674999999999995,-0.2457528007020691
atr_trail_1x,bear,Consumer Discretionary,unknown,mid_15_25,long_ge_11d,6,0.6666666666666666,4.076766666666667,24.4606,1.7737261390781884
atr_trail_1x,bear,Health Care,unknown,high_25_40,long_ge_11d,8,0.5,2.7238374999999997,21.790699999999998,0.9550455083119804
atr_trail_1x,bull,Consumer Discretionary,unknown,low_lt_15,long_ge_11d,15,0.26666666666666666,0.08980666666666674,1.347100000000001,0.08150212340439505
atr_trail_1x,bull,Consumer Discretionary,unknown,mid_15_25,long_ge_11d,23,0.21739130434782608,0.7150260869565217,16.4456,0.5539719044030171
atr_trail_1x,bull,Consumer Discretionary,unknown,mid_15_25,medium_4_10d,9,0.0,-4.005677777777778,-36.0511,-5.830070641733988
atr_trail_1x,bull,Energy,unknown,mid_15_25,long_ge_11d,8,0.375,-0.7359625,-5.8877,-1.4584101149058017
atr_trail_1x,bull,Financials,unknown,mid_15_25,long_ge_11d,13,0.23076923076923078,-1.5106076923076925,-19.637900000000002,-2.017187890080687
atr_trail_1x,bull,Health Care,unknown,low_lt_15,long_ge_11d,12,0.25,0.8609833333333333,10.3318,0.4078848836051708
atr_trail_1x,bull,Health Care,unknown,mid_15_25,long_ge_11d,19,0.15789473684210525,-2.2430473684210526,-42.6179,-2.2902482012630596
atr_trail_1x,bull,Industrials,unknown,low_lt_15,long_ge_11d,8,0.125,-2.2580875000000002,-18.064700000000002,-3.5659581599371233
atr_trail_1x,bull,Industrials,unknown,mid_15_25,long_ge_11d,18,0.4444444444444444,1.7761222222222222,31.9702,1.034597747457122
atr_trail_1x,bull,Information Technology,unknown,low_lt_15,long_ge_11d,5,0.2,-0.55532,-2.7766,-0.519238228408477
atr_trail_1x,bull,Information Technology,unknown,mid_15_25,long_ge_11d,18,0.16666666666666666,-2.198977777777778,-39.5816,-3.0358685027074945
atr_trail_1x,bull,Materials,unknown,low_lt_15,long_ge_11d,7,0.2857142857142857,-0.7515999999999999,-5.2612,-0.9906125193547622
atr_trail_1x,bull,Materials,unknown,mid_15_25,long_ge_11d,10,0.3,-1.1457400000000002,-11.457400000000002,-1.2297928593039733
atr_trail_1x,bull,Utilities,unknown,mid_15_25,long_ge_11d,6,0.5,-1.7382166666666665,-10.4293,-1.0499588075469912
atr_trail_1x,neutral,Consumer Discretionary,unknown,mid_15_25,long_ge_11d,6,0.5,0.2232333333333334,1.3394000000000004,0.13306214524705037
atr_trail_1x,neutral,Industrials,unknown,mid_15_25,long_ge_11d,6,0.5,-0.2774166666666667,-1.6645000000000003,-0.14061664349896563
atr_trail_2x,bear,Consumer Discretionary,unknown,high_25_40,long_ge_11d,6,0.3333333333333333,0.08846666666666649,0.5307999999999989,0.027762397008170014
atr_trail_2x,bear,Consumer Discretionary,unknown,mid_15_25,long_ge_11d,6,0.6666666666666666,1.468366666666667,8.810200000000002,0.49114739572542365
atr_trail_2x,bear,Health Care,unknown,high_25_40,long_ge_11d,8,0.5,3.0163750000000005,24.131000000000004,0.8995038317022547
atr_trail_2x,bull,Consumer Discretionary,unknown,low_lt_15,long_ge_11d,15,0.7333333333333333,3.41718,51.2577,1.6363951073941827
atr_trail_2x,bull,Consumer Discretionary,unknown,mid_15_25,long_ge_11d,23,0.34782608695652173,2.910221739130435,66.9351,1.0335486378637002
atr_trail_2x,bull,Consumer Discretionary,unknown,mid_15_25,medium_4_10d,9,0.1111111111111111,-6.339222222222222,-57.053,-3.470336794459391
atr_trail_2x,bull,Energy,unknown,mid_15_25,long_ge_11d,8,0.25,6.7215875,53.7727,0.9333657420559262
atr_trail_2x,bull,Financials,unknown,mid_15_25,long_ge_11d,13,0.3076923076923077,-2.4082384615384616,-31.3071,-1.6771186523257797
atr_trail_2x,bull,Health Care,unknown,low_lt_15,long_ge_11d,12,0.5,3.3672166666666663,40.4066,1.7488482364587816
atr_trail_2x,bull,Health Care,unknown,mid_15_25,long_ge_11d,19,0.3684210526315789,-2.3326894736842108,-44.3211,-1.8531462057503332
atr_trail_2x,bull,Industrials,unknown,low_lt_15,long_ge_11d,8,0.25,-2.0526875,-16.4215,-0.9283608375157548
atr_trail_2x,bull,Industrials,unknown,mid_15_25,long_ge_11d,18,0.5,8.074511111111113,145.34120000000001,1.2905133954471697
atr_trail_2x,bull,Information Technology,unknown,low_lt_15,long_ge_11d,5,0.4,3.12682,15.6341,0.9361671040374551
atr_trail_2x,bull,Information Technology,unknown,mid_15_25,long_ge_11d,18,0.3333333333333333,1.8677722222222224,33.6199,0.5672392717866938
atr_trail_2x,bull,Materials,unknown,low_lt_15,long_ge_11d,7,0.5714285714285714,2.1914285714285713,15.34,1.00700208857282
atr_trail_2x,bull,Materials,unknown,mid_15_25,long_ge_11d,10,0.4,0.55224,5.522399999999999,0.25720777163577574
atr_trail_2x,bull,Utilities,unknown,mid_15_25,long_ge_11d,6,0.6666666666666666,9.751316666666666,58.5079,1.7653056025384415
atr_trail_2x,neutral,Consumer Discretionary,unknown,mid_15_25,long_ge_11d,6,0.8333333333333334,4.621333333333333,27.727999999999998,1.5975106619374244
atr_trail_2x,neutral,Industrials,unknown,mid_15_25,long_ge_11d,6,0.6666666666666666,4.6151,27.6906,0.9791122086098643
atr_trail_mae_conditional,bear,Consumer Discretionary,unknown,high_25_40,long_ge_11d,6,0.5,-0.4445833333333333,-2.6674999999999995,-0.2457528007020691
atr_trail_mae_conditional,bear,Consumer Discretionary,unknown,mid_15_25,long_ge_11d,6,0.6666666666666666,4.076766666666667,24.4606,1.7737261390781884
atr_trail_mae_conditional,bear,Health Care,unknown,high_25_40,long_ge_11d,8,0.5,2.7238374999999997,21.790699999999998,0.9550455083119804
atr_trail_mae_conditional,bull,Consumer Discretionary,unknown,low_lt_15,long_ge_11d,15,0.26666666666666666,0.08980666666666674,1.347100000000001,0.08150212340439505
atr_trail_mae_conditional,bull,Consumer Discretionary,unknown,mid_15_25,long_ge_11d,23,0.21739130434782608,0.7150260869565217,16.4456,0.5539719044030171
atr_trail_mae_conditional,bull,Consumer Discretionary,unknown,mid_15_25,medium_4_10d,9,0.0,-4.005677777777778,-36.0511,-5.830070641733988
atr_trail_mae_conditional,bull,Energy,unknown,mid_15_25,long_ge_11d,8,0.375,-0.7359625,-5.8877,-1.4584101149058017
atr_trail_mae_conditional,bull,Financials,unknown,mid_15_25,long_ge_11d,13,0.23076923076923078,-1.5106076923076925,-19.637900000000002,-2.017187890080687
atr_trail_mae_conditional,bull,Health Care,unknown,low_lt_15,long_ge_11d,12,0.25,0.8609833333333333,10.3318,0.4078848836051708
atr_trail_mae_conditional,bull,Health Care,unknown,mid_15_25,long_ge_11d,19,0.15789473684210525,-2.2430473684210526,-42.6179,-2.2902482012630596
atr_trail_mae_conditional,bull,Industrials,unknown,low_lt_15,long_ge_11d,8,0.125,-2.2580875000000002,-18.064700000000002,-3.5659581599371233
atr_trail_mae_conditional,bull,Industrials,unknown,mid_15_25,long_ge_11d,18,0.4444444444444444,1.7761222222222222,31.9702,1.034597747457122
atr_trail_mae_conditional,bull,Information Technology,unknown,low_lt_15,long_ge_11d,5,0.2,-0.55532,-2.7766,-0.519238228408477
atr_trail_mae_conditional,bull,Information Technology,unknown,mid_15_25,long_ge_11d,18,0.16666666666666666,-2.198977777777778,-39.5816,-3.0358685027074945
atr_trail_mae_conditional,bull,Materials,unknown,low_lt_15,long_ge_11d,7,0.2857142857142857,-0.7515999999999999,-5.2612,-0.9906125193547622
atr_trail_mae_conditional,bull,Materials,unknown,mid_15_25,long_ge_11d,10,0.3,-1.1457400000000002,-11.457400000000002,-1.2297928593039733
atr_trail_mae_conditional,bull,Utilities,unknown,mid_15_25,long_ge_11d,6,0.5,-1.7382166666666665,-10.4293,-1.0499588075469912
atr_trail_mae_conditional,neutral,Consumer Discretionary,unknown,mid_15_25,long_ge_11d,6,0.5,0.2232333333333334,1.3394000000000004,0.13306214524705037
atr_trail_mae_conditional,neutral,Industrials,unknown,mid_15_25,long_ge_11d,6,0.5,-0.2774166666666667,-1.6645000000000003,-0.14061664349896563
atr_trail_vix_conditional,bear,Consumer Discretionary,unknown,high_25_40,long_ge_11d,6,0.5,1.5678500000000002,9.407100000000002,0.49740978958801685
atr_trail_vix_conditional,bear,Consumer Discretionary,unknown,mid_15_25,long_ge_11d,6,0.6666666666666666,2.64905,15.8943,1.3568725299664042
atr_trail_vix_conditional,bear,Health Care,unknown,high_25_40,long_ge_11d,8,0.625,3.4167375,27.3339,1.1529740196131755
atr_trail_vix_conditional,bull,Consumer Discretionary,unknown,low_lt_15,long_ge_11d,15,0.13333333333333333,-0.7820066666666666,-11.7301,-1.0595117349461456
atr_trail_vix_conditional,bull,Consumer Discretionary,unknown,mid_15_25,long_ge_11d,23,0.2608695652173913,2.2146260869565215,50.93639999999999,1.0435613532524401
atr_trail_vix_conditional,bull,Consumer Discretionary,unknown,mid_15_25,medium_4_10d,9,0.0,-4.842411111111111,-43.5817,-4.051368779172123
atr_trail_vix_conditional,bull,Energy,unknown,mid_15_25,long_ge_11d,8,0.25,-1.09475,-8.758,-1.9952630449273232
atr_trail_vix_conditional,bull,Financials,unknown,mid_15_25,long_ge_11d,13,0.3076923076923077,-1.9234076923076924,-25.0043,-2.401952539960184
