strategy,exit_method,trades,win_rate,profit_factor,avg_pnl_pct,total_roi_pct,max_drawdown_pct,avg_hold_days,actual_fire_rate,composite_score,recommended
bollinger_lower,ma_exit_ema9,20,0.45,1.3476,0.3457,6.9148,-8.2646,1.0,1.0,46.03,True
bollinger_lower,hybrid_50pct_target,20,0.75,0.671,-4.6162,-92.3244,-243.4318,260.6,0.85,30.0,False
bollinger_lower,next_pivot_target,20,0.6,1.1159,0.4662,9.3242,-42.7379,16.3,1.0,27.48,False
bollinger_lower,chandelier_3x,20,0.0,0.0,-0.2296,-4.591,-4.4037,1.0,1.0,23.39,False
bollinger_lower,smc_mitigation_zone,20,0.35,0.928,-0.0871,-1.7413,-16.4193,1.9,1.0,19.37,False
bollinger_lower,trailing_10pct,20,0.4,1.0612,0.2537,5.0743,-31.716,44.8,1.0,17.84,False
bollinger_lower,fixed_4r_2r,20,0.35,1.0955,0.5821,11.6416,-72.8735,28.2,1.0,16.86,False
bollinger_lower,multi_tier_partial,20,0.4,0.4616,-1.3681,-27.363,-32.6884,6.3,1.0,16.0,False
bollinger_lower,time_stop_20d,20,0.4,0.2568,-6.6651,-133.3019,-148.9337,28.9,1.0,16.0,False
bollinger_lower,regime_flip,20,0.4,0.2568,-6.6651,-133.3019,-148.9337,28.9,1.0,16.0,False
bollinger_lower,time_stop_10d,20,0.4,0.4473,-3.4823,-69.6451,-88.4629,14.2,1.0,16.0,False
bollinger_lower,earnings_blackout,20,0.35,0.1321,-115.7822,-2315.6442,-2568.9529,1296.2,0.0,14.0,False
bollinger_lower,r_multiple_2r,20,0.3,0.8636,-0.4482,-8.9635,-33.6945,9.1,1.0,12.0,False
bollinger_lower,trailing_15pct,20,0.3,0.4665,-3.29,-65.8002,-67.504,84.2,1.0,12.0,False
bollinger_lower,atr_trail_2x,20,0.3,0.5162,-2.1326,-42.6512,-57.5552,17.7,1.0,12.0,False
bollinger_lower,breakeven_plus_trail,20,0.3,0.7668,-0.9838,-19.676,-40.1305,22.9,1.0,12.0,False
bollinger_lower,class_time_stop,20,0.25,0.3498,-6.2746,-125.493,-144.8476,36.2,1.0,10.0,False
bollinger_lower,reverse_signal,20,0.2,0.3345,-1.8161,-36.3222,-39.9308,6.5,1.0,8.0,False
bollinger_lower,atr_trail_mae_conditional,20,0.2,0.3345,-1.8161,-36.3222,-39.9308,6.5,1.0,8.0,False
bollinger_lower,mfe_lockin_trail,20,0.2,0.3993,-1.6391,-32.782,-39.9308,6.2,1.0,8.0,False
bollinger_lower,atr_trail_vix_conditional,20,0.2,0.4006,-1.892,-37.8395,-46.5394,7.6,1.0,8.0,False
bollinger_lower,r_multiple_3r,20,0.2,0.915,-0.3063,-6.1255,-48.3506,14.1,1.0,8.0,False
bollinger_lower,atr_trail_1x,20,0.2,0.3345,-1.8161,-36.3222,-39.9308,6.5,1.0,8.0,False
bollinger_lower,trailing_5pct,20,0.15,0.2771,-1.7771,-35.542,-36.2283,12.1,1.0,6.0,False
bollinger_lower,break_even_at_1r,20,0.05,0.1982,-2.2446,-44.8917,-41.7203,8.3,1.0,2.0,False
hull_rsi,breakeven_plus_trail,13,0.5385,3.3284,5.5879,72.6423,-26.2516,34.6,1.0,51.54,True
hull_rsi,next_pivot_target,13,0.8462,1.3645,0.8947,11.6315,-31.9097,7.3,1.0,44.78,False
hull_rsi,hybrid_50pct_target,13,0.6923,0.1003,-63.9305,-831.0969,-918.9539,552.6,0.6923,27.69,False
hull_rsi,atr_trail_vix_conditional,13,0.4615,1.2067,0.5791,7.528,-19.0064,14.4,1.0,26.15,False
hull_rsi,class_time_stop,13,0.5385,1.0604,0.4923,6.4,-62.6039,36.9,1.0,23.35,False
hull_rsi,r_multiple_2r,13,0.3077,1.3001,0.9827,12.775,-28.2793,11.5,1.0,21.31,False
hull_rsi,atr_trail_2x,13,0.4615,0.5846,-1.8915,-24.5891,-47.5844,19.3,1.0,18.46,False
