strategy,exit_reason,is_n,is_wr_pct,is_mean_pct,is_sum_pp,oos_n,oos_wr_pct,oos_mean_pct,oos_sum_pp
avwap_252_breakout,end_of_backtest,0.0,0.0,0.0,0.0,1.0,100.0,7.17,7.17
avwap_252_breakout,trailing_stop,5.0,0.0,-8.06,-40.3,2.0,50.0,2.46,4.92
avwap_50_reclaim,end_of_backtest,0.0,0.0,0.0,0.0,1.0,0.0,-2.73,-2.73
avwap_50_reclaim,hybrid_50pct_target_3xatr_batch285,8.0,100.0,8.8,70.4,3.0,100.0,7.67,23.02
avwap_50_reclaim,trailing_stop,4.0,0.0,-7.82,-31.27,2.0,50.0,4.81,9.62
bollinger_lower,fixed_4r_2r_stop_hit_batch284,4.0,0.0,-6.34,-25.36,0.0,0.0,0.0,0.0
bollinger_lower,fixed_4r_2r_target_hit_batch284,3.0,100.0,11.7,35.09,0.0,0.0,0.0,0.0
bollinger_lower,time_stop_10d_mfe<0.5pct_batch213,1.0,0.0,-1.94,-1.94,0.0,0.0,0.0,0.0
bollinger_lower,trailing_stop,11.0,0.0,-2.1,-23.07,1.0,0.0,-3.41,-3.41
bollinger_tight,trailing_stop,1.0,100.0,12.87,12.87,2.0,50.0,0.34,0.68
buyback_8k_recent_long,circuit_breaker_1,0.0,0.0,0.0,0.0,1.0,0.0,-0.73,-0.73
buyback_8k_recent_long,end_of_backtest,0.0,0.0,0.0,0.0,1.0,100.0,10.24,10.24
buyback_8k_recent_long,trailing_stop,7.0,14.29,-4.82,-33.76,15.0,13.33,5.07,76.06
cmf_flip,trailing_stop,3.0,66.67,10.66,31.99,1.0,0.0,-10.67,-10.67
cpr_narrow_bullish,circuit_breaker_1,0.0,0.0,0.0,0.0,1.0,0.0,-15.37,-15.37
cpr_narrow_bullish,end_of_backtest,1.0,100.0,13.16,13.16,1.0,100.0,0.86,0.86
cpr_narrow_bullish,regime_flip_bull_to_bear_batch285,2.0,0.0,-4.94,-9.87,1.0,100.0,1.08,1.08
cpr_narrow_bullish,regime_flip_neutral_to_bull_batch285,2.0,50.0,0.54,1.09,1.0,100.0,0.16,0.16
cpr_narrow_bullish,trailing_stop,3.0,33.33,-6.44,-19.33,6.0,33.33,-0.52,-3.13
cpr_narrow_momentum,trailing_stop,1.0,100.0,0.46,0.46,1.0,100.0,0.34,0.34
htf_aligned_breakout_long,circuit_breaker_1,0.0,0.0,0.0,0.0,2.0,50.0,35.96,71.92
htf_aligned_breakout_long,end_of_backtest,0.0,0.0,0.0,0.0,1.0,100.0,86.13,86.13
htf_aligned_breakout_long,time_stop_20d_mfe<0.5pct_batch213,1.0,0.0,-4.95,-4.95,0.0,0.0,0.0,0.0
htf_aligned_breakout_long,trailing_stop,3.0,33.33,-2.95,-8.86,9.0,22.22,5.43,48.88
htf_aligned_breakout_short,trailing_stop,8.0,37.5,-0.92,-7.34,5.0,20.0,-0.78,-3.89
hull_rsi,circuit_breaker_1,1.0,0.0,-0.74,-0.74,0.0,0.0,0.0,0.0
hull_rsi,trailing_stop,12.0,33.33,-4.32,-51.82,0.0,0.0,0.0,0.0
