strategy,is_n,is_wr_pct,is_mean_pct,is_sum_pp,oos_n,oos_wr_pct,oos_mean_pct,oos_sum_pp,oos_minus_is_mean
htf_aligned_breakout_long,4,25.0,-3.45,-13.8,12,33.33,17.24,206.9,20.7
monthly_bias_momentum_long,15,20.0,-1.53,-23.0,11,54.55,14.95,164.5,16.49
orb_stocks_in_play_long,11,36.36,-0.98,-10.7,24,37.5,3.98,95.6,4.96
buyback_8k_recent_long,7,14.29,-4.82,-33.8,17,17.65,5.03,85.6,9.86
pivot_r1_breakout,5,40.0,0.38,1.9,5,60.0,15.66,78.3,15.28
williams_r_oversold,2,50.0,29.8,59.6,3,66.67,22.26,66.8,-7.55
xs_low_beta_long,17,17.65,0.38,6.5,13,69.23,3.57,46.4,3.19
smc_inverse_fvg,14,35.71,-0.57,-8.0,14,35.71,3.26,45.6,3.83
avwap_50_reclaim,12,66.67,3.26,39.1,6,66.67,4.99,29.9,1.73
xs_momentum_top_decile,6,33.33,1.59,9.5,6,66.67,3.18,19.1,1.6
avwap_252_breakout,5,0.0,-8.06,-40.3,3,66.67,4.03,12.1,12.09
stochrsi_oversold,0,0.0,0.0,0.0,2,50.0,0.43,0.9,
bollinger_tight,1,100.0,12.87,12.9,2,50.0,0.34,0.7,-12.53
cpr_narrow_momentum,1,100.0,0.46,0.5,1,100.0,0.34,0.3,-0.11
volume_spike_breakout,1,0.0,-14.41,-14.4,0,0.0,0.0,0.0,
po3_htf_aligned_short,1,0.0,-8.57,-8.6,0,0.0,0.0,0.0,
smc_premium_short,1,0.0,-4.81,-4.8,0,0.0,0.0,0.0,
smc_bos_retest_entry,2,0.0,-7.58,-15.2,0,0.0,0.0,0.0,
hull_rsi,13,30.77,-4.04,-52.6,0,0.0,0.0,0.0,
xs_combined_momentum_low_ivol,1,0.0,-11.25,-11.3,0,0.0,0.0,0.0,
bollinger_lower,19,15.79,-0.8,-15.3,1,0.0,-3.41,-3.4,-2.61
htf_aligned_breakout_short,8,37.5,-0.92,-7.3,5,20.0,-0.78,-3.9,0.14
smc_liquidity_sweep_reversal,1,0.0,-10.28,-10.3,2,0.0,-2.83,-5.7,7.45
stochrsi_overbought_short,7,14.29,-5.49,-38.4,2,0.0,-4.24,-8.5,1.25
cmf_flip,3,66.67,10.66,32.0,1,0.0,-10.67,-10.7,-21.34
smc_order_block_bounce,0,0.0,0.0,0.0,1,0.0,-10.93,-10.9,
macd_fast_crossover,4,25.0,-6.72,-26.9,2,0.0,-7.41,-14.8,-0.69
cpr_narrow_bullish,8,37.5,-1.87,-15.0,10,50.0,-1.64,-16.4,0.23
ultimate_oscillator,2,50.0,5.0,10.0,2,0.0,-9.47,-18.9,-14.47
xs_momentum_bottom_decile_short,2,50.0,10.76,21.5,2,0.0,-10.39,-20.8,-21.15
po3_bearish,11,45.45,1.64,18.1,8,25.0,-3.22,-25.8,-4.86
smc_choch_reversal,4,50.0,-3.25,-13.0,15,33.33,-2.7,-40.5,0.55
orb_stocks_in_play_short,10,30.0,-1.93,-19.3,4,0.0,-10.37,-41.5,-8.43
smc_bos_continuation,6,33.33,-5.88,-35.3,13,23.08,-3.31,-43.1,2.56
po3_bullish,7,42.86,-0.25,-1.7,12,25.0,-4.4,-52.7,-4.15
