strategy,regime,trades,win_rate,avg_pnl,total_roi
avwap_252_breakout,bull,6,0.3333,-3.432,-20.5921
avwap_50_reclaim,bull,17,0.7059,4.2219,71.7725
bollinger_lower,bear,20,0.15,-0.9346,-18.6924
bollinger_tight,bull,3,0.6667,4.5144,13.5433
buyback_8k_recent_long,bull,17,0.1765,4.0847,69.4404
buyback_8k_recent_long,neutral,7,0.1429,-2.5191,-17.6339
cmf_flip,bear,4,0.5,5.3291,21.3165
cpr_narrow_bullish,bull,14,0.4286,-1.231,-17.2344
cpr_narrow_bullish,neutral,4,0.5,-3.5325,-14.1301
htf_aligned_breakout_long,bull,15,0.3333,12.9266,193.8994
htf_aligned_breakout_short,bear,10,0.3,0.474,4.7399
htf_aligned_breakout_short,neutral,3,0.3333,-5.324,-15.972
hull_rsi,bear,12,0.3333,-3.5234,-42.2808
macd_fast_crossover,bear,6,0.1667,-6.9498,-41.6991
monthly_bias_momentum_long,bull,21,0.3333,5.6545,118.7454
monthly_bias_momentum_long,neutral,5,0.4,4.5516,22.7581
orb_stocks_in_play_long,bull,28,0.3571,2.4148,67.6155
orb_stocks_in_play_long,neutral,7,0.4286,2.4583,17.2082
orb_stocks_in_play_short,bear,10,0.3,-2.8564,-28.564
orb_stocks_in_play_short,neutral,4,0.0,-8.0585,-32.234
pivot_r1_breakout,bull,9,0.4444,8.7529,78.7762
po3_bearish,bear,18,0.3333,-1.1746,-21.1425
po3_bullish,bull,18,0.2778,-3.2766,-58.9785
smc_bos_continuation,bull,18,0.2222,-4.5526,-81.9471
smc_choch_reversal,bull,14,0.3571,-2.3965,-33.551
smc_choch_reversal,neutral,5,0.4,-3.9971,-19.9857
smc_inverse_fvg,bear,9,0.4444,1.5671,14.1039
smc_inverse_fvg,bull,18,0.3333,1.891,34.0381
smc_liquidity_sweep_reversal,bull,3,0.0,-5.3101,-15.9303
stochrsi_overbought_short,bear,9,0.1111,-5.2075,-46.8677
ultimate_oscillator,bull,4,0.25,-2.2321,-8.9283
williams_r_oversold,bull,4,0.5,25.3026,101.2105
xs_low_beta_long,bull,25,0.36,1.6107,40.2675
xs_low_beta_long,neutral,5,0.6,2.5202,12.6011
xs_momentum_bottom_decile_short,bear,4,0.25,0.1889,0.7554
xs_momentum_top_decile,bull,12,0.5,2.385,28.6203
