strategy,exit_method,confidence_tier,n,win_rate,avg_pnl_pct,total_pnl_pct
avwap_50_reclaim,atr_trail_1x,HIGH,8,0.25,-1.508575,-12.0686
avwap_50_reclaim,atr_trail_1x,VERY_HIGH,2,0.0,-0.30395,-0.6079
avwap_50_reclaim,atr_trail_2x,HIGH,8,0.375,-3.711475,-29.6918
avwap_50_reclaim,atr_trail_2x,VERY_HIGH,2,0.0,-2.6627,-5.3254
avwap_50_reclaim,atr_trail_mae_conditional,HIGH,8,0.25,-1.508575,-12.0686
avwap_50_reclaim,atr_trail_mae_conditional,VERY_HIGH,2,0.0,-0.30395,-0.6079
avwap_50_reclaim,atr_trail_vix_conditional,HIGH,8,0.25,-0.4988375,-3.9907
avwap_50_reclaim,atr_trail_vix_conditional,VERY_HIGH,2,0.0,-0.30395,-0.6079
avwap_50_reclaim,break_even_at_1r,HIGH,8,0.25,-2.5377375,-20.3019
avwap_50_reclaim,break_even_at_1r,VERY_HIGH,2,0.0,-0.30395,-0.6079
avwap_50_reclaim,breakeven_plus_trail,HIGH,8,0.5,10.22475,81.798
avwap_50_reclaim,breakeven_plus_trail,VERY_HIGH,2,0.0,-0.09085,-0.1817
avwap_50_reclaim,chandelier_3x,HIGH,8,0.5,1.2750374999999998,10.200299999999999
avwap_50_reclaim,chandelier_3x,VERY_HIGH,2,0.5,0.2823,0.5646
avwap_50_reclaim,class_time_stop,HIGH,8,0.5,6.039725,48.3178
avwap_50_reclaim,class_time_stop,VERY_HIGH,2,0.0,-1.36565,-2.7313
avwap_50_reclaim,earnings_blackout,HIGH,8,0.375,-7.3002875000000005,-58.402300000000004
avwap_50_reclaim,earnings_blackout,VERY_HIGH,2,0.0,-34.474050000000005,-68.94810000000001
avwap_50_reclaim,fixed_4r_2r,HIGH,8,0.25,-0.3019125,-2.4153
avwap_50_reclaim,fixed_4r_2r,VERY_HIGH,2,0.0,-4.75435,-9.5087
avwap_50_reclaim,hybrid_50pct_target,HIGH,8,0.625,-1.9869625000000002,-15.895700000000001
avwap_50_reclaim,hybrid_50pct_target,VERY_HIGH,2,0.0,-34.474050000000005,-68.94810000000001
avwap_50_reclaim,ma_exit_ema9,HIGH,8,0.25,-1.7837250000000002,-14.269800000000002
avwap_50_reclaim,ma_exit_ema9,VERY_HIGH,2,0.0,-1.0117500000000001,-2.0235000000000003
avwap_50_reclaim,mfe_lockin_trail,HIGH,8,0.25,-0.42619999999999997,-3.4095999999999997
avwap_50_reclaim,mfe_lockin_trail,VERY_HIGH,2,0.0,-0.30395,-0.6079
avwap_50_reclaim,multi_tier_partial,HIGH,8,0.25,-1.3380125,-10.7041
avwap_50_reclaim,multi_tier_partial,VERY_HIGH,2,0.5,0.5443,1.0886
avwap_50_reclaim,next_pivot_target,HIGH,8,0.5,-3.1732625,-25.3861
avwap_50_reclaim,next_pivot_target,VERY_HIGH,2,0.5,-4.6458,-9.2916
avwap_50_reclaim,r_multiple_2r,HIGH,8,0.25,-1.3750749999999998,-11.000599999999999
avwap_50_reclaim,r_multiple_2r,VERY_HIGH,2,0.0,-2.4226,-4.8452
avwap_50_reclaim,r_multiple_3r,HIGH,8,0.25,-0.1860999999999996,-1.4887999999999968
avwap_50_reclaim,r_multiple_3r,VERY_HIGH,2,0.0,-2.4226,-4.8452
avwap_50_reclaim,regime_flip,HIGH,8,0.5,6.3447499999999994,50.757999999999996
avwap_50_reclaim,regime_flip,VERY_HIGH,2,0.0,-0.1467,-0.2934
avwap_50_reclaim,reverse_signal,HIGH,8,0.25,-1.508575,-12.0686
avwap_50_reclaim,reverse_signal,VERY_HIGH,2,0.0,-0.30395,-0.6079
avwap_50_reclaim,smc_mitigation_zone,HIGH,8,0.125,-3.0887000000000002,-24.709600000000002
avwap_50_reclaim,smc_mitigation_zone,VERY_HIGH,2,0.0,-0.30395,-0.6079
avwap_50_reclaim,time_stop_10d,HIGH,8,0.5,-0.9574124999999998,-7.659299999999998
avwap_50_reclaim,time_stop_10d,VERY_HIGH,2,0.5,0.28585,0.5717
avwap_50_reclaim,time_stop_20d,HIGH,8,0.5,6.3447499999999994,50.757999999999996
avwap_50_reclaim,time_stop_20d,VERY_HIGH,2,0.0,-0.1467,-0.2934
avwap_50_reclaim,trailing_10pct,HIGH,8,0.375,-2.8072500000000002,-22.458000000000002
avwap_50_reclaim,trailing_10pct,VERY_HIGH,2,0.0,-2.4705500000000002,-4.9411000000000005
avwap_50_reclaim,trailing_15pct,HIGH,8,0.25,-6.326862500000001,-50.614900000000006
avwap_50_reclaim,trailing_15pct,VERY_HIGH,2,0.0,-4.2184,-8.4368
avwap_50_reclaim,trailing_5pct,HIGH,8,0.125,-3.23415,-25.8732
avwap_50_reclaim,trailing_5pct,VERY_HIGH,2,0.0,-0.30395,-0.6079
cpr_narrow_bullish,atr_trail_1x,HIGH,30,0.26666666666666666,-0.6239566666666667,-18.718700000000002
cpr_narrow_bullish,atr_trail_1x,VERY_HIGH,1,1.0,3.0981,3.0981
cpr_narrow_bullish,atr_trail_2x,HIGH,30,0.3333333333333333,-1.0006266666666666,-30.0188
cpr_narrow_bullish,atr_trail_2x,VERY_HIGH,1,1.0,0.4518,0.4518
cpr_narrow_bullish,atr_trail_mae_conditional,HIGH,30,0.26666666666666666,-0.6239566666666667,-18.718700000000002
cpr_narrow_bullish,atr_trail_mae_conditional,VERY_HIGH,1,1.0,3.0981,3.0981
cpr_narrow_bullish,atr_trail_vix_conditional,HIGH,30,0.3333333333333333,-0.7354933333333332,-22.064799999999998
cpr_narrow_bullish,atr_trail_vix_conditional,VERY_HIGH,1,1.0,1.775,1.775
cpr_narrow_bullish,break_even_at_1r,HIGH,30,0.06666666666666667,-1.4926933333333332,-44.7808
cpr_narrow_bullish,break_even_at_1r,VERY_HIGH,1,0.0,0.0,0.0
cpr_narrow_bullish,breakeven_plus_trail,HIGH,30,0.36666666666666664,2.9919066666666665,89.7572
cpr_narrow_bullish,breakeven_plus_trail,VERY_HIGH,1,0.0,0.0,0.0
cpr_narrow_bullish,chandelier_3x,HIGH,30,0.36666666666666664,-1.0252633333333334,-30.757900000000003
cpr_narrow_bullish,chandelier_3x,VERY_HIGH,1,0.0,-1.1409,-1.1409
cpr_narrow_bullish,class_time_stop,HIGH,30,0.6,4.23221,126.96630000000002
cpr_narrow_bullish,class_time_stop,VERY_HIGH,1,1.0,11.3251,11.3251
cpr_narrow_bullish,earnings_blackout,HIGH,30,0.6,20.860036666666666,625.8011
