strategy,exit_method,news_sentiment_shift_during_hold,n,win_rate,avg_pnl_pct,total_pnl_pct
avwap_50_reclaim,atr_trail_1x,high_gt_20,1,0.0,-1.8996,-1.8996
avwap_50_reclaim,atr_trail_1x,low_1_5,3,0.0,-6.1343000000000005,-18.402900000000002
avwap_50_reclaim,atr_trail_1x,mid_6_20,4,0.5,2.189775,8.7591
avwap_50_reclaim,atr_trail_1x,none,2,0.0,-0.56655,-1.1331
avwap_50_reclaim,atr_trail_2x,high_gt_20,1,0.0,-8.3951,-8.3951
avwap_50_reclaim,atr_trail_2x,low_1_5,3,0.3333333333333333,-8.018966666666667,-24.056900000000002
avwap_50_reclaim,atr_trail_2x,mid_6_20,4,0.5,-0.35802500000000026,-1.432100000000001
avwap_50_reclaim,atr_trail_2x,none,2,0.0,-0.56655,-1.1331
avwap_50_reclaim,atr_trail_mae_conditional,high_gt_20,1,0.0,-1.8996,-1.8996
avwap_50_reclaim,atr_trail_mae_conditional,low_1_5,3,0.0,-6.1343000000000005,-18.402900000000002
avwap_50_reclaim,atr_trail_mae_conditional,mid_6_20,4,0.5,2.189775,8.7591
avwap_50_reclaim,atr_trail_mae_conditional,none,2,0.0,-0.56655,-1.1331
avwap_50_reclaim,atr_trail_vix_conditional,high_gt_20,1,0.0,-1.8996,-1.8996
avwap_50_reclaim,atr_trail_vix_conditional,low_1_5,3,0.0,-4.202133333333333,-12.6064
avwap_50_reclaim,atr_trail_vix_conditional,mid_6_20,4,0.5,2.760125,11.0405
avwap_50_reclaim,atr_trail_vix_conditional,none,2,0.0,-0.56655,-1.1331
avwap_50_reclaim,break_even_at_1r,high_gt_20,1,0.0,-8.3951,-8.3951
avwap_50_reclaim,break_even_at_1r,low_1_5,3,0.0,-5.8755,-17.6265
avwap_50_reclaim,break_even_at_1r,mid_6_20,4,0.5,1.561225,6.2449
avwap_50_reclaim,break_even_at_1r,none,2,0.0,-0.56655,-1.1331
avwap_50_reclaim,breakeven_plus_trail,high_gt_20,1,0.0,-4.2022,-4.2022
avwap_50_reclaim,breakeven_plus_trail,low_1_5,3,0.6666666666666666,27.6695,83.0085
avwap_50_reclaim,breakeven_plus_trail,mid_6_20,4,0.5,0.9857749999999998,3.9430999999999994
avwap_50_reclaim,breakeven_plus_trail,none,2,0.0,-0.56655,-1.1331
avwap_50_reclaim,chandelier_3x,high_gt_20,1,0.0,-8.3951,-8.3951
avwap_50_reclaim,chandelier_3x,low_1_5,3,0.6666666666666666,8.3602,25.0806
avwap_50_reclaim,chandelier_3x,mid_6_20,4,0.75,-1.1968750000000001,-4.7875000000000005
avwap_50_reclaim,chandelier_3x,none,2,0.0,-0.56655,-1.1331
avwap_50_reclaim,class_time_stop,high_gt_20,1,0.0,-18.5123,-18.5123
avwap_50_reclaim,class_time_stop,low_1_5,3,0.6666666666666666,14.901299999999999,44.7039
avwap_50_reclaim,class_time_stop,mid_6_20,4,0.5,5.132,20.528
avwap_50_reclaim,class_time_stop,none,2,0.0,-0.56655,-1.1331
avwap_50_reclaim,earnings_blackout,high_gt_20,1,0.0,-15.0088,-15.0088
avwap_50_reclaim,earnings_blackout,low_1_5,3,0.6666666666666666,7.9521000000000015,23.856300000000005
avwap_50_reclaim,earnings_blackout,mid_6_20,4,0.25,-33.7662,-135.0648
avwap_50_reclaim,earnings_blackout,none,2,0.0,-0.56655,-1.1331
avwap_50_reclaim,fixed_4r_2r,high_gt_20,1,0.0,-8.3951,-8.3951
avwap_50_reclaim,fixed_4r_2r,low_1_5,3,0.3333333333333333,-2.2783333333333338,-6.835000000000002
avwap_50_reclaim,fixed_4r_2r,mid_6_20,4,0.25,1.1098000000000003,4.439200000000001
avwap_50_reclaim,fixed_4r_2r,none,2,0.0,-0.56655,-1.1331
avwap_50_reclaim,hybrid_50pct_target,high_gt_20,1,0.0,-15.0088,-15.0088
avwap_50_reclaim,hybrid_50pct_target,low_1_5,3,1.0,15.443399999999999,46.3302
avwap_50_reclaim,hybrid_50pct_target,mid_6_20,4,0.5,-28.758025,-115.0321
avwap_50_reclaim,hybrid_50pct_target,none,2,0.0,-0.56655,-1.1331
avwap_50_reclaim,ma_exit_ema9,high_gt_20,1,0.0,-6.6035,-6.6035
avwap_50_reclaim,ma_exit_ema9,low_1_5,3,0.0,-4.6455,-13.9365
avwap_50_reclaim,ma_exit_ema9,mid_6_20,4,0.5,1.3449499999999999,5.3797999999999995
avwap_50_reclaim,ma_exit_ema9,none,2,0.0,-0.56655,-1.1331
avwap_50_reclaim,mfe_lockin_trail,high_gt_20,1,0.0,-1.8996,-1.8996
avwap_50_reclaim,mfe_lockin_trail,low_1_5,3,0.0,-6.1343000000000005,-18.402900000000002
avwap_50_reclaim,mfe_lockin_trail,mid_6_20,4,0.5,4.354525,17.4181
avwap_50_reclaim,mfe_lockin_trail,none,2,0.0,-0.56655,-1.1331
avwap_50_reclaim,multi_tier_partial,high_gt_20,1,0.0,-1.8996,-1.8996
avwap_50_reclaim,multi_tier_partial,low_1_5,3,0.0,-6.1343000000000005,-18.402900000000002
avwap_50_reclaim,multi_tier_partial,mid_6_20,4,0.75,2.9550249999999996,11.820099999999998
avwap_50_reclaim,multi_tier_partial,none,2,0.0,-0.56655,-1.1331
avwap_50_reclaim,next_pivot_target,high_gt_20,1,0.0,-8.3951,-8.3951
avwap_50_reclaim,next_pivot_target,low_1_5,3,0.6666666666666666,-6.243433333333333,-18.7303
avwap_50_reclaim,next_pivot_target,mid_6_20,4,0.5,-1.659075,-6.6363
avwap_50_reclaim,next_pivot_target,none,2,0.5,-0.458,-0.916
avwap_50_reclaim,r_multiple_2r,high_gt_20,1,0.0,-8.3951,-8.3951
avwap_50_reclaim,r_multiple_2r,low_1_5,3,0.0,-6.741433333333333,-20.2243
avwap_50_reclaim,r_multiple_2r,mid_6_20,4,0.5,3.4766749999999997,13.906699999999999
avwap_50_reclaim,r_multiple_2r,none,2,0.0,-0.56655,-1.1331
avwap_50_reclaim,r_multiple_3r,high_gt_20,1,0.0,-8.3951,-8.3951
avwap_50_reclaim,r_multiple_3r,low_1_5,3,0.0,-6.741433333333333,-20.2243
avwap_50_reclaim,r_multiple_3r,mid_6_20,4,0.5,5.854625,23.4185
avwap_50_reclaim,r_multiple_3r,none,2,0.0,-0.56655,-1.1331
avwap_50_reclaim,regime_flip,high_gt_20,1,0.0,-15.2748,-15.2748
avwap_50_reclaim,regime_flip,low_1_5,3,0.6666666666666666,14.827066666666667,44.4812
avwap_50_reclaim,regime_flip,mid_6_20,4,0.5,5.597825,22.3913
avwap_50_reclaim,regime_flip,none,2,0.0,-0.56655,-1.1331
avwap_50_reclaim,reverse_signal,high_gt_20,1,0.0,-1.8996,-1.8996
avwap_50_reclaim,reverse_signal,low_1_5,3,0.0,-6.1343000000000005,-18.402900000000002
avwap_50_reclaim,reverse_signal,mid_6_20,4,0.5,2.189775,8.7591
avwap_50_reclaim,reverse_signal,none,2,0.0,-0.56655,-1.1331
avwap_50_reclaim,smc_mitigation_zone,high_gt_20,1,0.0,-1.8996,-1.8996
avwap_50_reclaim,smc_mitigation_zone,low_1_5,3,0.0,-5.555866666666667,-16.6676
avwap_50_reclaim,smc_mitigation_zone,mid_6_20,4,0.25,-1.4042999999999999,-5.6171999999999995
avwap_50_reclaim,smc_mitigation_zone,none,2,0.0,-0.56655,-1.1331
avwap_50_reclaim,time_stop_10d,high_gt_20,1,0.0,-12.2805,-12.2805
avwap_50_reclaim,time_stop_10d,low_1_5,3,0.6666666666666666,-1.5466666666666669,-4.640000000000001
avwap_50_reclaim,time_stop_10d,mid_6_20,4,0.75,2.7415000000000003,10.966000000000001
avwap_50_reclaim,time_stop_10d,none,2,0.0,-0.56655,-1.1331
avwap_50_reclaim,time_stop_20d,high_gt_20,1,0.0,-15.2748,-15.2748
avwap_50_reclaim,time_stop_20d,low_1_5,3,0.6666666666666666,14.827066666666667,44.4812
avwap_50_reclaim,time_stop_20d,mid_6_20,4,0.5,5.597825,22.3913
avwap_50_reclaim,time_stop_20d,none,2,0.0,-0.56655,-1.1331
avwap_50_reclaim,trailing_10pct,high_gt_20,1,0.0,-9.8388,-9.8388
avwap_50_reclaim,trailing_10pct,low_1_5,3,0.3333333333333333,-4.684366666666667,-14.0531
avwap_50_reclaim,trailing_10pct,mid_6_20,4,0.5,-0.5935250000000003,-2.374100000000001
avwap_50_reclaim,trailing_10pct,none,2,0.0,-0.56655,-1.1331
avwap_50_reclaim,trailing_15pct,high_gt_20,1,0.0,-14.8314,-14.8314
avwap_50_reclaim,trailing_15pct,low_1_5,3,0.3333333333333333,-7.984633333333334,-23.9539
avwap_50_reclaim,trailing_15pct,mid_6_20,4,0.25,-4.7833250000000005,-19.133300000000002
