strategy,exit_method,vix_at_entry,n,win_rate,avg_pnl_pct,total_pnl_pct
avwap_50_reclaim,atr_trail_1x,12.7,1,1.0,3.917,3.917
avwap_50_reclaim,atr_trail_1x,12.85,1,0.0,-4.5822,-4.5822
avwap_50_reclaim,atr_trail_1x,13.67,2,0.5,-0.4466999999999999,-0.8933999999999997
avwap_50_reclaim,atr_trail_1x,14.24,1,0.0,-5.6178,-5.6178
avwap_50_reclaim,atr_trail_1x,14.91,2,0.0,-1.1629,-2.3258
avwap_50_reclaim,atr_trail_1x,15.95,1,0.0,-0.1817,-0.1817
avwap_50_reclaim,atr_trail_1x,16.52,1,0.0,-2.0412,-2.0412
avwap_50_reclaim,atr_trail_1x,17.4,1,0.0,-0.9514,-0.9514
avwap_50_reclaim,atr_trail_2x,12.7,1,1.0,0.2762,0.2762
avwap_50_reclaim,atr_trail_2x,12.85,1,1.0,1.5917,1.5917
avwap_50_reclaim,atr_trail_2x,13.67,2,0.5,-5.69075,-11.3815
avwap_50_reclaim,atr_trail_2x,14.24,1,0.0,-8.7422,-8.7422
avwap_50_reclaim,atr_trail_2x,14.91,2,0.0,-6.769399999999999,-13.538799999999998
avwap_50_reclaim,atr_trail_2x,15.95,1,0.0,-0.1817,-0.1817
avwap_50_reclaim,atr_trail_2x,16.52,1,0.0,-2.0895,-2.0895
avwap_50_reclaim,atr_trail_2x,17.4,1,0.0,-0.9514,-0.9514
avwap_50_reclaim,atr_trail_mae_conditional,12.7,1,1.0,3.917,3.917
avwap_50_reclaim,atr_trail_mae_conditional,12.85,1,0.0,-4.5822,-4.5822
avwap_50_reclaim,atr_trail_mae_conditional,13.67,2,0.5,-0.4466999999999999,-0.8933999999999997
avwap_50_reclaim,atr_trail_mae_conditional,14.24,1,0.0,-5.6178,-5.6178
avwap_50_reclaim,atr_trail_mae_conditional,14.91,2,0.0,-1.1629,-2.3258
avwap_50_reclaim,atr_trail_mae_conditional,15.95,1,0.0,-0.1817,-0.1817
avwap_50_reclaim,atr_trail_mae_conditional,16.52,1,0.0,-2.0412,-2.0412
avwap_50_reclaim,atr_trail_mae_conditional,17.4,1,0.0,-0.9514,-0.9514
avwap_50_reclaim,atr_trail_vix_conditional,12.7,1,1.0,3.917,3.917
avwap_50_reclaim,atr_trail_vix_conditional,12.85,1,0.0,-3.1945,-3.1945
avwap_50_reclaim,atr_trail_vix_conditional,13.67,2,0.5,2.16645,4.3329
avwap_50_reclaim,atr_trail_vix_conditional,14.24,1,0.0,-5.6178,-5.6178
avwap_50_reclaim,atr_trail_vix_conditional,14.91,2,0.0,-1.1629,-2.3258
avwap_50_reclaim,atr_trail_vix_conditional,15.95,1,0.0,-0.1817,-0.1817
avwap_50_reclaim,atr_trail_vix_conditional,16.52,1,0.0,-0.5773,-0.5773
avwap_50_reclaim,atr_trail_vix_conditional,17.4,1,0.0,-0.9514,-0.9514
