strategy,exit_method,win_loss_outcome,n,win_rate,avg_pnl_pct,total_pnl_pct
avwap_50_reclaim,atr_trail_1x,loss,7,0.0,-3.271057142857143,-22.8974
avwap_50_reclaim,atr_trail_1x,win,3,0.6666666666666666,3.406966666666667,10.2209
avwap_50_reclaim,atr_trail_2x,loss,7,0.0,-7.008957142857143,-49.0627
avwap_50_reclaim,atr_trail_2x,win,3,1.0,4.681833333333333,14.045499999999999
avwap_50_reclaim,atr_trail_mae_conditional,loss,7,0.0,-3.271057142857143,-22.8974
avwap_50_reclaim,atr_trail_mae_conditional,win,3,0.6666666666666666,3.406966666666667,10.2209
avwap_50_reclaim,atr_trail_vix_conditional,loss,7,0.0,-2.641228571428571,-18.488599999999998
avwap_50_reclaim,atr_trail_vix_conditional,win,3,0.6666666666666666,4.63,13.89
avwap_50_reclaim,break_even_at_1r,loss,7,0.0,-3.942342857142857,-27.5964
avwap_50_reclaim,break_even_at_1r,win,3,0.6666666666666666,2.2288666666666668,6.6866
avwap_50_reclaim,breakeven_plus_trail,loss,7,0.14285714285714285,3.6457571428571427,25.5203
avwap_50_reclaim,breakeven_plus_trail,win,3,1.0,18.698666666666664,56.096
avwap_50_reclaim,chandelier_3x,loss,7,0.2857142857142857,0.7093714285714287,4.9656
avwap_50_reclaim,chandelier_3x,win,3,1.0,1.9331000000000003,5.799300000000001
avwap_50_reclaim,class_time_stop,loss,7,0.14285714285714285,-5.834185714285715,-40.8393
avwap_50_reclaim,class_time_stop,win,3,1.0,28.808600000000002,86.42580000000001
avwap_50_reclaim,earnings_blackout,loss,7,0.14285714285714285,-31.150928571428572,-218.0565
avwap_50_reclaim,earnings_blackout,win,3,0.6666666666666666,30.235366666666664,90.70609999999999
avwap_50_reclaim,fixed_4r_2r,loss,7,0.0,-8.120214285714287,-56.8415
avwap_50_reclaim,fixed_4r_2r,win,3,0.6666666666666666,14.972500000000002,44.917500000000004
avwap_50_reclaim,hybrid_50pct_target,loss,7,0.2857142857142857,-16.71962857142857,-117.03739999999999
avwap_50_reclaim,hybrid_50pct_target,win,3,1.0,10.7312,32.193599999999996
avwap_50_reclaim,ma_exit_ema9,loss,7,0.0,-3.295171428571429,-23.066200000000002
avwap_50_reclaim,ma_exit_ema9,win,3,0.6666666666666666,2.257633333333333,6.772899999999999
avwap_50_reclaim,mfe_lockin_trail,loss,7,0.0,-3.271057142857143,-22.8974
avwap_50_reclaim,mfe_lockin_trail,win,3,0.6666666666666666,6.2932999999999995,18.8799
avwap_50_reclaim,multi_tier_partial,loss,7,0.14285714285714285,-3.0287,-21.2009
avwap_50_reclaim,multi_tier_partial,win,3,0.6666666666666666,3.8617999999999992,11.585399999999998
avwap_50_reclaim,next_pivot_target,loss,7,0.2857142857142857,-6.935757142857143,-48.5503
avwap_50_reclaim,next_pivot_target,win,3,1.0,4.624200000000001,13.872600000000002
avwap_50_reclaim,r_multiple_2r,loss,7,0.0,-4.918785714285714,-34.4315
avwap_50_reclaim,r_multiple_2r,win,3,0.6666666666666666,6.195233333333333,18.5857
avwap_50_reclaim,r_multiple_3r,loss,7,0.0,-4.918785714285714,-34.4315
avwap_50_reclaim,r_multiple_3r,win,3,0.6666666666666666,9.365833333333333,28.0975
avwap_50_reclaim,regime_flip,loss,7,0.14285714285714285,-3.561642857142857,-24.9315
avwap_50_reclaim,regime_flip,win,3,1.0,25.132033333333336,75.3961
avwap_50_reclaim,reverse_signal,loss,7,0.0,-3.271057142857143,-22.8974
avwap_50_reclaim,reverse_signal,win,3,0.6666666666666666,3.406966666666667,10.2209
avwap_50_reclaim,smc_mitigation_zone,loss,7,0.0,-3.023157142857143,-21.1621
avwap_50_reclaim,smc_mitigation_zone,win,3,0.3333333333333333,-1.3851333333333333,-4.1554
avwap_50_reclaim,time_stop_10d,loss,7,0.2857142857142857,-4.295271428571429,-30.0669
avwap_50_reclaim,time_stop_10d,win,3,1.0,7.659766666666667,22.979300000000002
avwap_50_reclaim,time_stop_20d,loss,7,0.14285714285714285,-3.561642857142857,-24.9315
avwap_50_reclaim,time_stop_20d,win,3,1.0,25.132033333333336,75.3961
avwap_50_reclaim,trailing_10pct,loss,7,0.0,-5.897100000000001,-41.279700000000005
avwap_50_reclaim,trailing_10pct,win,3,1.0,4.6268666666666665,13.8806
avwap_50_reclaim,trailing_15pct,loss,7,0.0,-9.23777142857143,-64.6644
avwap_50_reclaim,trailing_15pct,win,3,0.6666666666666666,1.8708999999999996,5.6126999999999985
avwap_50_reclaim,trailing_5pct,loss,7,0.0,-3.059285714285714,-21.415
avwap_50_reclaim,trailing_5pct,win,3,0.3333333333333333,-1.6887,-5.0661000000000005
cpr_narrow_bullish,atr_trail_1x,loss,19,0.15789473684210525,-1.9423684210526317,-36.905
cpr_narrow_bullish,atr_trail_1x,win,12,0.5,1.7736999999999998,21.284399999999998
cpr_narrow_bullish,atr_trail_2x,loss,19,0.15789473684210525,-3.940705263157895,-74.8734
cpr_narrow_bullish,atr_trail_2x,win,12,0.6666666666666666,3.7755333333333336,45.306400000000004
cpr_narrow_bullish,atr_trail_mae_conditional,loss,19,0.15789473684210525,-1.9423684210526317,-36.905
cpr_narrow_bullish,atr_trail_mae_conditional,win,12,0.5,1.7736999999999998,21.284399999999998
cpr_narrow_bullish,atr_trail_vix_conditional,loss,19,0.2631578947368421,-2.0620684210526314,-39.1793
cpr_narrow_bullish,atr_trail_vix_conditional,win,12,0.5,1.5741249999999998,18.889499999999998
cpr_narrow_bullish,break_even_at_1r,loss,19,0.0,-2.6179947368421055,-49.7419
cpr_narrow_bullish,break_even_at_1r,win,12,0.16666666666666666,0.41342499999999993,4.961099999999999
cpr_narrow_bullish,breakeven_plus_trail,loss,19,0.15789473684210525,-0.712757894736842,-13.542399999999999
cpr_narrow_bullish,breakeven_plus_trail,win,12,0.6666666666666666,8.6083,103.2996
cpr_narrow_bullish,chandelier_3x,loss,19,0.15789473684210525,-4.231189473684211,-80.3926
cpr_narrow_bullish,chandelier_3x,win,12,0.6666666666666666,4.04115,48.4938
cpr_narrow_bullish,class_time_stop,loss,19,0.42105263157894735,1.4157315789473688,26.89890000000001
cpr_narrow_bullish,class_time_stop,win,12,0.9166666666666666,9.282708333333334,111.3925
cpr_narrow_bullish,earnings_blackout,loss,19,0.47368421052631576,23.132068421052633,439.5093
cpr_narrow_bullish,earnings_blackout,win,12,0.8333333333333334,19.19955,230.3946
cpr_narrow_bullish,fixed_4r_2r,loss,19,0.21052631578947367,-1.859194736842105,-35.32469999999999
cpr_narrow_bullish,fixed_4r_2r,win,12,0.75,6.727608333333333,80.7313
cpr_narrow_bullish,hybrid_50pct_target,loss,19,0.47368421052631576,0.5649842105263158,10.7347
cpr_narrow_bullish,hybrid_50pct_target,win,12,1.0,11.258941666666667,135.1073
cpr_narrow_bullish,ma_exit_ema9,loss,19,0.3157894736842105,-1.665794736842105,-31.6501
cpr_narrow_bullish,ma_exit_ema9,win,12,0.6666666666666666,2.2295000000000003,26.754
cpr_narrow_bullish,mfe_lockin_trail,loss,19,0.15789473684210525,-1.8243842105263157,-34.6633
cpr_narrow_bullish,mfe_lockin_trail,win,12,0.5833333333333334,1.716725,20.6007
cpr_narrow_bullish,multi_tier_partial,loss,19,0.3157894736842105,-1.691684210526316,-32.142
cpr_narrow_bullish,multi_tier_partial,win,12,0.75,1.5777166666666667,18.9326
cpr_narrow_bullish,next_pivot_target,loss,19,0.6842105263157895,-2.287821052631579,-43.4686
cpr_narrow_bullish,next_pivot_target,win,12,1.0,3.662933333333333,43.9552
cpr_narrow_bullish,r_multiple_2r,loss,19,0.15789473684210525,-2.5178315789473684,-47.8388
cpr_narrow_bullish,r_multiple_2r,win,12,0.6666666666666666,4.0667583333333335,48.8011
cpr_narrow_bullish,r_multiple_3r,loss,19,0.05263157894736842,-3.5972947368421053,-68.3486
cpr_narrow_bullish,r_multiple_3r,win,12,0.5,3.0664,36.7968
cpr_narrow_bullish,regime_flip,loss,19,0.42105263157894735,0.7685315789473682,14.602099999999997
cpr_narrow_bullish,regime_flip,win,12,0.8333333333333334,7.728841666666667,92.7461
cpr_narrow_bullish,reverse_signal,loss,19,0.15789473684210525,-1.9423684210526317,-36.905
cpr_narrow_bullish,reverse_signal,win,12,0.5,1.7736999999999998,21.284399999999998
cpr_narrow_bullish,smc_mitigation_zone,loss,19,0.21052631578947367,-0.8820263157894738,-16.7585
cpr_narrow_bullish,smc_mitigation_zone,win,12,0.5,1.4011500000000001,16.8138
cpr_narrow_bullish,time_stop_10d,loss,19,0.47368421052631576,-2.835131578947369,-53.86750000000001
cpr_narrow_bullish,time_stop_10d,win,12,1.0,6.521816666666666,78.2618
cpr_narrow_bullish,time_stop_20d,loss,19,0.42105263157894735,0.7685315789473682,14.602099999999997
cpr_narrow_bullish,time_stop_20d,win,12,0.8333333333333334,7.728841666666667,92.7461
cpr_narrow_bullish,trailing_10pct,loss,19,0.0,-4.782973684210526,-90.8765
cpr_narrow_bullish,trailing_10pct,win,12,0.9166666666666666,8.905616666666667,106.8674
cpr_narrow_bullish,trailing_15pct,loss,19,0.05263157894736842,-7.26917894736842,-138.1144
cpr_narrow_bullish,trailing_15pct,win,12,0.9166666666666666,15.393875000000001,184.72650000000002
cpr_narrow_bullish,trailing_5pct,loss,19,0.15789473684210525,-1.9578315789473684,-37.1988
cpr_narrow_bullish,trailing_5pct,win,12,0.75,4.881333333333333,58.576
ichimoku_cloud_breakout,atr_trail_1x,loss,4,0.25,-0.40242500000000014,-1.6097000000000006
ichimoku_cloud_breakout,atr_trail_1x,win,5,0.4,0.32023999999999997,1.6012
ichimoku_cloud_breakout,atr_trail_2x,loss,4,0.0,-3.912375,-15.6495
ichimoku_cloud_breakout,atr_trail_2x,win,5,0.6,-0.28992000000000007,-1.4496000000000002
ichimoku_cloud_breakout,atr_trail_mae_conditional,loss,4,0.25,-0.40242500000000014,-1.6097000000000006
ichimoku_cloud_breakout,atr_trail_mae_conditional,win,5,0.4,0.32023999999999997,1.6012
ichimoku_cloud_breakout,atr_trail_vix_conditional,loss,4,0.25,-0.21064999999999992,-0.8425999999999997
ichimoku_cloud_breakout,atr_trail_vix_conditional,win,5,0.6,0.57234,2.8617
ichimoku_cloud_breakout,break_even_at_1r,loss,4,0.25,-0.38722500000000004,-1.5489000000000002
ichimoku_cloud_breakout,break_even_at_1r,win,5,0.4,-0.06128,-0.3064
ichimoku_cloud_breakout,breakeven_plus_trail,loss,4,0.25,-0.20967499999999997,-0.8386999999999999
ichimoku_cloud_breakout,breakeven_plus_trail,win,5,0.4,0.14955999999999997,0.7477999999999998
ichimoku_cloud_breakout,chandelier_3x,loss,4,0.0,-5.904725,-23.6189
ichimoku_cloud_breakout,chandelier_3x,win,5,0.4,-0.6428200000000001,-3.2141
ichimoku_cloud_breakout,class_time_stop,loss,4,0.5,5.367625,21.4705
ichimoku_cloud_breakout,class_time_stop,win,5,0.8,2.66644,13.3322
ichimoku_cloud_breakout,earnings_blackout,loss,4,0.5,14.958549999999999,59.834199999999996
ichimoku_cloud_breakout,earnings_blackout,win,5,1.0,12.972739999999998,64.8637
ichimoku_cloud_breakout,fixed_4r_2r,loss,4,0.0,-7.697324999999999,-30.789299999999997
ichimoku_cloud_breakout,fixed_4r_2r,win,5,0.6,0.9711599999999997,4.855799999999999
ichimoku_cloud_breakout,hybrid_50pct_target,loss,4,0.25,2.0596250000000005,8.238500000000002
ichimoku_cloud_breakout,hybrid_50pct_target,win,5,1.0,5.9623,29.8115
ichimoku_cloud_breakout,ma_exit_ema9,loss,4,0.5,-2.10575,-8.423
ichimoku_cloud_breakout,ma_exit_ema9,win,5,0.6,0.7230399999999999,3.6151999999999997
ichimoku_cloud_breakout,mfe_lockin_trail,loss,4,0.25,-0.40242500000000014,-1.6097000000000006
ichimoku_cloud_breakout,mfe_lockin_trail,win,5,0.4,0.32023999999999997,1.6012
ichimoku_cloud_breakout,multi_tier_partial,loss,4,0.25,0.06032500000000005,0.2413000000000002
ichimoku_cloud_breakout,multi_tier_partial,win,5,0.6,0.4608,2.304
ichimoku_cloud_breakout,next_pivot_target,loss,4,0.25,-4.3012,-17.2048
ichimoku_cloud_breakout,next_pivot_target,win,5,1.0,1.7335999999999998,8.668
ichimoku_cloud_breakout,r_multiple_2r,loss,4,0.0,-5.094725,-20.3789
ichimoku_cloud_breakout,r_multiple_2r,win,5,0.4,-0.5963,-2.9815000000000005
ichimoku_cloud_breakout,r_multiple_3r,loss,4,0.0,-5.094725,-20.3789
ichimoku_cloud_breakout,r_multiple_3r,win,5,0.4,-0.5963,-2.9815000000000005
ichimoku_cloud_breakout,regime_flip,loss,4,0.5,5.43125,21.725
ichimoku_cloud_breakout,regime_flip,win,5,0.6,2.13554,10.677700000000002
ichimoku_cloud_breakout,reverse_signal,loss,4,0.25,-0.40242500000000014,-1.6097000000000006
ichimoku_cloud_breakout,reverse_signal,win,5,0.4,0.32023999999999997,1.6012
ichimoku_cloud_breakout,smc_mitigation_zone,loss,4,0.25,-1.03865,-4.1546
ichimoku_cloud_breakout,smc_mitigation_zone,win,5,0.6,0.16797999999999996,0.8398999999999999
ichimoku_cloud_breakout,time_stop_10d,loss,4,0.5,2.2077750000000003,8.831100000000001
ichimoku_cloud_breakout,time_stop_10d,win,5,0.6,-0.06430000000000007,-0.32150000000000034
ichimoku_cloud_breakout,time_stop_20d,loss,4,0.5,5.43125,21.725
ichimoku_cloud_breakout,time_stop_20d,win,5,0.6,2.13554,10.677700000000002
ichimoku_cloud_breakout,trailing_10pct,loss,4,0.25,-3.8976249999999997,-15.590499999999999
ichimoku_cloud_breakout,trailing_10pct,win,5,0.6,1.9260799999999996,9.630399999999998
ichimoku_cloud_breakout,trailing_15pct,loss,4,0.25,-1.092575,-4.3703
ichimoku_cloud_breakout,trailing_15pct,win,5,1.0,5.42012,27.1006
ichimoku_cloud_breakout,trailing_5pct,loss,4,0.25,-0.30550000000000044,-1.2220000000000018
ichimoku_cloud_breakout,trailing_5pct,win,5,0.2,-2.67602,-13.380099999999999
monthly_bias_momentum_long,atr_trail_1x,loss,17,0.29411764705882354,-1.6634529411764707,-28.2787
monthly_bias_momentum_long,atr_trail_1x,win,5,0.0,-1.09284,-5.4642
monthly_bias_momentum_long,atr_trail_2x,loss,17,0.17647058823529413,-2.715664705882353,-46.1663
monthly_bias_momentum_long,atr_trail_2x,win,5,0.6,0.32632000000000005,1.6316000000000004
monthly_bias_momentum_long,atr_trail_mae_conditional,loss,17,0.29411764705882354,-1.6634529411764707,-28.2787
monthly_bias_momentum_long,atr_trail_mae_conditional,win,5,0.0,-1.09284,-5.4642
monthly_bias_momentum_long,atr_trail_vix_conditional,loss,17,0.11764705882352941,-2.6078647058823528,-44.3337
monthly_bias_momentum_long,atr_trail_vix_conditional,win,5,0.0,-1.20552,-6.0276
monthly_bias_momentum_long,break_even_at_1r,loss,17,0.058823529411764705,-2.435829411764706,-41.4091
monthly_bias_momentum_long,break_even_at_1r,win,5,0.0,-0.6406400000000001,-3.2032000000000003
monthly_bias_momentum_long,breakeven_plus_trail,loss,17,0.29411764705882354,-0.17680000000000012,-3.005600000000002
monthly_bias_momentum_long,breakeven_plus_trail,win,5,0.2,2.4395800000000003,12.1979
monthly_bias_momentum_long,chandelier_3x,loss,17,0.17647058823529413,-4.7905058823529405,-81.4386
monthly_bias_momentum_long,chandelier_3x,win,5,0.6,-0.05995999999999988,-0.2997999999999994
monthly_bias_momentum_long,class_time_stop,loss,17,0.35294117647058826,-0.3669117647058822,-6.237499999999998
monthly_bias_momentum_long,class_time_stop,win,5,0.4,1.2898999999999998,6.4495
monthly_bias_momentum_long,earnings_blackout,loss,17,0.6470588235294118,34.54345294117647,587.2387
monthly_bias_momentum_long,earnings_blackout,win,5,1.0,30.462760000000003,152.31380000000001
monthly_bias_momentum_long,fixed_4r_2r,loss,17,0.35294117647058826,1.6025411764705881,27.243199999999998
monthly_bias_momentum_long,fixed_4r_2r,win,5,0.8,6.033200000000001,30.166000000000004
monthly_bias_momentum_long,hybrid_50pct_target,loss,17,0.47058823529411764,1.7495411764705882,29.7422
monthly_bias_momentum_long,hybrid_50pct_target,win,5,1.0,12.18656,60.9328
monthly_bias_momentum_long,ma_exit_ema9,loss,17,0.23529411764705882,-2.127294117647059,-36.164
monthly_bias_momentum_long,ma_exit_ema9,win,5,0.2,-1.1625800000000002,-5.812900000000001
monthly_bias_momentum_long,mfe_lockin_trail,loss,17,0.29411764705882354,-1.4011882352941176,-23.8202
monthly_bias_momentum_long,mfe_lockin_trail,win,5,0.0,-1.09284,-5.4642
monthly_bias_momentum_long,multi_tier_partial,loss,17,0.47058823529411764,-1.0717470588235294,-18.2197
monthly_bias_momentum_long,multi_tier_partial,win,5,0.4,-0.7546,-3.773
monthly_bias_momentum_long,next_pivot_target,loss,17,0.5882352941176471,1.5564823529411762,26.460199999999997
monthly_bias_momentum_long,next_pivot_target,win,5,1.0,3.35394,16.7697
monthly_bias_momentum_long,r_multiple_2r,loss,17,0.35294117647058826,0.3869823529411765,6.5787
monthly_bias_momentum_long,r_multiple_2r,win,5,0.6,1.1165800000000001,5.5829
monthly_bias_momentum_long,r_multiple_3r,loss,17,0.29411764705882354,1.4882470588235295,25.3002
monthly_bias_momentum_long,r_multiple_3r,win,5,0.6,2.4277,12.1385
monthly_bias_momentum_long,regime_flip,loss,17,0.35294117647058826,-2.2081588235294123,-37.538700000000006
monthly_bias_momentum_long,regime_flip,win,5,0.8,2.8192399999999997,14.0962
monthly_bias_momentum_long,reverse_signal,loss,17,0.29411764705882354,-1.6634529411764707,-28.2787
monthly_bias_momentum_long,reverse_signal,win,5,0.0,-1.09284,-5.4642
monthly_bias_momentum_long,smc_mitigation_zone,loss,17,0.29411764705882354,-1.732835294117647,-29.458199999999998
monthly_bias_momentum_long,smc_mitigation_zone,win,5,0.0,-0.95508,-4.7754
monthly_bias_momentum_long,time_stop_10d,loss,17,0.47058823529411764,0.7491529411764709,12.735600000000005
monthly_bias_momentum_long,time_stop_10d,win,5,0.8,2.0136,10.068
monthly_bias_momentum_long,time_stop_20d,loss,17,0.35294117647058826,-2.2081588235294123,-37.538700000000006
monthly_bias_momentum_long,time_stop_20d,win,5,0.8,2.8192399999999997,14.0962
monthly_bias_momentum_long,trailing_10pct,loss,17,0.17647058823529413,-4.9113411764705885,-83.4928
monthly_bias_momentum_long,trailing_10pct,win,5,0.8,16.56988,82.8494
monthly_bias_momentum_long,trailing_15pct,loss,17,0.23529411764705882,-5.9086,-100.4462
monthly_bias_momentum_long,trailing_15pct,win,5,0.8,21.937040000000003,109.68520000000001
monthly_bias_momentum_long,trailing_5pct,loss,17,0.23529411764705882,-1.669829411764706,-28.3871
monthly_bias_momentum_long,trailing_5pct,win,5,0.2,-0.72896,-3.6448
pairs_mean_reversion_long,atr_trail_1x,loss,5,0.0,-2.2308,-11.154
pairs_mean_reversion_long,atr_trail_1x,win,2,1.0,3.2162,6.4324
pairs_mean_reversion_long,atr_trail_2x,loss,5,0.2,-3.0630200000000003,-15.315100000000001
pairs_mean_reversion_long,atr_trail_2x,win,2,0.5,0.5748,1.1496
pairs_mean_reversion_long,atr_trail_mae_conditional,loss,5,0.0,-2.2308,-11.154
