strategy,point_sharpe,ci_low,ci_high,n_trades,method
force_index_breakout,-21.644769397544483,,,2,insufficient_sample
hull_rsi,0.0,,,1,insufficient_sample
ichimoku_tk_cross,0.0,,,1,insufficient_sample
inside_bar_breakout,0.0,,,1,insufficient_sample
macd_crossover,0.0,,,1,insufficient_sample
macd_fast_crossover,-13.834839813001299,,,2,insufficient_sample
mmbm_long,0.0,,,1,insufficient_sample
mmsm_short,-14.491939586050584,,,3,insufficient_sample
morning_star,0.0,,,1,insufficient_sample
pairs_mean_reversion_long,-2.216179751414515,,,3,insufficient_sample
pairs_mean_reversion_short,-12.64600488648087,,,3,insufficient_sample
parabolic_sar_flip,0.0,,,1,insufficient_sample
pead_long,0.0,,,1,insufficient_sample
po3_bullish,-15.533239636362163,,,3,insufficient_sample
prev_day_low_bounce,0.0,,,1,insufficient_sample
r1_break_retest,-1233.3190702327279,,,2,insufficient_sample
risk_off_bond_equity_short,0.0,,,1,insufficient_sample
simple_below_ema_50_short,-126.43354926578495,,,2,insufficient_sample
smc_bos_retest_entry,-28.031354021590424,,,2,insufficient_sample
smc_breaker_block_long,0.0,,,1,insufficient_sample
smc_order_block_bounce,0.0,,,1,insufficient_sample
stochrsi_overbought_short,8.144851785876105,,,4,insufficient_sample
stochrsi_oversold,0.0,,,1,insufficient_sample
three_black_crows_short,0.0,,,1,insufficient_sample
three_white_soldiers,0.0,,,1,insufficient_sample
week_opening_gap_fill_up,0.0,,,1,insufficient_sample
williams_r_oversold,15.37886667457351,,,2,insufficient_sample
