entry_date,sector,trades,total_trades,sector_pct
2023-09-01,Broad Market,1,4,25.0
2023-09-01,Communication Services,1,4,25.0
2023-09-01,Information Technology,2,4,50.0
2023-09-04,Information Technology,1,1,100.0
2023-09-05,Consumer Discretionary,1,2,50.0
2023-09-05,Information Technology,1,2,50.0
2023-09-06,Broad Market,1,2,50.0
2023-09-06,Consumer Discretionary,1,2,50.0
2023-09-08,Communication Services,1,1,100.0
2023-09-11,Information Technology,1,1,100.0
2023-09-13,Information Technology,1,1,100.0
2023-09-14,Consumer Discretionary,1,1,100.0
2023-09-15,Communication Services,1,1,100.0
2023-09-20,Broad Market,1,1,100.0
2023-09-21,Information Technology,1,1,100.0
2023-09-29,Communication Services,1,1,100.0
2023-10-02,Information Technology,1,1,100.0
2023-10-03,Broad Market,1,3,33.33333333333333
2023-10-03,Communication Services,1,3,33.33333333333333
2023-10-03,Consumer Discretionary,1,3,33.33333333333333
2023-10-04,Broad Market,1,1,100.0
2023-10-05,Consumer Discretionary,1,1,100.0
2023-10-09,Communication Services,1,2,50.0
2023-10-09,Consumer Discretionary,1,2,50.0
2023-10-12,Communication Services,1,2,50.0
2023-10-12,Consumer Discretionary,1,2,50.0
2023-10-18,Broad Market,1,1,100.0
2023-10-19,Broad Market,1,2,50.0
2023-10-19,Information Technology,1,2,50.0
2023-10-24,Broad Market,1,1,100.0
2023-10-27,Broad Market,1,2,50.0
2023-10-27,Information Technology,1,2,50.0
2023-10-30,Broad Market,1,1,100.0
2023-11-14,Information Technology,1,1,100.0
2023-11-28,Communication Services,1,1,100.0
2023-12-11,Consumer Discretionary,1,2,50.0
2023-12-11,Information Technology,1,2,50.0
2023-12-13,Information Technology,1,1,100.0
2023-12-21,Information Technology,1,1,100.0
2023-12-22,Consumer Discretionary,1,1,100.0
2023-12-25,Communication Services,1,1,100.0
2023-12-26,Communication Services,1,1,100.0
2023-12-28,Consumer Discretionary,1,1,100.0
