ticker,date,strategy,reason,close,next_open,atr
MSFT,2023-09-01,pairs_mean_reversion_long,avoid_tier_long_blocked_batch190,,,
MSFT,2023-09-01,mmsm_short,avoid_tier_short_blocked_batch190,,,
MSFT,2023-09-01,stochrsi_overbought_short,avoid_tier_short_blocked_batch190,,,
SPY,2023-09-01,stochrsi_overbought_short,portfolio_gate_ticker_already_in_portfolio,,,
NVDA,2023-09-01,morning_star,portfolio_gate_ticker_already_in_portfolio,,,
MSFT,2023-09-04,mmsm_short,portfolio_gate_ticker_already_in_portfolio,,,
MSFT,2023-09-04,stochrsi_overbought_short,portfolio_gate_ticker_already_in_portfolio,,,
SPY,2023-09-04,(same-strategy),ticker_already_open_same_strategy_bug61_mode_c,,,
NVDA,2023-09-04,(same-strategy),ticker_already_open_same_strategy_bug61_mode_c,,,
AAPL,2023-09-04,(same-strategy),ticker_already_open_same_strategy_bug61_mode_c,,,
GOOGL,2023-09-04,(same-strategy),ticker_already_open_same_strategy_bug61_mode_c,,,
NVDA,2023-09-05,(same-strategy),ticker_already_open_same_strategy_bug61_mode_c,,,
GOOGL,2023-09-05,(same-strategy),ticker_already_open_same_strategy_bug61_mode_c,,,
MSFT,2023-09-05,(same-strategy),ticker_already_open_same_strategy_bug61_mode_c,,,
AAPL,2023-09-05,smc_breaker_block_long,portfolio_gate_ticker_already_in_portfolio,,,
AAPL,2023-09-05,pead_long_high_yoy_growth_only,portfolio_gate_ticker_already_in_portfolio,,,
AAPL,2023-09-05,awesome_oscillator,portfolio_gate_ticker_already_in_portfolio,,,
AAPL,2023-09-05,golden_cross_20_50,portfolio_gate_ticker_already_in_portfolio,,,
AMZN,2023-09-06,three_black_crows_short,portfolio_gate_ticker_already_in_portfolio,,,
AMZN,2023-09-06,macd_crossover_short,portfolio_gate_ticker_already_in_portfolio,,,
AMZN,2023-09-06,pairs_mean_reversion_short,portfolio_gate_ticker_already_in_portfolio,,,
NVDA,2023-09-06,(same-strategy),ticker_already_open_same_strategy_bug61_mode_c,,,
MSFT,2023-09-06,(same-strategy),ticker_already_open_same_strategy_bug61_mode_c,,,
NVDA,2023-09-07,(same-strategy),ticker_already_open_same_strategy_bug61_mode_c,,,
GOOGL,2023-09-07,(same-strategy),ticker_already_open_same_strategy_bug61_mode_c,,,
AMZN,2023-09-07,(same-strategy),ticker_already_open_same_strategy_bug61_mode_c,,,
SPY,2023-09-07,mmbm_long,portfolio_gate_ticker_already_in_portfolio,,,
SPY,2023-09-07,po3_bullish,portfolio_gate_ticker_already_in_portfolio,,,
SPY,2023-09-07,smc_breaker_block_long,portfolio_gate_ticker_already_in_portfolio,,,
SPY,2023-09-07,institutional_buy_momentum_long,portfolio_gate_ticker_already_in_portfolio,,,
SPY,2023-09-07,bollinger_tight_with_smart_money_long,portfolio_gate_ticker_already_in_portfolio,,,
SPY,2023-09-07,52w_high_breakout_with_smart_money_vol_below_long,portfolio_gate_ticker_already_in_portfolio,,,
SPY,2023-09-07,poc_magnet_long,portfolio_gate_ticker_already_in_portfolio,,,
AAPL,2023-09-07,(same-strategy),ticker_already_open_same_strategy_bug61_mode_c,,,
GOOGL,2023-09-08,pead_long_high_yoy_growth_only,portfolio_gate_ticker_already_in_portfolio,,,
GOOGL,2023-09-08,donchian_breakout_retest_long,portfolio_gate_ticker_already_in_portfolio,,,
GOOGL,2023-09-08,r1_break_retest,portfolio_gate_ticker_already_in_portfolio,,,
GOOGL,2023-09-08,52wh_break_retest,portfolio_gate_ticker_already_in_portfolio,,,
