strategy,point_sharpe,ci_low,ci_high,n_trades,method
break_retest_volume,0.0,,,1,insufficient_sample
cmf_flip,2.97305617984673,,,4,insufficient_sample
cpr_narrow_momentum_short,-69.35605999516514,,,2,insufficient_sample
donchian_10_breakout,-3295.826383073012,,,2,insufficient_sample
donchian_breakdown_retest_short,0.0,,,1,insufficient_sample
inside_bar_breakout,0.0,,,1,insufficient_sample
macd_crossover,-18.460736854430092,,,2,insufficient_sample
macd_fast_crossover,-33.43639918897651,,,5,insufficient_sample
mmbm_long,1.0556055955135577,,,2,insufficient_sample
mmsm_short,-15.852134735643903,,,6,insufficient_sample
morning_star,-41.62626004565657,,,2,insufficient_sample
pairs_mean_reversion_long,6.558159950887993,,,6,insufficient_sample
pairs_mean_reversion_short,-24.34902146899943,,,7,insufficient_sample
parabolic_sar_flip,0.0,,,1,insufficient_sample
pead_long_high_yoy_growth_only,-0.07667879415404526,,,3,insufficient_sample
pivot_s1_bounce,0.0,,,1,insufficient_sample
po3_bullish,1.6727912104242473,,,2,insufficient_sample
ppo_crossover,0.0,,,1,insufficient_sample
prev_day_low_bounce,0.0,,,1,insufficient_sample
r1_break_retest,0.0,,,1,insufficient_sample
smc_breaker_block_long,57.52535117905638,,,3,insufficient_sample
smc_inverse_fvg,0.0,,,1,insufficient_sample
stochrsi_overbought_short,-33.18322853278695,,,3,insufficient_sample
stochrsi_oversold,7.4783608630947755,,,2,insufficient_sample
tema_dema,-12.985649928550659,,,2,insufficient_sample
three_black_crows_short,-19.190274265232045,,,2,insufficient_sample
week_opening_gap_fill_up,0.0,,,1,insufficient_sample
williams_r_oversold,-0.8462289592407005,,,3,insufficient_sample
xs_momentum_quality_combined,0.0,,,1,insufficient_sample
