strategy,exit_method,hold_duration_band,n,win_rate,avg_pnl_pct,total_pnl_pct
macd_fast_crossover,atr_trail_1x,long_ge_11d,4,0.25,-0.7439250000000001,-2.9757000000000002
macd_fast_crossover,atr_trail_1x,short_le_3d,1,0.0,-10.8044,-10.8044
macd_fast_crossover,atr_trail_2x,long_ge_11d,4,0.5,-0.3263499999999999,-1.3053999999999997
macd_fast_crossover,atr_trail_2x,short_le_3d,1,0.0,-10.8044,-10.8044
macd_fast_crossover,atr_trail_mae_conditional,long_ge_11d,4,0.25,-0.7439250000000001,-2.9757000000000002
macd_fast_crossover,atr_trail_mae_conditional,short_le_3d,1,0.0,-10.8044,-10.8044
macd_fast_crossover,atr_trail_vix_conditional,long_ge_11d,4,0.25,-0.5081,-2.0324
macd_fast_crossover,atr_trail_vix_conditional,short_le_3d,1,0.0,-1.8977,-1.8977
macd_fast_crossover,break_even_at_1r,long_ge_11d,4,0.0,-1.070925,-4.2837
macd_fast_crossover,break_even_at_1r,short_le_3d,1,0.0,-10.8044,-10.8044
macd_fast_crossover,breakeven_plus_trail,long_ge_11d,4,0.25,-0.9142999999999999,-3.6571999999999996
macd_fast_crossover,breakeven_plus_trail,short_le_3d,1,0.0,-5.0606,-5.0606
macd_fast_crossover,chandelier_3x,long_ge_11d,4,0.0,-1.90555,-7.6222
macd_fast_crossover,chandelier_3x,short_le_3d,1,0.0,-10.8044,-10.8044
macd_fast_crossover,class_time_stop,long_ge_11d,4,0.5,0.8431249999999999,3.3724999999999996
macd_fast_crossover,class_time_stop,short_le_3d,1,0.0,-8.2829,-8.2829
macd_fast_crossover,earnings_blackout,long_ge_11d,4,0.25,-7.957725,-31.8309
macd_fast_crossover,earnings_blackout,short_le_3d,1,0.0,-19.3508,-19.3508
macd_fast_crossover,fixed_4r_2r,long_ge_11d,4,0.25,-1.3060749999999999,-5.2242999999999995
macd_fast_crossover,fixed_4r_2r,short_le_3d,1,0.0,-10.8044,-10.8044
macd_fast_crossover,hybrid_50pct_target,long_ge_11d,4,0.75,0.40045,1.6018
macd_fast_crossover,hybrid_50pct_target,short_le_3d,1,0.0,-19.3508,-19.3508
macd_fast_crossover,ma_exit_ema9,long_ge_11d,4,0.5,-0.093375,-0.3735
macd_fast_crossover,ma_exit_ema9,short_le_3d,1,0.0,-10.8044,-10.8044
macd_fast_crossover,mfe_lockin_trail,long_ge_11d,4,0.25,-0.7991,-3.1964
macd_fast_crossover,mfe_lockin_trail,short_le_3d,1,0.0,-10.8044,-10.8044
macd_fast_crossover,multi_tier_partial,long_ge_11d,4,0.5,-0.327375,-1.3095
macd_fast_crossover,multi_tier_partial,short_le_3d,1,0.0,-10.8044,-10.8044
macd_fast_crossover,next_pivot_target,long_ge_11d,4,1.0,0.55215,2.2086
macd_fast_crossover,next_pivot_target,short_le_3d,1,0.0,-10.8044,-10.8044
macd_fast_crossover,r_multiple_2r,long_ge_11d,4,0.25,-0.80605,-3.2242
macd_fast_crossover,r_multiple_2r,short_le_3d,1,0.0,-10.8044,-10.8044
macd_fast_crossover,r_multiple_3r,long_ge_11d,4,0.25,-0.47755000000000003,-1.9102000000000001
macd_fast_crossover,r_multiple_3r,short_le_3d,1,0.0,-10.8044,-10.8044
macd_fast_crossover,regime_flip,long_ge_11d,4,0.5,1.2853750000000002,5.141500000000001
macd_fast_crossover,regime_flip,short_le_3d,1,0.0,-6.0992,-6.0992
macd_fast_crossover,reverse_signal,long_ge_11d,4,0.25,-0.7439250000000001,-2.9757000000000002
macd_fast_crossover,reverse_signal,short_le_3d,1,0.0,-10.8044,-10.8044
macd_fast_crossover,smart_money_reversal,long_ge_11d,4,0.25,-0.7439250000000001,-2.9757000000000002
macd_fast_crossover,smart_money_reversal,short_le_3d,1,0.0,-10.8044,-10.8044
macd_fast_crossover,smc_mitigation_zone,long_ge_11d,4,0.5,0.257075,1.0283
macd_fast_crossover,smc_mitigation_zone,short_le_3d,1,0.0,-10.8044,-10.8044
macd_fast_crossover,time_stop_10d,long_ge_11d,4,0.25,-0.9232250000000002,-3.6929000000000007
macd_fast_crossover,time_stop_10d,short_le_3d,1,0.0,-6.0992,-6.0992
macd_fast_crossover,time_stop_20d,long_ge_11d,4,0.5,1.2853750000000002,5.141500000000001
macd_fast_crossover,time_stop_20d,short_le_3d,1,0.0,-6.0992,-6.0992
macd_fast_crossover,trailing_10pct,long_ge_11d,4,0.25,-3.5659,-14.2636
macd_fast_crossover,trailing_10pct,short_le_3d,1,0.0,-10.8044,-10.8044
macd_fast_crossover,trailing_15pct,long_ge_11d,4,0.25,-6.624625,-26.4985
macd_fast_crossover,trailing_15pct,short_le_3d,1,0.0,-8.9742,-8.9742
macd_fast_crossover,trailing_5pct,long_ge_11d,4,0.25,-1.407,-5.628
macd_fast_crossover,trailing_5pct,short_le_3d,1,0.0,-10.8044,-10.8044
mmsm_short,atr_trail_1x,long_ge_11d,6,0.0,-1.0181833333333332,-6.1091
mmsm_short,atr_trail_2x,long_ge_11d,6,0.0,-2.4987833333333334,-14.9927
mmsm_short,atr_trail_mae_conditional,long_ge_11d,6,0.0,-1.0181833333333332,-6.1091
mmsm_short,atr_trail_vix_conditional,long_ge_11d,6,0.0,-0.8331333333333334,-4.9988
mmsm_short,break_even_at_1r,long_ge_11d,6,0.0,-1.02715,-6.1629
mmsm_short,breakeven_plus_trail,long_ge_11d,6,0.16666666666666666,-2.2197999999999998,-13.3188
mmsm_short,chandelier_3x,long_ge_11d,6,0.0,-0.55645,-3.3387000000000002
mmsm_short,class_time_stop,long_ge_11d,6,0.5,-0.5979500000000001,-3.5877000000000003
mmsm_short,earnings_blackout,long_ge_11d,6,0.16666666666666666,-6.702383333333333,-40.214299999999994
mmsm_short,fixed_4r_2r,long_ge_11d,6,0.0,-2.9195499999999996,-17.5173
mmsm_short,hybrid_50pct_target,long_ge_11d,6,0.6666666666666666,-0.42924999999999996,-2.5755
mmsm_short,ma_exit_ema9,long_ge_11d,6,0.16666666666666666,-0.4793666666666667,-2.8762000000000003
mmsm_short,mfe_lockin_trail,long_ge_11d,6,0.0,-1.0181833333333332,-6.1091
mmsm_short,multi_tier_partial,long_ge_11d,6,0.3333333333333333,-0.7731499999999999,-4.6389
