strategy,exit_method,sector,n,win_rate,avg_pnl_pct,total_pnl_pct
lead_lag_sector_rotation,atr_trail_1x,Financials,4,0.25,-0.62895,-2.5158
lead_lag_sector_rotation,atr_trail_1x,Information Technology,1,0.0,-2.0,-2.0
lead_lag_sector_rotation,atr_trail_2x,Financials,4,0.75,3.34355,13.3742
lead_lag_sector_rotation,atr_trail_2x,Information Technology,1,1.0,6.8018,6.8018
lead_lag_sector_rotation,atr_trail_mae_conditional,Financials,4,0.25,-0.62895,-2.5158
lead_lag_sector_rotation,atr_trail_mae_conditional,Information Technology,1,0.0,-2.0,-2.0
lead_lag_sector_rotation,atr_trail_vix_conditional,Financials,4,0.25,-0.766425,-3.0657
lead_lag_sector_rotation,atr_trail_vix_conditional,Information Technology,1,0.0,-2.0,-2.0
lead_lag_sector_rotation,break_even_at_1r,Financials,4,0.5,4.589275,18.3571
lead_lag_sector_rotation,break_even_at_1r,Information Technology,1,0.0,-2.0,-2.0
lead_lag_sector_rotation,breakeven_plus_trail,Financials,4,1.0,6.99975,27.999
lead_lag_sector_rotation,breakeven_plus_trail,Information Technology,1,1.0,13.5918,13.5918
lead_lag_sector_rotation,chandelier_3x,Financials,4,0.5,3.9250499999999997,15.700199999999999
lead_lag_sector_rotation,chandelier_3x,Information Technology,1,1.0,6.8018,6.8018
lead_lag_sector_rotation,class_time_stop,Financials,4,1.0,6.308275,25.2331
lead_lag_sector_rotation,class_time_stop,Information Technology,1,1.0,13.5918,13.5918
lead_lag_sector_rotation,earnings_blackout,Financials,4,1.0,5.445825,21.7833
lead_lag_sector_rotation,earnings_blackout,Information Technology,1,1.0,13.5918,13.5918
lead_lag_sector_rotation,fixed_4r_2r,Financials,4,1.0,4.2593499999999995,17.037399999999998
lead_lag_sector_rotation,fixed_4r_2r,Information Technology,1,1.0,8.0,8.0
lead_lag_sector_rotation,hybrid_50pct_target,Financials,4,1.0,5.3359499999999995,21.343799999999998
lead_lag_sector_rotation,hybrid_50pct_target,Information Technology,1,1.0,9.7959,9.7959
lead_lag_sector_rotation,ma_exit_ema9,Financials,4,0.5,-0.190375,-0.7615
lead_lag_sector_rotation,ma_exit_ema9,Information Technology,1,1.0,5.9533,5.9533
