strategy,exit_method,universe_tier,n,win_rate,avg_pnl_pct,total_pnl_pct
lead_lag_sector_rotation,atr_trail_1x,T1a,4,0.25,-0.62895,-2.5158
lead_lag_sector_rotation,atr_trail_1x,T1c,1,0.0,-2.0,-2.0
lead_lag_sector_rotation,atr_trail_2x,T1a,4,0.75,3.34355,13.3742
lead_lag_sector_rotation,atr_trail_2x,T1c,1,1.0,6.8018,6.8018
lead_lag_sector_rotation,atr_trail_mae_conditional,T1a,4,0.25,-0.62895,-2.5158
lead_lag_sector_rotation,atr_trail_mae_conditional,T1c,1,0.0,-2.0,-2.0
lead_lag_sector_rotation,atr_trail_vix_conditional,T1a,4,0.25,-0.766425,-3.0657
lead_lag_sector_rotation,atr_trail_vix_conditional,T1c,1,0.0,-2.0,-2.0
lead_lag_sector_rotation,break_even_at_1r,T1a,4,0.5,4.589275,18.3571
lead_lag_sector_rotation,break_even_at_1r,T1c,1,0.0,-2.0,-2.0
lead_lag_sector_rotation,breakeven_plus_trail,T1a,4,1.0,6.99975,27.999
lead_lag_sector_rotation,breakeven_plus_trail,T1c,1,1.0,13.5918,13.5918
lead_lag_sector_rotation,chandelier_3x,T1a,4,0.5,3.9250499999999997,15.700199999999999
lead_lag_sector_rotation,chandelier_3x,T1c,1,1.0,6.8018,6.8018
lead_lag_sector_rotation,class_time_stop,T1a,4,1.0,6.308275,25.2331
lead_lag_sector_rotation,class_time_stop,T1c,1,1.0,13.5918,13.5918
lead_lag_sector_rotation,earnings_blackout,T1a,4,1.0,5.445825,21.7833
lead_lag_sector_rotation,earnings_blackout,T1c,1,1.0,13.5918,13.5918
lead_lag_sector_rotation,fixed_4r_2r,T1a,4,1.0,4.2593499999999995,17.037399999999998
lead_lag_sector_rotation,fixed_4r_2r,T1c,1,1.0,8.0,8.0
lead_lag_sector_rotation,hybrid_50pct_target,T1a,4,1.0,5.3359499999999995,21.343799999999998
lead_lag_sector_rotation,hybrid_50pct_target,T1c,1,1.0,9.7959,9.7959
lead_lag_sector_rotation,ma_exit_ema9,T1a,4,0.5,-0.190375,-0.7615
lead_lag_sector_rotation,ma_exit_ema9,T1c,1,1.0,5.9533,5.9533
lead_lag_sector_rotation,mfe_lockin_trail,T1a,4,0.25,-0.5402750000000001,-2.1611000000000002
lead_lag_sector_rotation,mfe_lockin_trail,T1c,1,0.0,-2.0,-2.0
lead_lag_sector_rotation,multi_tier_partial,T1a,4,0.25,-0.58955,-2.3582
lead_lag_sector_rotation,multi_tier_partial,T1c,1,0.0,-2.0,-2.0
lead_lag_sector_rotation,next_pivot_target,T1a,4,1.0,2.5625,10.25
lead_lag_sector_rotation,next_pivot_target,T1c,1,1.0,6.0,6.0
lead_lag_sector_rotation,r_multiple_2r,T1a,4,0.5,-0.03707499999999997,-0.14829999999999988
lead_lag_sector_rotation,r_multiple_2r,T1c,1,0.0,-2.0,-2.0
lead_lag_sector_rotation,r_multiple_3r,T1a,4,0.5,0.6253500000000001,2.5014000000000003
lead_lag_sector_rotation,r_multiple_3r,T1c,1,0.0,-2.0,-2.0
lead_lag_sector_rotation,regime_flip,T1a,4,1.0,4.2943,17.1772
lead_lag_sector_rotation,regime_flip,T1c,1,1.0,13.5856,13.5856
lead_lag_sector_rotation,reverse_signal,T1a,4,0.25,-0.62895,-2.5158
lead_lag_sector_rotation,reverse_signal,T1c,1,0.0,-2.0,-2.0
lead_lag_sector_rotation,smart_money_reversal,T1a,4,0.25,-0.62895,-2.5158
