s,cur,cur_exp,bpt_exp,best,best_exp,n
52w_high_breakout_pullback_long,trailing_stop,,7.830640000000001,earnings_blackout,10.701836,50
52w_high_breakout_with_smart_money_vol_below_long,trailing_stop,,4.582617073170732,earnings_blackout,10.460756097560974,41
52w_low_breakdown_pullback_short,trailing_stop,,-0.41932876712328765,earnings_blackout,0.37216712328767104,73
avwap_252_breakout,breakeven_plus_trail,1.322373076923077,1.322373076923077,breakeven_plus_trail,1.322373076923077,468
avwap_50_reclaim,hybrid_50pct_target,-0.6723230188679241,0.5456067924528303,breakeven_plus_trail,0.5456067924528303,265
awesome_oscillator,earnings_blackout,-3.1130588235294114,-0.5993113725490194,breakeven_plus_trail,-0.5993113725490194,255
bb_squeeze_volume,trailing_stop,,-0.7501352601156068,breakeven_plus_trail,-0.7501352601156068,173
bollinger_lower,fixed_4r_2r,0.03785488372093037,2.0008941860465117,earnings_blackout,2.0277209302325585,430
bollinger_tight_with_smart_money_long,trailing_stop,,1.6382088050314467,breakeven_plus_trail,1.6382088050314467,159
bollinger_upper_short,trailing_stop,,-0.4385125,r_multiple_2r,0.13637812499999996,32
break_retest_confluence,trailing_stop,,0.7204703872437357,breakeven_plus_trail,0.7204703872437357,439
break_retest_volume,earnings_blackout,-1.0349298780487806,0.6619916666666666,breakeven_plus_trail,0.6619916666666666,492
bullish_engulfing_support,trailing_stop,,1.2143425531914893,breakeven_plus_trail,1.2143425531914893,235
camarilla_r4_breakout,trailing_stop,,0.7339155864197532,breakeven_plus_trail,0.7339155864197532,1296
camarilla_s3_bounce,trailing_stop,,1.6936508474576268,breakeven_plus_trail,1.6936508474576268,59
cmf_flip,breakeven_plus_trail,0.23200197568389055,0.23200197568389055,breakeven_plus_trail,0.23200197568389055,658
cpr_narrow_bullish,breakeven_plus_trail,1.1776861423220975,1.1776861423220975,breakeven_plus_trail,1.1776861423220975,267
cpr_narrow_momentum,time_stop_10d,-0.6660059574468086,0.6030331914893616,breakeven_plus_trail,0.6030331914893616,235
cpr_narrow_momentum_short,trailing_stop,,-0.946303007518797,r_multiple_2r,-0.49994736842105275,399
cup_and_handle_long,trailing_stop,,1.701503125,trailing_15pct,5.7759156250000006,32
dc20_break_retest,trailing_stop,,0.5940357407407407,breakeven_plus_trail,0.5940357407407407,540
doji_at_resistance_short,trailing_stop,,-1.56257,ma_exit_ema9,-0.8087877777777779,90
doji_at_support,trailing_stop,,1.4385122807017543,fixed_4r_2r,1.9031508771929826,57
donchian_10_breakout,trailing_stop,,1.1521774647887324,breakeven_plus_trail,1.1521774647887324,213
donchian_breakdown_retest_short,trailing_stop,,-0.9167500000000001,smc_mitigation_zone,-0.7501486607142857,224
donchian_breakdown_short,trailing_stop,,-1.4161486338797813,r_multiple_3r,-1.0496387978142077,183
donchian_breakout_long,trailing_stop,,3.76114262295082,breakeven_plus_trail,3.76114262295082,122
donchian_breakout_retest_long,trailing_stop,,2.8566164179104474,breakeven_plus_trail,2.8566164179104474,134
donchian_breakout_with_smart_money_long,trailing_stop,,2.713136637931034,trailing_15pct,3.076869827586207,232
double_bottom_long,trailing_stop,,0.20300312499999973,class_time_stop,1.62108125,64
force_index_breakout,trailing_stop,,0.671132100591716,breakeven_plus_trail,0.671132100591716,676
golden_cross_20_50,trailing_stop,,-0.1291153846153846,breakeven_plus_trail,-0.1291153846153846,104
golden_cross_9_21,next_pivot_target,-0.00013009708737850544,3.5594393203883494,breakeven_plus_trail,3.5594393203883494,206
hammer_at_support_long,trailing_stop,,1.8097700000000003,earnings_blackout,2.677196666666667,30
head_and_shoulders_bottom_long,trailing_stop,,0.7654085714285714,class_time_stop,2.2645999999999997,35
head_and_shoulders_top_short,trailing_stop,,-1.6752517647058824,ma_exit_ema9,-0.5268917647058824,85
htf_aligned_breakout_long,earnings_blackout,9.290017582417583,7.151568131868132,earnings_blackout,9.290017582417583,91
