ticker,date,strategy,scaler,multiplier
SPY,2023-09-01,mmsm_short,per_position_vol_target,1.2298
SPY,2023-09-01,stochrsi_overbought_short,per_position_vol_target,1.2298
NVDA,2023-09-01,pairs_mean_reversion_long,per_position_vol_target,0.3174
NVDA,2023-09-01,morning_star,per_position_vol_target,0.3174
MSFT,2023-09-04,pairs_mean_reversion_long,correlation_cap_batch223,0.5
MSFT,2023-09-04,pairs_mean_reversion_long,per_position_vol_target,0.6539
MSFT,2023-09-04,mmsm_short,correlation_cap_batch223,0.5
MSFT,2023-09-04,mmsm_short,per_position_vol_target,0.6539
MSFT,2023-09-04,stochrsi_overbought_short,correlation_cap_batch223,0.5
MSFT,2023-09-04,stochrsi_overbought_short,per_position_vol_target,0.6539
AAPL,2023-09-05,po3_bullish,per_position_vol_target,0.7718
AAPL,2023-09-05,smc_breaker_block_long,per_position_vol_target,0.7718
AAPL,2023-09-05,pead_long_high_yoy_growth_only,per_position_vol_target,0.7718
AAPL,2023-09-05,awesome_oscillator,per_position_vol_target,0.7718
AAPL,2023-09-05,golden_cross_20_50,per_position_vol_target,0.7718
AMZN,2023-09-06,macd_crossover,per_position_vol_target,0.5542
AMZN,2023-09-06,three_black_crows_short,per_position_vol_target,0.5542
AMZN,2023-09-06,macd_crossover_short,per_position_vol_target,0.5542
AMZN,2023-09-06,pairs_mean_reversion_short,per_position_vol_target,0.5542
SPY,2023-09-07,mmbm_long,correlation_cap_batch223,0.5
SPY,2023-09-07,mmbm_long,per_position_vol_target,1.2642
SPY,2023-09-07,po3_bullish,correlation_cap_batch223,0.5
SPY,2023-09-07,po3_bullish,per_position_vol_target,1.2642
SPY,2023-09-07,smc_breaker_block_long,correlation_cap_batch223,0.5
SPY,2023-09-07,smc_breaker_block_long,per_position_vol_target,1.2642
SPY,2023-09-07,institutional_buy_momentum_long,correlation_cap_batch223,0.5
SPY,2023-09-07,institutional_buy_momentum_long,per_position_vol_target,1.2642
SPY,2023-09-07,bollinger_tight_with_smart_money_long,correlation_cap_batch223,0.5
SPY,2023-09-07,bollinger_tight_with_smart_money_long,per_position_vol_target,1.2642
SPY,2023-09-07,52w_high_breakout_with_smart_money_vol_below_long,correlation_cap_batch223,0.5
SPY,2023-09-07,52w_high_breakout_with_smart_money_vol_below_long,per_position_vol_target,1.2642
SPY,2023-09-07,poc_magnet_long,correlation_cap_batch223,0.5
SPY,2023-09-07,poc_magnet_long,per_position_vol_target,1.2642
GOOGL,2023-09-08,pead_long,per_position_vol_target,0.5973
GOOGL,2023-09-08,pead_long_high_yoy_growth_only,per_position_vol_target,0.5973
GOOGL,2023-09-08,donchian_breakout_retest_long,per_position_vol_target,0.5973
GOOGL,2023-09-08,r1_break_retest,per_position_vol_target,0.5973
GOOGL,2023-09-08,52wh_break_retest,per_position_vol_target,0.5973
GOOGL,2023-09-08,break_retest_volume,per_position_vol_target,0.5973
GOOGL,2023-09-08,break_retest_confluence,per_position_vol_target,0.5973
SPY,2023-09-08,smc_breaker_block_long,per_position_vol_target,1.3051
SPY,2023-09-08,institutional_buy_momentum_long,per_position_vol_target,1.3051
SPY,2023-09-08,bollinger_tight_with_smart_money_long,per_position_vol_target,1.3051
