strategy,exit_method,sector,n,win_rate,avg_pnl_pct,total_pnl_pct
adx_initiation,atr_trail_1x,Communication Services,6,0.0,-5.691300000000001,-34.147800000000004
adx_initiation,atr_trail_1x,Consumer Discretionary,16,0.25,-0.8949562499999999,-14.319299999999998
adx_initiation,atr_trail_1x,Energy,17,0.29411764705882354,0.5965882352941176,10.142
adx_initiation,atr_trail_1x,Financials,18,0.2777777777777778,-1.4297722222222222,-25.7359
adx_initiation,atr_trail_1x,Health Care,53,0.18867924528301888,-4.353896226415094,-230.7565
adx_initiation,atr_trail_1x,Industrials,19,0.3684210526315789,-1.7782315789473684,-33.7864
adx_initiation,atr_trail_1x,Information Technology,28,0.21428571428571427,-2.2441392857142857,-62.8359
adx_initiation,atr_trail_1x,Materials,11,0.09090909090909091,-5.596354545454545,-61.5599
adx_initiation,atr_trail_1x,Unknown,15,0.3333333333333333,-2.52834,-37.9251
adx_initiation,atr_trail_1x,Utilities,3,0.0,-5.891533333333332,-17.674599999999998
adx_initiation,atr_trail_2x,Communication Services,6,0.3333333333333333,14.31825,85.90950000000001
adx_initiation,atr_trail_2x,Consumer Discretionary,16,0.375,-2.1176250000000003,-33.882000000000005
adx_initiation,atr_trail_2x,Energy,17,0.29411764705882354,-2.8596588235294114,-48.6142
adx_initiation,atr_trail_2x,Financials,18,0.2777777777777778,-2.2430055555555555,-40.3741
adx_initiation,atr_trail_2x,Health Care,53,0.32075471698113206,0.24274905660377405,12.865700000000025
adx_initiation,atr_trail_2x,Industrials,19,0.3684210526315789,1.0105842105263156,19.201099999999997
adx_initiation,atr_trail_2x,Information Technology,28,0.2857142857142857,-3.7685035714285715,-105.5181
adx_initiation,atr_trail_2x,Materials,11,0.18181818181818182,-9.89548181818182,-108.8503
adx_initiation,atr_trail_2x,Unknown,15,0.4666666666666667,-0.3995000000000001,-5.9925000000000015
adx_initiation,atr_trail_2x,Utilities,3,0.0,-12.512999999999998,-37.538999999999994
adx_initiation,atr_trail_mae_conditional,Communication Services,6,0.0,-5.691300000000001,-34.147800000000004
adx_initiation,atr_trail_mae_conditional,Consumer Discretionary,16,0.25,-0.8949562499999999,-14.319299999999998
adx_initiation,atr_trail_mae_conditional,Energy,17,0.29411764705882354,0.5965882352941176,10.142
adx_initiation,atr_trail_mae_conditional,Financials,18,0.2777777777777778,-1.4297722222222222,-25.7359
adx_initiation,atr_trail_mae_conditional,Health Care,53,0.18867924528301888,-4.353896226415094,-230.7565
adx_initiation,atr_trail_mae_conditional,Industrials,19,0.3684210526315789,-1.7782315789473684,-33.7864
adx_initiation,atr_trail_mae_conditional,Information Technology,28,0.21428571428571427,-2.2441392857142857,-62.8359
adx_initiation,atr_trail_mae_conditional,Materials,11,0.09090909090909091,-5.596354545454545,-61.5599
adx_initiation,atr_trail_mae_conditional,Unknown,15,0.3333333333333333,-2.52834,-37.9251
adx_initiation,atr_trail_mae_conditional,Utilities,3,0.0,-5.891533333333332,-17.674599999999998
adx_initiation,atr_trail_vix_conditional,Communication Services,6,0.16666666666666666,-3.64,-21.84
adx_initiation,atr_trail_vix_conditional,Consumer Discretionary,16,0.25,-1.3946625000000004,-22.314600000000006
adx_initiation,atr_trail_vix_conditional,Energy,17,0.23529411764705882,-0.28447058823529414,-4.836
adx_initiation,atr_trail_vix_conditional,Financials,18,0.2222222222222222,-0.9834555555555552,-17.702199999999994
adx_initiation,atr_trail_vix_conditional,Health Care,53,0.20754716981132076,-4.510671698113208,-239.06560000000002
adx_initiation,atr_trail_vix_conditional,Industrials,19,0.3684210526315789,-2.1919947368421053,-41.6479
adx_initiation,atr_trail_vix_conditional,Information Technology,28,0.25,-1.920925,-53.7859
adx_initiation,atr_trail_vix_conditional,Materials,11,0.0,-6.7394,-74.1334
adx_initiation,atr_trail_vix_conditional,Unknown,15,0.26666666666666666,-2.0571533333333334,-30.857300000000002
adx_initiation,atr_trail_vix_conditional,Utilities,3,0.0,-8.154233333333334,-24.4627
adx_initiation,break_even_at_1r,Communication Services,6,0.16666666666666666,-3.5021,-21.0126
adx_initiation,break_even_at_1r,Consumer Discretionary,16,0.25,-1.1537374999999999,-18.459799999999998
adx_initiation,break_even_at_1r,Energy,17,0.11764705882352941,-1.9989000000000003,-33.981300000000005
adx_initiation,break_even_at_1r,Financials,18,0.16666666666666666,-0.7800833333333332,-14.041499999999997
adx_initiation,break_even_at_1r,Health Care,53,0.1509433962264151,-3.771456603773585,-199.8872
adx_initiation,break_even_at_1r,Industrials,19,0.21052631578947367,-1.5675263157894737,-29.782999999999998
adx_initiation,break_even_at_1r,Information Technology,28,0.21428571428571427,-1.2514392857142858,-35.0403
adx_initiation,break_even_at_1r,Materials,11,0.09090909090909091,-5.332027272727273,-58.6523
adx_initiation,break_even_at_1r,Unknown,15,0.13333333333333333,-1.3413466666666665,-20.120199999999997
adx_initiation,break_even_at_1r,Utilities,3,0.0,-4.298,-12.894
adx_initiation,breakeven_plus_trail,Communication Services,6,0.3333333333333333,16.847183333333334,101.0831
adx_initiation,breakeven_plus_trail,Consumer Discretionary,16,0.4375,0.41165000000000007,6.586400000000001
adx_initiation,breakeven_plus_trail,Energy,17,0.29411764705882354,1.5206941176470588,25.851799999999997
adx_initiation,breakeven_plus_trail,Financials,18,0.4444444444444444,8.452694444444443,152.14849999999998
adx_initiation,breakeven_plus_trail,Health Care,53,0.5660377358490566,5.996820754716981,317.8315
adx_initiation,breakeven_plus_trail,Industrials,19,0.47368421052631576,8.886847368421053,168.8501
adx_initiation,breakeven_plus_trail,Information Technology,28,0.42857142857142855,-0.2566285714285715,-7.185600000000001
adx_initiation,breakeven_plus_trail,Materials,11,0.18181818181818182,-9.884436363636365,-108.7288
adx_initiation,breakeven_plus_trail,Unknown,15,0.4666666666666667,3.1281266666666663,46.921899999999994
adx_initiation,breakeven_plus_trail,Utilities,3,0.0,-12.952233333333332,-38.8567
adx_initiation,chandelier_3x,Communication Services,6,0.0,-0.8094833333333334,-4.8569
