exit_method,regime_at_entry,sector,cap_band,vol_band,hold_duration_band,n,win_rate,avg_pnl_pct,total_pnl_pct,sharpe_proxy
atr_trail_1x,bear,Communication Services,unknown,high_25_40,long_ge_11d,20,0.4,0.759605,15.1921,0.7121037497318762
atr_trail_1x,bear,Communication Services,unknown,mid_15_25,long_ge_11d,19,0.3157894736842105,-0.6859421052631579,-13.0329,-1.59875034701689
atr_trail_1x,bear,Communication Services,unknown,mid_15_25,medium_4_10d,7,0.0,-3.4041714285714284,-23.8292,-4.231048138133799
atr_trail_1x,bear,Consumer Discretionary,unknown,high_25_40,long_ge_11d,97,0.3917525773195876,0.4340494845360825,42.1028,0.5573770160365578
atr_trail_1x,bear,Consumer Discretionary,unknown,high_25_40,medium_4_10d,29,0.1724137931034483,-3.1689620689655174,-91.8999,-1.997719577569595
atr_trail_1x,bear,Consumer Discretionary,unknown,high_25_40,short_le_3d,27,0.1111111111111111,-4.6813370370370375,-126.3961,-4.729581068615929
atr_trail_1x,bear,Consumer Discretionary,unknown,mid_15_25,long_ge_11d,67,0.3283582089552239,-0.39115671641791044,-26.2075,-0.7012923434324813
atr_trail_1x,bear,Consumer Discretionary,unknown,mid_15_25,medium_4_10d,23,0.13043478260869565,-3.2494521739130433,-74.7374,-5.442998427292979
atr_trail_1x,bear,Consumer Discretionary,unknown,mid_15_25,short_le_3d,16,0.125,-4.36761875,-69.8819,-3.2707538000966374
atr_trail_1x,bear,Consumer Staples,unknown,high_25_40,long_ge_11d,18,0.2777777777777778,-0.26562222222222226,-4.781200000000001,-0.396690469711353
atr_trail_1x,bear,Consumer Staples,unknown,mid_15_25,long_ge_11d,13,0.23076923076923078,-0.984476923076923,-12.7982,-2.1278783614640715
atr_trail_1x,bear,Consumer Staples,unknown,mid_15_25,medium_4_10d,5,0.4,-0.77794,-3.8897,-1.6138889000449288
atr_trail_1x,bear,Energy,unknown,high_25_40,long_ge_11d,40,0.25,-1.1717175000000002,-46.868700000000004,-2.022791551808872
atr_trail_1x,bear,Energy,unknown,high_25_40,medium_4_10d,24,0.125,-3.7002666666666664,-88.8064,-4.697358340411485
atr_trail_1x,bear,Energy,unknown,high_25_40,short_le_3d,10,0.0,-7.384829999999999,-73.8483,-4.747221427986202
atr_trail_1x,bear,Energy,unknown,mid_15_25,long_ge_11d,42,0.42857142857142855,0.8251452380952381,34.6561,0.884270030125121
atr_trail_1x,bear,Energy,unknown,mid_15_25,medium_4_10d,9,0.0,-3.307833333333333,-29.7705,-5.7995425654419215
atr_trail_1x,bear,Financials,unknown,crisis_ge_40,long_ge_11d,6,0.3333333333333333,-1.1361666666666668,-6.817,-0.59627078967149
atr_trail_1x,bear,Financials,unknown,crisis_ge_40,short_le_3d,7,0.0,-5.5630999999999995,-38.9417,-5.039785978769901
atr_trail_1x,bear,Financials,unknown,high_25_40,long_ge_11d,51,0.2549019607843137,-0.8743686274509804,-44.592800000000004,-1.5353716376668727
atr_trail_1x,bear,Financials,unknown,high_25_40,medium_4_10d,18,0.16666666666666666,-3.0176666666666665,-54.318,-3.699674764769906
atr_trail_1x,bear,Financials,unknown,high_25_40,short_le_3d,14,0.0,-7.566157142857143,-105.9262,-4.708098470877484
atr_trail_1x,bear,Financials,unknown,mid_15_25,long_ge_11d,48,0.3541666666666667,-0.3087875,-14.8218,-0.5592347454091825
atr_trail_1x,bear,Financials,unknown,mid_15_25,medium_4_10d,14,0.14285714285714285,-3.334628571428571,-46.684799999999996,-3.3151067967063206
atr_trail_1x,bear,Health Care,unknown,crisis_ge_40,long_ge_11d,9,0.2222222222222222,0.3369666666666668,3.032700000000001,0.12944001499787616
atr_trail_1x,bear,Health Care,unknown,crisis_ge_40,short_le_3d,7,0.0,-6.878,-48.146,-12.559932954633526
atr_trail_1x,bear,Health Care,unknown,high_25_40,long_ge_11d,98,0.29591836734693877,-0.2624367346938775,-25.718799999999998,-0.4329105157049566
atr_trail_1x,bear,Health Care,unknown,high_25_40,medium_4_10d,51,0.1568627450980392,-3.637178431372549,-185.49609999999998,-4.327490476472079
atr_trail_1x,bear,Health Care,unknown,high_25_40,short_le_3d,54,0.09259259259259259,-7.5511685185185184,-407.7631,-9.27826306368011
