date,level,event,dd_from_peak,rolling_peak_equity,current_equity,z_score,today_dispersion,ticker,reason,exit_price,action,new_stop
2022-01-05,6.0,halt_triggered,-0.269,100000.0,73095.8,,,,,,,
2022-01-31,,dispersion_cb_triggered_dec128,,,,4.4465,0.045407,,,,,
2022-02-04,,dispersion_cb_triggered_dec128,,,,4.9001,0.056133,,,,,
2022-02-17,1.0,,,,,,,TXG,overnight_gap_down_20.1pct,75.87,,
2022-02-17,,dispersion_cb_triggered_dec128,,,,3.8983,0.06398,,,,,
2022-03-03,1.0,,,,,,,RSI,overnight_gap_down_16.7pct,8.46,,
2022-03-08,6.0,halt_triggered,-1.4869,100000.0,-48693.23999999999,,,,,,,
2022-03-10,6.0,halt_resumed,-1.4851,100000.0,-48510.76000000001,,,,,,,
2022-03-11,6.0,halt_triggered,-1.4923,100000.0,-49234.04999999999,,,,,,,
2022-03-16,6.0,halt_resumed,-1.489,100000.0,-48899.44,,,,,,,
2022-03-17,6.0,halt_triggered,-1.4785,100000.0,-47849.47,,,,,,,
2022-03-18,6.0,halt_resumed,-1.4831,100000.0,-48314.04000000001,,,,,,,
2022-03-21,6.0,halt_triggered,-1.4587,100000.0,-45874.98000000001,,,,,,,
2022-03-31,6.0,halt_resumed,-1.4598,100000.0,-45984.890000000014,,,,,,,
2022-04-01,6.0,halt_triggered,-1.4613,100000.0,-46127.360000000015,,,,,,,
2022-04-12,1.0,,,,,,,MYOV,overnight_gap_down_22.1pct,10.81,,
2022-05-05,1.0,,,,,,,ETSY,overnight_gap_down_13.8pct,94.26,,
2022-05-05,,dispersion_cb_triggered_dec128,,,,4.3907,0.04103,,,,,
2022-05-09,,dispersion_cb_triggered_dec128,,,,3.5874,0.043893,,,,,
2022-05-10,,dispersion_cb_triggered_dec128,,,,3.0546,0.046125,,,,,
2022-05-11,,dispersion_cb_triggered_dec128,,,,3.0108,0.050154,,,,,
2022-05-24,1.0,,,,,,,PINS,overnight_gap_down_17.3pct,18.69,,
2022-06-01,6.0,halt_triggered,-1.8861,100000.0,-88607.86000000002,,,,,,,
2022-06-02,6.0,halt_resumed,-1.8944,100000.0,-89443.04000000001,,,,,,,
2022-06-03,6.0,halt_triggered,-1.8944,100000.0,-89443.04000000001,,,,,,,
2022-06-06,6.0,halt_resumed,-1.9016,100000.0,-90163.63,,,,,,,
2022-06-07,6.0,halt_triggered,-1.9437,100000.0,-94366.38,,,,,,,
2022-06-30,1.0,,,,,,,CYTK,overnight_gap_down_16.9pct,40.49,,
2022-06-30,1.0,,,,,,,SGH,overnight_gap_down_13.2pct,17.6,,
2022-07-01,,dispersion_cb_triggered_dec128,,,,4.7443,0.055507,,,,,
2022-07-05,,dispersion_cb_triggered_dec128,,,,3.36,0.057318,,,,,
2022-07-06,1.0,,,,,,,EOSE,overnight_gap_up_25.4pct,1.58,,
2022-07-15,1.0,,,,,,,PINS,overnight_gap_up_13.5pct,19.93,,
2022-07-19,1.0,,,,,,,APLS,overnight_gap_up_26.1pct,56.42,,
2022-07-29,1.0,,,,,,,ROKU,overnight_gap_down_22.4pct,66.1,,
2022-08-03,1.0,,,,,,,ALNY,overnight_gap_up_47.9pct,210.0,,
