strategy,sharpe_adj,win_rate_adj,profit_factor_adj,haircut_pct_applied
rsi21_slow,0.0,0.8,inf,0.4
news_sentiment_shift_long,0.0,0.9,inf,0.2
keltner_lower,0.0,0.9,inf,0.2
pivot_r2_continuation,0.0,0.9,inf,0.2
stoch_oversold,0.0,0.60003,53.14573,0.2
pead_with_insider_confirmation_long,0.0,0.60003,32.46832,0.2
camarilla_s3_bounce,0.0,0.45,5.88853,0.2
poc_magnet_long,0.0,0.45,2.96164,0.2
post_inclusion_reversal_short,0.0,0.45,1.8249400000000002,0.2
avwap_50_reclaim,0.0,0.34902,0.7006,0.2
xs_low_beta_long,0.0,0.33804,1.54765,0.2
williams_r_oversold,0.0,0.33237,1.55836,0.2
po3_bullish,0.0,0.33156,0.74,0.2
orb_stocks_in_play_short,0.0,0.32139,1.0936000000000001,0.2
stochrsi_overbought_short,0.0,0.28496000000000005,1.0432000000000001,0.4
cpr_narrow_bullish,0.0,0.31671,0.672,0.2
ultimate_oscillator,0.0,0.31545,1.47367,0.2
bollinger_tight,0.0,0.31392000000000003,1.45621,0.2
hull_rsi,0.0,0.27432,1.1619199999999998,0.4
hull_rsi_short,0.0,0.27096000000000003,0.5429,0.4
ichimoku_tk_cross,0.0,0.29997,1.08514,0.2
pead_short,0.0,0.29997,0.9333,0.2
morning_star,0.0,0.29421,0.9009,0.2
po3_htf_aligned_short,0.0,0.29186999999999996,0.8232,0.2
cpr_narrow_momentum,0.0,0.25264000000000003,0.888,0.4
pairs_mean_reversion_long,0.0,0.24975999999999998,1.13496,0.4
break_retest_volume,0.0,0.27774,0.9978,0.2
avwap_252_breakout,0.0,0.2424,1.13168,0.4
camarilla_r3_breakout,0.0,0.23856000000000002,0.6257,0.4
ppo_crossover,0.0,0.26559,0.9215,0.2
monthly_bias_momentum_long,0.0,0.2268,1.18544,0.4
pead_long,0.0,0.25236,1.21807,0.2
xs_quality_top_quintile_long,0.0,0.25074,0.7732,0.2
macd_crossover,0.0,0.22224,1.00536,0.4
pre_fomc_long_sleeve,0.0,0.25002,0.6649,0.2
buyback_8k_recent_long,0.0,0.24894000000000002,0.9785,0.2
risk_off_bond_equity_short,0.0,0.24830999999999998,0.4822,0.2
htf_aligned_breakout_long,0.0,0.21816000000000002,0.8158,0.4
inside_bar_breakout,0.0,0.21816000000000002,0.4259,0.4
force_index_breakout,0.0,0.21680000000000002,0.6374,0.4
williams_stoch_dual,0.0,0.24228,1.0883800000000001,0.2
three_white_soldiers,0.0,0.24228,1.02475,0.2
squeeze_breakout,0.0,0.21223999999999998,0.4742,0.4
macd_fast_crossover,0.0,0.21056,0.9972,0.4
tema_dema,0.0,0.23535,0.3941,0.2
stochrsi_oversold,0.0,0.20704,0.8594,0.4
xs_momentum_bottom_decile_short,0.0,0.20344000000000004,0.585,0.4
po3_bearish,0.0,0.22689,0.4806,0.2
cmf_flip,0.0,0.225,1.31968,0.2
insider_cluster_long,0.0,0.225,0.3365,0.2
adx_initiation,0.0,0.22194000000000003,0.7015,0.2
orb_stocks_in_play_long,0.0,0.21888,0.6809,0.2
ichimoku_cloud_breakout,0.0,0.18888000000000002,0.7832,0.4
pivot_s1_bounce,0.0,0.21177,0.5005,0.2
golden_cross_9_21,0.0,0.20997000000000002,0.4635,0.2
parabolic_sar_flip,0.0,0.20961,0.6964,0.2
awesome_oscillator,0.0,0.20772000000000002,0.6941,0.2
xs_momentum_top_decile,0.0,0.18376,0.6498,0.4
break_retest_confluence,0.0,0.20457,0.4073,0.2
prev_day_low_bounce,0.0,0.19998000000000002,0.1869,0.2
institutional_cluster_long,0.0,0.19692,0.4737,0.2
htf_aligned_breakout_short,0.0,0.17232000000000003,0.4768,0.4
lead_lag_sector_rotation,0.0,0.19125,0.7494,0.2
supertrend_macd,0.0,0.16552,0.4247,0.4
institutional_buy_momentum_long,0.0,0.16000000000000003,0.2343,0.4
pairs_mean_reversion_short,0.0,0.14543999999999999,0.7538,0.4
roc_burst,0.0,0.15885,0.2259,0.2
r1_break_retest,0.0,0.15003,0.7598,0.2
pivot_r1_breakout,0.0,0.12,0.2191,0.4
cpr_narrow_momentum_short,0.0,0.11848000000000002,0.175,0.4
prev_day_high_break,0.0,0.12861,0.5265,0.2
po3_htf_aligned_long,0.0,0.12159,0.7294,0.2
bollinger_lower,0.0,0.05292,0.2029,0.2
rsi_oversold,0.0,0.0,0.0,0.4
totm_long,0.0,0.0,0.0,0.2
double_bottom_long,0.0,0.0,0.0,0.2
head_and_shoulders_bottom_long,0.0,0.0,0.0,0.2
golden_cross_20_50,0.0,0.0,0.0,0.2
institutional_oversold_long,0.0,0.0,0.0,0.2
halloween_seasonal_long,0.0,0.0,0.0,0.2
rsi_volume_200ema,0.0,0.0,0.0,0.4
doji_at_support,0.0,0.0,0.0,0.2
bullish_engulfing_support,0.0,0.0,0.0,0.2
pivot_s3_capitulation,0.0,0.0,0.0,0.2
vix_backwardation_long,0.0,0.0,0.0,0.2
golden_cross_50_200,0.0,0.0,0.0,0.2
bollinger_upper_short,0.0,0.0,0.0,0.2
evening_star_short,0.0,0.0,0.0,0.2
