strategy,exit_method,trades,win_rate,profit_factor,avg_pnl_pct,total_roi_pct,max_drawdown_pct,avg_hold_days,actual_fire_rate,composite_score,recommended
adx_initiation,next_pivot_target,223,0.7399,5.6621,13.9168,3103.4398,-117.5656,8.8,0.9865,59.6,True
po3_bullish,earnings_blackout,285,0.5018,1.3906,2.9144,830.6036,-574.978,119.5,0.8456,31.79,True
macd_fast_crossover,earnings_blackout,57,0.5263,2.0807,10.5786,602.9784,-204.4994,134.2,0.8421,51.05,True
bollinger_tight,next_pivot_target,86,0.7791,2.1472,2.6326,226.4036,-68.0957,8.6,1.0,61.16,True
ichimoku_cloud_breakout,breakeven_plus_trail,72,0.4306,1.5022,2.5222,181.6005,-122.346,26.8,0.9861,32.29,True
stochrsi_oversold,breakeven_plus_trail,228,0.3465,1.7311,3.3889,772.6601,-188.0488,33.9,0.9737,35.79,True
awesome_oscillator,breakeven_plus_trail,39,0.3846,1.4458,1.8765,73.1837,-75.3746,23.5,0.8974,28.76,True
tema_dema,hybrid_50pct_target,65,0.5692,1.4176,2.2289,144.8796,-81.1365,44.1,0.9385,35.3,True
cmf_flip,breakeven_plus_trail,144,0.4097,2.8198,6.4639,930.7966,-78.8116,40.3,0.9514,46.39,True
three_white_soldiers,next_pivot_target,52,0.7885,1.446,0.7518,39.0918,-34.3018,6.9,1.0,44.92,True
institutional_cluster_long,earnings_blackout,64,0.5625,3.3876,11.7556,752.3568,-79.8599,78.9,0.9375,52.5,True
morning_star,earnings_blackout,52,0.6538,1.6693,3.1227,162.3801,-56.9866,81.3,0.9423,46.23,True
lead_lag_sector_rotation,earnings_blackout,80,0.4625,322.2481,2865.1873,229214.9877,-214.7513,231.9,0.8625,48.5,True
bollinger_lower,chandelier_3x,17,0.0,0.0,-0.2429,-4.1295,-3.8655,1.2,1.0,24.2,True
ichimoku_tk_cross,breakeven_plus_trail,18,0.4444,2.204,4.3014,77.4256,-33.8284,26.6,1.0,47.78,True
pivot_r1_breakout,hybrid_50pct_target,20,0.45,1.5503,2.7096,54.1921,-33.1991,30.5,0.9,34.51,True
force_index_breakout,next_pivot_target,107,0.5701,0.7739,-1.0365,-110.9058,-193.9389,13.3,0.9813,22.8,True
supertrend_macd,next_pivot_target,116,0.75,0.7729,-0.6043,-70.0981,-96.8138,7.5,0.9914,30.0,True
break_retest_volume,earnings_blackout,81,0.5185,1.4229,2.6011,210.6915,-164.651,44.8,0.9136,33.43,True
parabolic_sar_flip,next_pivot_target,73,0.6849,1.8687,2.7238,198.8398,-35.4099,16.5,0.9726,53.46,True
pead_long,next_pivot_target,107,0.7664,2.1014,2.4915,266.5903,-62.6396,7.6,1.0,60.66,True
totm_long,next_pivot_target,6,0.6667,0.4911,-1.7793,-10.6759,-10.9767,10.0,1.0,40.2,True
pairs_mean_reversion_long,next_pivot_target,221,0.81,2.4225,2.6381,583.024,-72.6742,15.4,0.9864,62.4,True
r1_break_retest,time_stop_10d,18,0.3889,1.7826,4.1927,75.4683,-42.2985,14.5,1.0,39.03,True
