strategy,exit_method,trades,win_rate,profit_factor,avg_pnl_pct,total_roi_pct,max_drawdown_pct,avg_hold_days,actual_fire_rate,composite_score,recommended
adx_initiation,next_pivot_target,223,0.7399,5.6621,13.9168,3103.4398,-117.5656,8.8,0.9865,59.6,True
adx_initiation,earnings_blackout,223,0.5516,24.5684,212.8501,47465.5665,-500.4531,127.0,0.8296,52.06,False
adx_initiation,time_stop_20d,223,0.5202,24.8521,162.7549,36294.3531,-251.8266,28.4,1.0,50.81,False
adx_initiation,time_stop_10d,223,0.5202,3.1159,11.8471,2641.9115,-173.1815,14.2,1.0,50.81,False
adx_initiation,regime_flip,223,0.5202,24.8521,162.7549,36294.3531,-251.8266,28.4,1.0,50.81,False
adx_initiation,class_time_stop,223,0.5067,27.433,319.5269,71254.5078,-470.1682,69.6,1.0,50.27,False
adx_initiation,breakeven_plus_trail,223,0.5067,9.0393,37.365,8332.3978,-148.97,29.4,0.9641,50.27,False
adx_initiation,r_multiple_2r,223,0.4126,8.544,35.6534,7950.7004,-114.2178,16.1,0.9776,46.5,False
adx_initiation,fixed_4r_2r,223,0.3857,5.7225,44.9284,10019.0413,-295.1886,42.2,0.9417,45.43,False
adx_initiation,r_multiple_3r,223,0.3139,7.4964,35.2122,7852.3118,-117.5757,24.0,0.9641,42.56,False
adx_initiation,break_even_at_1r,223,0.2466,3.0253,7.3629,1641.9168,-226.1415,14.4,0.9821,39.86,False
adx_initiation,chandelier_3x,223,0.1166,1.7274,1.7648,393.5451,-183.221,7.1,0.9776,26.49,False
adx_initiation,hybrid_50pct_target,223,0.435,1.2805,2.5867,576.829,-389.9631,58.1,0.9013,25.82,False
adx_initiation,ma_exit_ema9,223,0.3722,1.1931,0.4805,107.1483,-97.5463,4.9,0.9955,20.68,False
adx_initiation,multi_tier_partial,223,0.4843,0.8713,-0.5281,-117.7728,-169.7783,6.8,1.0,19.37,False
adx_initiation,atr_trail_2x,223,0.3767,0.7545,-2.1059,-469.6111,-925.6945,23.6,0.9552,15.07,False
adx_initiation,mfe_lockin_trail,223,0.3453,0.6661,-1.3458,-300.1153,-342.6668,6.9,0.991,13.81,False
adx_initiation,reverse_signal,223,0.3274,0.3979,-2.6955,-601.1037,-621.4601,7.5,0.991,13.1,False
adx_initiation,smc_mitigation_zone,223,0.3274,0.3979,-2.6955,-601.1037,-621.4601,7.5,0.991,13.1,False
adx_initiation,atr_trail_1x,223,0.3274,0.3979,-2.6955,-601.1037,-621.4601,7.5,0.991,13.1,False
adx_initiation,atr_trail_mae_conditional,223,0.3274,0.3979,-2.6955,-601.1037,-621.4601,7.5,0.991,13.1,False
adx_initiation,atr_trail_vix_conditional,223,0.3184,0.6476,-1.6209,-361.4717,-429.0057,10.3,0.9821,12.74,False
adx_initiation,trailing_10pct,223,0.3139,0.7473,-1.1049,-246.3906,-378.3129,18.2,0.9641,12.56,False
adx_initiation,trailing_15pct,223,0.3004,0.7394,-1.8126,-404.2176,-625.9549,35.7,0.9552,12.02,False
adx_initiation,trailing_5pct,223,0.2511,0.4235,-1.4458,-322.4182,-318.2636,5.9,0.9955,10.04,False
po3_bullish,earnings_blackout,285,0.5018,1.3906,2.9144,830.6036,-574.978,119.5,0.8456,31.79,True
po3_bullish,next_pivot_target,285,0.7579,0.9572,-0.1018,-29.0204,-226.9639,6.8,0.9895,30.32,False
po3_bullish,hybrid_50pct_target,285,0.5158,1.238,1.1466,326.7839,-311.7232,46.5,0.9474,27.77,False
po3_bullish,breakeven_plus_trail,285,0.393,1.2922,1.3203,376.2955,-298.2742,35.7,0.9509,24.49,False
po3_bullish,class_time_stop,285,0.5053,1.1141,0.8359,238.2249,-498.5554,42.2,1.0,23.64,False
