strategy,regime,trades,win_rate,avg_pnl,total_roi
adx_initiation,bear,83,0.2048,-2.2039,-182.9221
adx_initiation,bull,118,0.2373,-2.4363,-287.4808
adx_initiation,neutral,22,0.4545,4.1279,90.8141
avwap_252_breakout,bear,13,0.4615,8.7002,113.1031
avwap_252_breakout,bull,14,0.1429,-6.8421,-95.7893
avwap_252_breakout,neutral,6,0.3333,1.5465,9.2791
avwap_50_reclaim,bear,128,0.3359,-2.53,-323.8343
avwap_50_reclaim,bull,123,0.4553,-0.2448,-30.1116
avwap_50_reclaim,neutral,12,0.25,-11.4332,-137.198
awesome_oscillator,bear,13,0.3846,1.2426,16.1536
awesome_oscillator,bull,18,0.1111,-4.3007,-77.4119
awesome_oscillator,neutral,8,0.25,-1.8807,-15.0456
bollinger_lower,bear,7,0.1429,-0.7502,-5.2511
bollinger_lower,bull,6,0.0,-4.0992,-24.5954
bollinger_lower,neutral,4,0.0,-4.0361,-16.1446
bollinger_tight,bear,25,0.44,2.5455,63.6384
bollinger_tight,bull,48,0.3125,3.9334,188.805
bollinger_tight,neutral,13,0.3077,-3.8439,-49.9703
break_retest_confluence,bear,5,0.0,-7.5114,-37.5568
break_retest_confluence,bull,15,0.3333,-1.1465,-17.1974
break_retest_volume,bear,28,0.3214,-0.0513,-1.4371
break_retest_volume,bull,43,0.3023,-0.6539,-28.1198
break_retest_volume,neutral,10,0.3,2.8486,28.4858
buyback_8k_recent_long,bear,17,0.2353,-2.1832,-37.1152
buyback_8k_recent_long,bull,25,0.32,3.4583,86.4563
buyback_8k_recent_long,neutral,5,0.2,-11.1204,-55.6019
camarilla_r3_breakout,bear,20,0.35,0.9529,19.0587
camarilla_r3_breakout,bull,34,0.2941,-3.2296,-109.8072
camarilla_r3_breakout,neutral,3,0.0,-10.778,-32.3339
camarilla_s3_bounce,bull,4,0.5,32.6094,130.4378
cmf_flip,bear,66,0.2576,4.2233,278.7375
cmf_flip,bull,66,0.2727,1.5408,101.6931
cmf_flip,neutral,12,0.0833,-8.078,-96.9362
cpr_narrow_bullish,bear,138,0.2754,-3.4894,-481.5354
cpr_narrow_bullish,bull,227,0.3568,-0.8628,-195.8561
cpr_narrow_bullish,neutral,47,0.5532,-0.2358,-11.0809
cpr_narrow_momentum,bear,23,0.2609,-3.065,-70.495
cpr_narrow_momentum,bull,25,0.4,1.6363,40.9066
cpr_narrow_momentum,neutral,9,0.2222,-0.7942,-7.1476
cpr_narrow_momentum_short,bear,9,0.1111,-5.3861,-48.4745
cpr_narrow_momentum_short,bull,15,0.2,-5.7487,-86.2308
cpr_narrow_momentum_short,neutral,3,0.0,-8.6844,-26.0531
double_bottom_long,neutral,7,0.0,-10.7697,-75.3878
force_index_breakout,bear,40,0.325,1.8448,73.7911
force_index_breakout,bull,54,0.2407,-4.6334,-250.2032
force_index_breakout,neutral,13,0.2308,-4.4684,-58.0893
golden_cross_9_21,bear,9,0.2222,-2.2099,-19.8891
golden_cross_9_21,bull,16,0.1875,-5.7173,-91.4766
golden_cross_9_21,neutral,5,0.4,1.0314,5.1568
halloween_seasonal_long,neutral,3,0.0,-3.8908,-11.6723
htf_aligned_breakout_long,bear,6,0.3333,3.6354,21.8125
htf_aligned_breakout_long,bull,36,0.2778,-1.6626,-59.8539
htf_aligned_breakout_short,bear,26,0.2692,-3.8234,-99.4084
htf_aligned_breakout_short,bull,37,0.1892,-3.2726,-121.0857
hull_rsi,bear,20,0.25,-2.3644,-47.2886
hull_rsi,bull,44,0.3864,2.8382,124.8826
hull_rsi,neutral,6,0.3333,1.4175,8.5051
hull_rsi_short,bear,18,0.3333,-5.175,-93.15
hull_rsi_short,bull,43,0.3488,-3.1934,-137.3159
ichimoku_cloud_breakout,bear,21,0.0952,-6.6388,-139.414
ichimoku_cloud_breakout,bull,26,0.3077,3.7239,96.8224
ichimoku_cloud_breakout,neutral,25,0.28,-2.3186,-57.9642
ichimoku_tk_cross,bull,9,0.2222,-4.4518,-40.0659
ichimoku_tk_cross,neutral,8,0.375,1.8969,15.1753
inside_bar_breakout,bull,7,0.1429,-8.9617,-62.732
insider_cluster_long,bull,9,0.2222,-4.598,-41.382
institutional_buy_momentum_long,bear,12,0.0833,-7.9158,-94.9894
institutional_buy_momentum_long,bull,8,0.375,-2.0488,-16.39
institutional_cluster_long,bear,15,0.3333,-3.3236,-49.8542
institutional_cluster_long,bull,23,0.1304,-4.6644,-107.2822
institutional_cluster_long,neutral,26,0.2308,-1.8639,-48.4625
lead_lag_sector_rotation,bear,47,0.2128,-3.4965,-164.3353
lead_lag_sector_rotation,bull,24,0.25,4.3144,103.5458
lead_lag_sector_rotation,neutral,9,0.1111,-7.5617,-68.0553
macd_crossover,bear,10,0.2,0.3476,3.4759
macd_crossover,bull,24,0.3333,0.8077,19.3847
macd_fast_crossover,bear,16,0.375,13.2193,211.5081
macd_fast_crossover,bull,31,0.2903,-3.8211,-118.4532
macd_fast_crossover,neutral,10,0.0,-9.4089,-94.089
monthly_bias_momentum_long,bear,54,0.3148,6.1333,331.1967
monthly_bias_momentum_long,bull,188,0.266,-0.3419,-64.2859
monthly_bias_momentum_long,neutral,12,0.4167,6.1265,73.5177
morning_star,bear,15,0.3333,-0.0417,-0.6254
morning_star,bull,29,0.3103,-2.2104,-64.1007
morning_star,neutral,8,0.375,4.1068,32.8546
orb_stocks_in_play_long,bear,4,0.25,-7.0635,-28.2539
orb_stocks_in_play_long,bull,30,0.2333,-0.9306,-27.9173
orb_stocks_in_play_long,neutral,3,0.3333,-6.8394,-20.5183
orb_stocks_in_play_short,bear,13,0.2308,-0.7289,-9.4762
orb_stocks_in_play_short,bull,25,0.4,0.8087,20.2175
orb_stocks_in_play_short,neutral,4,0.5,3.9912,15.9648
pairs_mean_reversion_long,bear,74,0.3108,3.4146,252.6833
