strategy,regime,sector,verdict,gates_passed,n_trades,gate_1_sample_size_value,gate_1_sample_size_passed,gate_2_bonferroni_value,gate_2_bonferroni_passed,gate_3_dsr_value,gate_3_dsr_passed
adx_initiation,bear,Communication Services,INSUFFICIENT_SAMPLE,0,3,3,False,,,,
adx_initiation,bear,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,8,8,False,,,,
adx_initiation,bear,Energy,INSUFFICIENT_SAMPLE,0,3,3,False,,,,
adx_initiation,bear,Financials,INSUFFICIENT_SAMPLE,0,5,5,False,,,,
adx_initiation,bear,Health Care,INSUFFICIENT_SAMPLE,0,20,20,False,,,,
adx_initiation,bear,Industrials,INSUFFICIENT_SAMPLE,0,6,6,False,,,,
adx_initiation,bear,Information Technology,INSUFFICIENT_SAMPLE,0,12,12,False,,,,
adx_initiation,bear,Materials,INSUFFICIENT_SAMPLE,0,4,4,False,,,,
adx_initiation,bear,Real Estate,INSUFFICIENT_SAMPLE,0,5,5,False,,,,
adx_initiation,bear,Unknown,INSUFFICIENT_SAMPLE,0,16,16,False,,,,
adx_initiation,bear,Utilities,INSUFFICIENT_SAMPLE,0,1,1,False,,,,
adx_initiation,bull,Communication Services,INSUFFICIENT_SAMPLE,0,1,1,False,,,,
adx_initiation,bull,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,14,14,False,,,,
adx_initiation,bull,Energy,INSUFFICIENT_SAMPLE,0,8,8,False,,,,
adx_initiation,bull,Financials,INSUFFICIENT_SAMPLE,0,24,24,False,,,,
adx_initiation,bull,Health Care,INSUFFICIENT_SAMPLE,0,21,21,False,,,,
adx_initiation,bull,Industrials,INSUFFICIENT_SAMPLE,0,12,12,False,,,,
adx_initiation,bull,Information Technology,INSUFFICIENT_SAMPLE,0,21,21,False,,,,
adx_initiation,bull,Materials,INSUFFICIENT_SAMPLE,0,7,7,False,,,,
adx_initiation,bull,Real Estate,INSUFFICIENT_SAMPLE,0,1,1,False,,,,
adx_initiation,bull,Unknown,INSUFFICIENT_SAMPLE,0,8,8,False,,,,
adx_initiation,bull,Utilities,INSUFFICIENT_SAMPLE,0,1,1,False,,,,
adx_initiation,neutral,Communication Services,INSUFFICIENT_SAMPLE,0,2,2,False,,,,
adx_initiation,neutral,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,1,1,False,,,,
adx_initiation,neutral,Financials,INSUFFICIENT_SAMPLE,0,2,2,False,,,,
adx_initiation,neutral,Health Care,INSUFFICIENT_SAMPLE,0,6,6,False,,,,
adx_initiation,neutral,Industrials,INSUFFICIENT_SAMPLE,0,4,4,False,,,,
adx_initiation,neutral,Information Technology,INSUFFICIENT_SAMPLE,0,2,2,False,,,,
adx_initiation,neutral,Materials,INSUFFICIENT_SAMPLE,0,1,1,False,,,,
adx_initiation,neutral,Real Estate,INSUFFICIENT_SAMPLE,0,1,1,False,,,,
adx_initiation,neutral,Unknown,INSUFFICIENT_SAMPLE,0,3,3,False,,,,
