exit_a,exit_b,regime_at_entry,sector,cap_band,vol_band,hold_duration_band,a_total_pnl_pct,b_total_pnl_pct,edge,dominates,n_a,n_b
atr_trail_1x,atr_trail_2x,bear,Communication Services,unknown,high_25_40,long_ge_11d,29.208499999999997,28.0127,1.1957999999999984,True,36,36
atr_trail_1x,atr_trail_mae_conditional,bear,Communication Services,unknown,high_25_40,long_ge_11d,29.208499999999997,29.208499999999997,0.0,False,36,36
atr_trail_1x,atr_trail_vix_conditional,bear,Communication Services,unknown,high_25_40,long_ge_11d,29.208499999999997,-3.511300000000003,32.7198,True,36,36
atr_trail_1x,break_even_at_1r,bear,Communication Services,unknown,high_25_40,long_ge_11d,29.208499999999997,-6.8160000000000025,36.0245,True,36,36
atr_trail_1x,breakeven_plus_trail,bear,Communication Services,unknown,high_25_40,long_ge_11d,29.208499999999997,133.97,-104.7615,False,36,36
atr_trail_1x,chandelier_3x,bear,Communication Services,unknown,high_25_40,long_ge_11d,29.208499999999997,-2.422400000000002,31.6309,True,36,36
atr_trail_1x,class_time_stop,bear,Communication Services,unknown,high_25_40,long_ge_11d,29.208499999999997,150.00060000000002,-120.79210000000002,False,36,36
atr_trail_1x,earnings_blackout,bear,Communication Services,unknown,high_25_40,long_ge_11d,29.208499999999997,39.1531,-9.944600000000005,False,36,36
atr_trail_1x,fixed_4r_2r,bear,Communication Services,unknown,high_25_40,long_ge_11d,29.208499999999997,58.7611,-29.5526,False,36,36
atr_trail_1x,hybrid_50pct_target,bear,Communication Services,unknown,high_25_40,long_ge_11d,29.208499999999997,-756.3655,785.574,True,36,36
atr_trail_1x,ma_exit_ema9,bear,Communication Services,unknown,high_25_40,long_ge_11d,29.208499999999997,-0.9144000000000008,30.122899999999998,True,36,36
atr_trail_1x,mfe_lockin_trail,bear,Communication Services,unknown,high_25_40,long_ge_11d,29.208499999999997,19.308200000000003,9.900299999999994,True,36,36
atr_trail_1x,multi_tier_partial,bear,Communication Services,unknown,high_25_40,long_ge_11d,29.208499999999997,35.9544,-6.7459000000000024,False,36,36
atr_trail_1x,next_pivot_target,bear,Communication Services,unknown,high_25_40,long_ge_11d,29.208499999999997,23.4692,5.7392999999999965,True,36,36
atr_trail_1x,r_multiple_2r,bear,Communication Services,unknown,high_25_40,long_ge_11d,29.208499999999997,25.89259999999999,3.3159000000000063,True,36,36
atr_trail_1x,r_multiple_3r,bear,Communication Services,unknown,high_25_40,long_ge_11d,29.208499999999997,7.878399999999998,21.330099999999998,True,36,36
atr_trail_1x,regime_flip,bear,Communication Services,unknown,high_25_40,long_ge_11d,29.208499999999997,92.4119,-63.2034,False,36,36
atr_trail_1x,reverse_signal,bear,Communication Services,unknown,high_25_40,long_ge_11d,29.208499999999997,29.208499999999997,0.0,False,36,36
atr_trail_1x,smc_mitigation_zone,bear,Communication Services,unknown,high_25_40,long_ge_11d,29.208499999999997,29.208499999999997,0.0,False,36,36
