signal_contribution,timing_contribution,exit_contribution,sizing_contribution,agent_contribution,actual_total_check,ticker,entry_date
-1007.19,0.0,0.0,0.0,0.0,-1007.19,AOSL,2022-01-03
-407.65,0.0,0.0,0.0,0.0,-407.65,AVXL,2022-01-03
-1007.2,0.0,0.0,0.0,0.0,-1007.2,PRCH,2022-01-03
-1007.24,0.0,0.0,0.0,0.0,-1007.24,STNE,2022-01-03
-1007.2,0.0,0.0,0.0,0.0,-1007.2,PACB,2022-01-03
-1007.19,0.0,0.0,0.0,0.0,-1007.19,ADPT,2022-01-03
-1007.2,0.0,0.0,0.0,0.0,-1007.2,CDNA,2022-01-03
-1007.21,0.0,0.0,0.0,0.0,-1007.21,ARRY,2022-01-03
-1007.14,0.0,0.0,0.0,0.0,-1007.14,IMVT,2022-01-03
-1007.21,0.0,0.0,0.0,0.0,-1007.21,OSH,2022-01-03
-1007.2,0.0,0.0,0.0,0.0,-1007.2,NEO,2022-01-03
-1007.19,0.0,0.0,0.0,0.0,-1007.19,PATH,2022-01-03
-1007.2,0.0,0.0,0.0,0.0,-1007.2,NTRA,2022-01-03
-1007.2,0.0,0.0,0.0,0.0,-1007.2,LSCC,2022-01-03
-1007.2,0.0,0.0,0.0,0.0,-1007.2,ARCT,2022-01-03
-1007.18,0.0,0.0,0.0,0.0,-1007.18,AI,2022-01-03
-1007.2,0.0,0.0,0.0,0.0,-1007.2,DOMO,2022-01-03
-1007.2,0.0,0.0,0.0,0.0,-1007.2,XLNX,2022-01-03
-1007.2,0.0,0.0,0.0,0.0,-1007.2,TSLA,2022-01-03
-1007.2,0.0,0.0,0.0,0.0,-1007.2,MRNA,2022-01-03
-1007.2,0.0,0.0,0.0,0.0,-1007.2,MTCH,2022-01-03
-1007.19,0.0,0.0,0.0,0.0,-1007.19,EXAS,2022-01-03
-1007.21,0.0,0.0,0.0,0.0,-1007.21,WW,2022-01-03
-307.76,0.0,0.0,0.0,0.0,-307.76,MCO,2022-01-03
-1007.2,0.0,0.0,0.0,0.0,-1007.2,CCI,2022-01-03
-1007.18,0.0,0.0,0.0,0.0,-1007.18,NVDA,2022-01-03
-1007.2,0.0,0.0,0.0,0.0,-1007.2,ADBE,2022-01-03
-1007.2,0.0,0.0,0.0,0.0,-1007.2,SPOT,2022-01-03
-1007.2,0.0,0.0,0.0,0.0,-1007.2,WIX,2022-01-03
-1007.17,0.0,0.0,0.0,0.0,-1007.17,COMM,2022-01-03
-8.01,0.0,0.0,0.0,0.0,-8.01,DKNG,2022-01-03
-1007.2,0.0,0.0,0.0,0.0,-1007.2,AMAT,2022-01-03
-1436.13,0.0,0.0,0.0,0.0,-1436.13,DXCM,2022-01-03
-1044.86,0.0,0.0,0.0,0.0,-1044.86,MRVL,2022-01-03
-1007.21,0.0,0.0,0.0,0.0,-1007.21,CCXI,2022-01-03
-1007.22,0.0,0.0,0.0,0.0,-1007.22,AGIO,2022-01-03
-1007.2,0.0,0.0,0.0,0.0,-1007.2,OLLI,2022-01-03
-1007.19,0.0,0.0,0.0,0.0,-1007.19,CURI,2022-01-03
-1007.2,0.0,0.0,0.0,0.0,-1007.2,PSTG,2022-01-03
-1007.23,0.0,0.0,0.0,0.0,-1007.23,BW,2022-01-03
-1007.2,0.0,0.0,0.0,0.0,-1007.2,ASML,2022-01-03
-1007.2,0.0,0.0,0.0,0.0,-1007.2,LEN,2022-01-03
-1007.2,0.0,0.0,0.0,0.0,-1007.2,PHM,2022-01-04
-1007.2,0.0,0.0,0.0,0.0,-1007.2,BIIB,2022-01-03
-1122.6,0.0,0.0,0.0,0.0,-1122.6,HBM,2022-01-03
-1007.19,0.0,0.0,0.0,0.0,-1007.19,SOVO,2022-01-03
-1007.18,0.0,0.0,0.0,0.0,-1007.18,AVXL,2022-01-10
-1007.22,0.0,0.0,0.0,0.0,-1007.22,CORT,2022-01-03
-1008.8,0.0,0.0,0.0,0.0,-1008.8,CAT,2022-01-03
-1007.2,0.0,0.0,0.0,0.0,-1007.2,HD,2022-01-04
-915.63,0.0,0.0,0.0,0.0,-915.63,LLY,2022-01-04
-1007.2,0.0,0.0,0.0,0.0,-1007.2,FRC,2022-01-03
-1007.19,0.0,0.0,0.0,0.0,-1007.19,MNST,2022-01-03
-1007.2,0.0,0.0,0.0,0.0,-1007.2,QRVO,2022-01-03
-1007.2,0.0,0.0,0.0,0.0,-1007.2,WHR,2022-01-03
-1016.1,0.0,0.0,0.0,0.0,-1016.1,VMC,2022-01-04
-1007.2,0.0,0.0,0.0,0.0,-1007.2,APG,2022-01-04
-1002.7,0.0,0.0,0.0,0.0,-1002.7,XLY,2022-01-03
-1007.21,0.0,0.0,0.0,0.0,-1007.21,OUT,2022-01-03
-1007.23,0.0,0.0,0.0,0.0,-1007.23,AAL,2022-01-03
-1008.8,0.0,0.0,0.0,0.0,-1008.8,MGI,2022-01-05
-1007.2,0.0,0.0,0.0,0.0,-1007.2,KLAC,2022-01-03
-1007.2,0.0,0.0,0.0,0.0,-1007.2,QCOM,2022-01-03
-8.03,0.0,0.0,0.0,0.0,-8.03,TALO,2022-01-03
-7.98,0.0,0.0,0.0,0.0,-7.98,BTU,2022-01-03
-1007.2,0.0,0.0,0.0,0.0,-1007.2,CTAS,2022-01-03
-1007.2,0.0,0.0,0.0,0.0,-1007.2,J,2022-01-03
-7.98,0.0,0.0,0.0,0.0,-7.98,PBCT,2022-01-03
-8.01,0.0,0.0,0.0,0.0,-8.01,MGY,2022-01-03
-1119.24,0.0,0.0,0.0,0.0,-1119.24,DIS,2022-01-03
-1007.21,0.0,0.0,0.0,0.0,-1007.21,TMUS,2022-01-03
-7.98,0.0,0.0,0.0,0.0,-7.98,OII,2022-01-03
-1115.6,0.0,0.0,0.0,0.0,-1115.6,APTS,2022-01-03
-538.41,0.0,0.0,0.0,0.0,-538.41,STZ,2022-01-03
-653.74,0.0,0.0,0.0,0.0,-653.74,RJF,2022-01-03
34.97,0.0,0.0,0.0,0.0,34.97,VTRS,2022-01-03
-165.84,0.0,0.0,0.0,0.0,-165.84,SFM,2022-01-03
-195.88,0.0,0.0,0.0,0.0,-195.88,HYG,2022-01-03
-830.16,0.0,0.0,0.0,0.0,-830.16,SPY,2022-01-03
-866.33,0.0,0.0,0.0,0.0,-866.33,GMED,2022-01-03
1761.87,0.0,0.0,0.0,0.0,1761.87,ATVI,2022-01-03
-68.76,0.0,0.0,0.0,0.0,-68.76,AZN,2022-01-03
