date,level,event,dd_from_peak,rolling_peak_equity,current_equity,ticker,reason,exit_price,z_score,today_dispersion,action,new_stop
2022-01-05,6.0,halt_triggered,-0.262,100000.0,73804.87,,,,,,,
2022-01-19,1.0,,,,,SOFI,overnight_gap_up_19.2pct,14.37,,,,
2022-01-27,1.0,,,,,NOW,overnight_gap_up_14.3pct,110.705,,,,
2022-02-02,1.0,,,,,EXC,overnight_gap_down_29.0pct,41.06,,,,
2022-02-04,1.0,,,,,CLX,overnight_gap_down_12.4pct,144.92,,,,
2022-02-11,1.0,,,,,Z,overnight_gap_up_14.8pct,56.02,,,,
2022-02-23,,dispersion_cb_triggered_dec128,,,,,,,6.584,0.069826,,
2022-03-02,1.0,,,,,ARLO,overnight_gap_up_15.1pct,9.99,,,,
2022-03-08,6.0,halt_triggered,-1.5661,100000.0,-56613.04999999999,,,,,,,
2022-03-09,6.0,halt_resumed,-1.5581,100000.0,-55811.17999999999,,,,,,,
2022-03-10,6.0,halt_triggered,-1.5682,100000.0,-56818.369999999995,,,,,,,
2022-03-15,6.0,halt_resumed,-1.5797,100000.0,-57965.66,,,,,,,
2022-03-16,1.0,,,,,JD,overnight_gap_up_23.9pct,56.96,,,,
2022-03-16,6.0,halt_triggered,-1.5143,100000.0,-51430.51999999999,,,,,,,
2022-03-18,6.0,halt_resumed,-1.5181,100000.0,-51806.55000000002,,,,,,,
2022-03-21,6.0,halt_triggered,-1.541,100000.0,-54102.330000000016,,,,,,,
2022-03-22,6.0,halt_resumed,-1.5461,100000.0,-54611.31,,,,,,,
2022-03-23,6.0,halt_triggered,-1.5536,100000.0,-55362.54000000001,,,,,,,
2022-03-24,6.0,halt_resumed,-1.5466,100000.0,-54661.98999999999,,,,,,,
2022-03-25,6.0,halt_triggered,-1.5668,100000.0,-56680.399999999994,,,,,,,
2022-04-25,,dispersion_cb_triggered_dec128,,,,,,,10.0,0.100041,,
2022-04-28,1.0,,,,,LC,overnight_gap_up_23.3pct,16.95,,,,
2022-04-28,1.0,,,,,ALGN,overnight_gap_down_21.8pct,282.0,,,,
2022-04-29,1.0,,,,,MHK,overnight_gap_up_20.2pct,157.24,,,,
2022-05-06,1.0,,,,,Z,overnight_gap_down_13.4pct,34.462,,,,
2022-05-10,1.0,,,,,DRE,overnight_gap_up_15.3pct,55.02,,,,
2022-05-10,1.0,,,,,ALXO,overnight_gap_up_26.3pct,11.75,,,,
2022-05-18,1.0,,,,,DOCS,overnight_gap_down_13.3pct,29.27,,,,
2022-05-25,6.0,halt_triggered,-2.8918,100000.0,-189179.24,,,,,,,
2022-05-26,6.0,halt_resumed,-2.8975,100000.0,-189747.0,,,,,,,
2022-05-27,6.0,halt_triggered,-2.7621,100000.0,-176212.22999999998,,,,,,,
2022-05-31,6.0,halt_resumed,-2.7374,100000.0,-173736.31,,,,,,,
2022-06-01,6.0,halt_triggered,-2.7214,100000.0,-172137.18,,,,,,,
2022-06-02,6.0,halt_resumed,-2.7453,100000.0,-174534.60000000003,,,,,,,
2022-06-03,6.0,halt_triggered,-2.7655,100000.0,-176552.16000000003,,,,,,,
2022-06-06,6.0,halt_resumed,-2.7857,100000.0,-178569.75,,,,,,,
2022-06-07,6.0,halt_triggered,-2.7873,100000.0,-178732.91000000003,,,,,,,
2022-06-08,6.0,halt_resumed,-2.7926,100000.0,-179260.66000000003,,,,,,,
2022-06-09,6.0,halt_triggered,-2.8351,100000.0,-183510.47000000003,,,,,,,
2022-08-03,1.0,,,,,SOFI,overnight_gap_up_13.6pct,7.28,,,,
2022-08-04,,dispersion_cb_triggered_dec128,,,,,,,3.1561,0.042474,,
2022-08-05,1.0,,,,,TWLO,overnight_gap_down_13.3pct,85.095,,,,
2022-08-09,1.0,,,,,NVEI,overnight_gap_down_14.4pct,36.01,,,,
2022-08-09,6.0,halt_triggered,-3.4649,100000.0,-246489.66000000003,,,,,,,
2022-08-10,6.0,halt_resumed,-3.4409,100000.0,-244093.05,,,,,,,
2022-08-11,6.0,halt_triggered,-3.4491,100000.0,-244914.21000000002,,,,,,,
2022-08-12,6.0,halt_resumed,-3.4828,100000.0,-248280.46000000002,,,,,,,
2022-08-15,6.0,halt_triggered,-3.4981,100000.0,-249807.88,,,,,,,
2022-08-16,6.0,halt_resumed,-3.4997,100000.0,-249967.96000000002,,,,,,,
2022-08-17,6.0,halt_triggered,-3.455,100000.0,-245498.38,,,,,,,
2022-08-18,6.0,halt_resumed,-3.4642,100000.0,-246418.05,,,,,,,
2022-08-19,6.0,halt_triggered,-3.472,100000.0,-247200.47000000003,,,,,,,
2022-08-22,6.0,halt_resumed,-3.4941,100000.0,-249408.06,,,,,,,
2022-08-23,6.0,halt_triggered,-3.4674,100000.0,-246737.43,,,,,,,
2022-08-24,6.0,halt_resumed,-3.4852,100000.0,-248520.53000000003,,,,,,,
2022-08-25,6.0,halt_triggered,-3.5027,100000.0,-250268.72000000003,,,,,,,
2022-08-26,1.0,,,,,AFRM,overnight_gap_down_12.2pct,27.435,,,,
2022-09-01,6.0,halt_resumed,-3.5425,100000.0,-254252.49,,,,,,,
2022-09-02,6.0,halt_triggered,-3.5526,100000.0,-255261.28000000003,,,,,,,
2022-09-06,6.0,halt_resumed,-3.5372,100000.0,-253717.87,,,,,,,
2022-09-07,6.0,halt_triggered,-3.5395,100000.0,-253950.37,,,,,,,
2022-09-08,6.0,halt_resumed,-3.5943,100000.0,-259427.94,,,,,,,
2022-09-09,6.0,halt_triggered,-3.668,100000.0,-266796.09,,,,,,,
2022-09-12,6.0,halt_resumed,-3.733,100000.0,-273301.29,,,,,,,
2022-09-13,6.0,halt_triggered,-3.7499,100000.0,-274985.14,,,,,,,
2022-09-14,6.0,halt_resumed,-3.7948,100000.0,-279483.16000000003,,,,,,,
