strategy,exit_method,smart_money_signal_present,n,win_rate,avg_pnl_pct,total_pnl_pct
adx_initiation,atr_trail_1x,yes,177,0.23728813559322035,-3.003157627118644,-531.5589
adx_initiation,atr_trail_2x,yes,177,0.2994350282485876,-2.8657836158192094,-507.24370000000005
adx_initiation,atr_trail_mae_conditional,yes,177,0.23728813559322035,-3.003157627118644,-531.5589
adx_initiation,atr_trail_vix_conditional,yes,177,0.2824858757062147,-2.8218644067796608,-499.46999999999997
adx_initiation,break_even_at_1r,yes,177,0.192090395480226,-2.8469090395480223,-503.9029
adx_initiation,breakeven_plus_trail,yes,177,0.4519774011299435,6.115709604519774,1082.4805999999999
adx_initiation,chandelier_3x,yes,177,0.12429378531073447,-0.24537118644067793,-43.430699999999995
adx_initiation,class_time_stop,yes,177,0.4745762711864407,1.7547440677966102,310.5897
adx_initiation,earnings_blackout,yes,177,0.5028248587570622,7.00199604519774,1239.3533
adx_initiation,fixed_4r_2r,yes,177,0.3333333333333333,7.129463841807909,1261.9151
adx_initiation,hybrid_50pct_target,yes,177,0.4011299435028249,-0.005485875706214723,-0.971000000000006
adx_initiation,ma_exit_ema9,yes,177,0.3389830508474576,-0.40963389830508473,-72.5052
adx_initiation,mfe_lockin_trail,yes,177,0.23728813559322035,-3.182696610169492,-563.3373
adx_initiation,multi_tier_partial,yes,177,0.3785310734463277,-2.4854661016949153,-439.9275
adx_initiation,next_pivot_target,yes,177,0.6101694915254238,-0.7957717514124293,-140.8516
adx_initiation,r_multiple_2r,yes,177,0.3050847457627119,-1.1733757062146895,-207.68750000000003
adx_initiation,r_multiple_3r,yes,177,0.2542372881355932,-0.41416271186440684,-73.30680000000001
adx_initiation,regime_flip,yes,177,0.423728813559322,-1.3298655367231638,-235.3862
adx_initiation,reverse_signal,yes,177,0.23728813559322035,-3.003157627118644,-531.5589
adx_initiation,smc_mitigation_zone,yes,177,0.23728813559322035,-3.003157627118644,-531.5589
adx_initiation,time_stop_10d,yes,177,0.4745762711864407,-1.816372316384181,-321.4979
adx_initiation,time_stop_20d,yes,177,0.423728813559322,-1.3298655367231638,-235.3862
adx_initiation,trailing_10pct,yes,177,0.24858757062146894,-2.813560451977401,-498.0002
adx_initiation,trailing_15pct,yes,177,0.3220338983050847,-1.383629943502825,-244.9025
adx_initiation,trailing_5pct,yes,177,0.1977401129943503,-1.814590395480226,-321.1825
avwap_252_breakout,atr_trail_1x,yes,40,0.225,-2.78186,-111.2744
avwap_252_breakout,atr_trail_2x,yes,40,0.375,-1.2731749999999997,-50.926999999999985
avwap_252_breakout,atr_trail_mae_conditional,yes,40,0.225,-2.78186,-111.2744
avwap_252_breakout,atr_trail_vix_conditional,yes,40,0.225,-2.6924075,-107.6963
avwap_252_breakout,break_even_at_1r,yes,40,0.125,-1.39078,-55.6312
avwap_252_breakout,breakeven_plus_trail,yes,40,0.5,3.5447875000000004,141.7915
avwap_252_breakout,chandelier_3x,yes,40,0.275,-1.1558699999999997,-46.23479999999999
avwap_252_breakout,class_time_stop,yes,40,0.55,0.8227399999999999,32.9096
avwap_252_breakout,earnings_blackout,yes,40,0.6,2.9075499999999996,116.30199999999999
avwap_252_breakout,fixed_4r_2r,yes,40,0.4,0.7052849999999999,28.211399999999998
avwap_252_breakout,hybrid_50pct_target,yes,40,0.85,6.770345000000001,270.8138
avwap_252_breakout,ma_exit_ema9,yes,40,0.3,-1.4896800000000001,-59.5872
avwap_252_breakout,mfe_lockin_trail,yes,40,0.225,-2.8330775,-113.3231
avwap_252_breakout,multi_tier_partial,yes,40,0.45,-2.1577675,-86.3107
avwap_252_breakout,next_pivot_target,yes,40,0.625,0.48475250000000025,19.39010000000001
avwap_252_breakout,r_multiple_2r,yes,40,0.3,-0.16153499999999985,-6.461399999999994
avwap_252_breakout,r_multiple_3r,yes,40,0.225,-0.7405424999999999,-29.621699999999997
avwap_252_breakout,regime_flip,yes,40,0.5,-3.48848,-139.5392
avwap_252_breakout,reverse_signal,yes,40,0.225,-2.78186,-111.2744
avwap_252_breakout,smc_mitigation_zone,yes,40,0.225,-2.78186,-111.2744
avwap_252_breakout,time_stop_10d,yes,40,0.525,-2.31306,-92.5224
avwap_252_breakout,time_stop_20d,yes,40,0.5,-3.48848,-139.5392
avwap_252_breakout,trailing_10pct,yes,40,0.4,1.3165375000000001,52.661500000000004
avwap_252_breakout,trailing_15pct,yes,40,0.4,1.85212,74.0848
avwap_252_breakout,trailing_5pct,yes,40,0.225,-0.7194925000000001,-28.779700000000002
avwap_50_reclaim,atr_trail_1x,yes,249,0.27309236947791166,-2.349944578313253,-585.1362
avwap_50_reclaim,atr_trail_2x,yes,249,0.3132530120481928,-2.19474297188755,-546.491
avwap_50_reclaim,atr_trail_mae_conditional,yes,249,0.27309236947791166,-2.349944578313253,-585.1362
avwap_50_reclaim,atr_trail_vix_conditional,yes,249,0.24899598393574296,-2.5513305220883535,-635.2813
avwap_50_reclaim,break_even_at_1r,yes,249,0.13253012048192772,-2.099295983935743,-522.7247
avwap_50_reclaim,breakeven_plus_trail,yes,249,0.357429718875502,0.35373333333333323,88.07959999999997
avwap_50_reclaim,chandelier_3x,yes,249,0.30522088353413657,-1.7431497991967873,-434.0443
