strategy,exit_method,days_from_quarter_end_at_entry,n,win_rate,avg_pnl_pct,total_pnl_pct
adx_initiation,atr_trail_1x,0,4,0.0,-4.9800249999999995,-19.920099999999998
adx_initiation,atr_trail_1x,1,1,0.0,-2.3788,-2.3788
adx_initiation,atr_trail_1x,2,1,1.0,2.2714,2.2714
adx_initiation,atr_trail_1x,3,1,0.0,-1.8185,-1.8185
adx_initiation,atr_trail_1x,4,2,0.5,1.7099499999999999,3.4198999999999997
adx_initiation,atr_trail_1x,6,2,0.0,-3.36415,-6.7283
adx_initiation,atr_trail_1x,7,4,0.25,-3.23855,-12.9542
adx_initiation,atr_trail_1x,8,2,0.0,-1.2546499999999998,-2.5092999999999996
adx_initiation,atr_trail_1x,9,3,0.0,-3.8973333333333335,-11.692
adx_initiation,atr_trail_1x,10,2,0.5,1.64865,3.2973
adx_initiation,atr_trail_1x,11,2,0.5,-0.21270000000000078,-0.42540000000000155
adx_initiation,atr_trail_1x,12,1,0.0,-0.601,-0.601
adx_initiation,atr_trail_1x,13,1,0.0,-3.5369,-3.5369
adx_initiation,atr_trail_1x,14,1,0.0,-5.0852,-5.0852
adx_initiation,atr_trail_1x,15,2,0.5,7.10665,14.2133
adx_initiation,atr_trail_1x,16,1,0.0,-1.0722,-1.0722
adx_initiation,atr_trail_1x,17,1,0.0,-7.8423,-7.8423
adx_initiation,atr_trail_1x,18,4,0.5,7.4462,29.7848
adx_initiation,atr_trail_1x,19,2,0.0,-4.2034,-8.4068
adx_initiation,atr_trail_1x,20,4,0.5,1.0949499999999999,4.3797999999999995
adx_initiation,atr_trail_1x,22,2,0.5,0.35000000000000003,0.7000000000000001
adx_initiation,atr_trail_1x,23,6,0.16666666666666666,-6.445916666666666,-38.6755
adx_initiation,atr_trail_1x,24,1,0.0,-4.9467,-4.9467
adx_initiation,atr_trail_1x,26,2,0.5,0.8014999999999999,1.6029999999999998
adx_initiation,atr_trail_1x,28,1,0.0,-2.4776,-2.4776
adx_initiation,atr_trail_1x,29,2,0.5,1.8359499999999997,3.6718999999999995
adx_initiation,atr_trail_1x,31,5,0.2,-2.11226,-10.561300000000001
adx_initiation,atr_trail_1x,33,1,0.0,-4.9184,-4.9184
adx_initiation,atr_trail_1x,34,2,0.0,-4.6370000000000005,-9.274000000000001
adx_initiation,atr_trail_1x,35,1,0.0,-9.2439,-9.2439
adx_initiation,atr_trail_1x,36,3,0.0,-2.4643333333333333,-7.393
adx_initiation,atr_trail_1x,37,1,0.0,-4.545,-4.545
adx_initiation,atr_trail_1x,38,1,0.0,-4.9924,-4.9924
adx_initiation,atr_trail_1x,39,1,0.0,-5.8656,-5.8656
adx_initiation,atr_trail_1x,40,3,0.0,-3.8996666666666666,-11.699
adx_initiation,atr_trail_1x,41,3,1.0,6.380933333333334,19.1428
adx_initiation,atr_trail_1x,42,2,0.5,2.1899499999999996,4.379899999999999
adx_initiation,atr_trail_1x,43,2,1.0,7.7299500000000005,15.459900000000001
adx_initiation,atr_trail_1x,44,2,0.0,-4.5632,-9.1264
adx_initiation,atr_trail_1x,45,1,0.0,-1.1688,-1.1688
adx_initiation,atr_trail_1x,46,2,0.0,-5.765000000000001,-11.530000000000001
adx_initiation,atr_trail_1x,47,1,0.0,-3.6816,-3.6816
adx_initiation,atr_trail_1x,48,1,1.0,0.9793,0.9793
adx_initiation,atr_trail_1x,49,3,0.0,-7.419900000000001,-22.259700000000002
adx_initiation,atr_trail_1x,50,2,0.5,8.0845,16.169
adx_initiation,atr_trail_1x,51,1,0.0,-3.5635,-3.5635
adx_initiation,atr_trail_1x,52,5,0.4,-0.61294,-3.0647
adx_initiation,atr_trail_1x,53,1,1.0,4.7047,4.7047
adx_initiation,atr_trail_1x,54,1,0.0,-3.151,-3.151
adx_initiation,atr_trail_1x,55,3,0.3333333333333333,-0.5386333333333332,-1.6158999999999997
adx_initiation,atr_trail_1x,56,4,0.5,-2.706975,-10.8279
adx_initiation,atr_trail_1x,57,5,0.0,-6.27288,-31.3644
adx_initiation,atr_trail_1x,58,7,0.2857142857142857,-3.0009714285714284,-21.0068
adx_initiation,atr_trail_1x,59,1,1.0,0.5708,0.5708
adx_initiation,atr_trail_1x,60,1,1.0,15.4235,15.4235
adx_initiation,atr_trail_1x,61,1,1.0,0.9406,0.9406
adx_initiation,atr_trail_1x,63,4,0.0,-3.657,-14.628
adx_initiation,atr_trail_1x,64,2,0.5,3.2554999999999996,6.510999999999999
adx_initiation,atr_trail_1x,67,4,0.25,-3.125025,-12.5001
adx_initiation,atr_trail_1x,68,1,1.0,1.782,1.782
adx_initiation,atr_trail_1x,69,3,0.3333333333333333,0.8487666666666667,2.5463
adx_initiation,atr_trail_1x,70,2,0.5,1.3583499999999997,2.7166999999999994
adx_initiation,atr_trail_1x,71,1,0.0,-4.9635,-4.9635
adx_initiation,atr_trail_1x,74,2,0.5,1.7702500000000003,3.5405000000000006
