strategy,exit_method,regime_at_entry,n,win_rate,avg_pnl_pct,total_pnl_pct
adx_initiation,atr_trail_1x,bear,91,0.34065934065934067,-0.6681318681318682,-60.800000000000004
adx_initiation,atr_trail_1x,bull,88,0.25,-1.3826897727272727,-121.6767
adx_initiation,atr_trail_1x,neutral,17,0.23529411764705882,-1.7413588235294117,-29.6031
adx_initiation,atr_trail_2x,bear,91,0.46153846153846156,3.0220945054945054,275.0106
adx_initiation,atr_trail_2x,bull,88,0.3409090909090909,-0.7233920454545454,-63.65849999999999
adx_initiation,atr_trail_2x,neutral,17,0.11764705882352941,-5.5690470588235295,-94.6738
adx_initiation,atr_trail_mae_conditional,bear,91,0.34065934065934067,-0.6681318681318682,-60.800000000000004
adx_initiation,atr_trail_mae_conditional,bull,88,0.25,-1.3826897727272727,-121.6767
adx_initiation,atr_trail_mae_conditional,neutral,17,0.23529411764705882,-1.7413588235294117,-29.6031
adx_initiation,atr_trail_vix_conditional,bear,91,0.37362637362637363,0.542487912087912,49.36639999999999
adx_initiation,atr_trail_vix_conditional,bull,88,0.19318181818181818,-2.3844909090909088,-209.8352
adx_initiation,atr_trail_vix_conditional,neutral,17,0.11764705882352941,-1.6988882352941177,-28.8811
adx_initiation,break_even_at_1r,bear,91,0.25274725274725274,-0.49802637362637364,-45.3204
adx_initiation,break_even_at_1r,bull,88,0.2159090909090909,-1.997965909090909,-175.821
adx_initiation,break_even_at_1r,neutral,17,0.17647058823529413,-0.6672117647058824,-11.342600000000001
adx_initiation,breakeven_plus_trail,bear,91,0.6263736263736264,8.578503296703296,780.6437999999999
adx_initiation,breakeven_plus_trail,bull,88,0.42045454545454547,2.7980875,246.2317
adx_initiation,breakeven_plus_trail,neutral,17,0.23529411764705882,-5.4164,-92.0788
adx_initiation,chandelier_3x,bear,91,0.13186813186813187,0.8749186813186812,79.6176
adx_initiation,chandelier_3x,bull,88,0.07954545454545454,-0.21957045454545446,-19.32219999999999
adx_initiation,chandelier_3x,neutral,17,0.11764705882352941,-2.0023705882352942,-34.0403
adx_initiation,class_time_stop,bear,91,0.5934065934065934,14.785083516483517,1345.4426
adx_initiation,class_time_stop,bull,88,0.45454545454545453,-2.2986704545454546,-202.28300000000002
adx_initiation,class_time_stop,neutral,17,0.17647058823529413,-18.395782352941175,-312.7283
adx_initiation,earnings_blackout,bear,91,0.6483516483516484,16.353448351648353,1488.1638
adx_initiation,earnings_blackout,bull,88,0.4090909090909091,0.08652500000000002,7.614200000000002
adx_initiation,earnings_blackout,neutral,17,0.29411764705882354,-7.778664705882352,-132.23729999999998
adx_initiation,fixed_4r_2r,bear,91,0.5164835164835165,6.975235164835165,634.7464
adx_initiation,fixed_4r_2r,bull,88,0.3522727272727273,0.8962147727272726,78.86689999999999
adx_initiation,fixed_4r_2r,neutral,17,0.11764705882352941,-10.46820588235294,-177.9595
adx_initiation,hybrid_50pct_target,bear,91,0.5604395604395604,6.624063736263737,602.7898
adx_initiation,hybrid_50pct_target,bull,88,0.5,-0.026809090909091025,-2.35920000000001
adx_initiation,hybrid_50pct_target,neutral,17,0.11764705882352941,-15.562458823529411,-264.5618
adx_initiation,ma_exit_ema9,bear,91,0.4725274725274725,0.5583164835164836,50.8068
adx_initiation,ma_exit_ema9,bull,88,0.3522727272727273,1.0650534090909092,93.7247
adx_initiation,ma_exit_ema9,neutral,17,0.17647058823529413,-0.8446235294117647,-14.3586
adx_initiation,mfe_lockin_trail,bear,91,0.34065934065934067,-0.8256714285714286,-75.1361
adx_initiation,mfe_lockin_trail,bull,88,0.25,-1.4434454545454545,-127.02319999999999
adx_initiation,mfe_lockin_trail,neutral,17,0.29411764705882354,-0.8812470588235295,-14.981200000000001
adx_initiation,multi_tier_partial,bear,91,0.46153846153846156,-0.2904054945054945,-26.426900000000003
adx_initiation,multi_tier_partial,bull,88,0.38636363636363635,-1.0504443181818182,-92.4391
adx_initiation,multi_tier_partial,neutral,17,0.5882352941176471,0.5746941176470589,9.769800000000002
adx_initiation,next_pivot_target,bear,91,0.7692307692307693,1.5474076923076923,140.8141
adx_initiation,next_pivot_target,bull,88,0.75,0.04243068181818188,3.7339000000000055
adx_initiation,next_pivot_target,neutral,17,0.6470588235294118,-1.7531764705882353,-29.804000000000002
adx_initiation,r_multiple_2r,bear,91,0.3956043956043956,1.3828780219780221,125.84190000000001
adx_initiation,r_multiple_2r,bull,88,0.36363636363636365,0.2358920454545455,20.758500000000005
adx_initiation,r_multiple_2r,neutral,17,0.17647058823529413,-2.9340882352941176,-49.8795
adx_initiation,r_multiple_3r,bear,91,0.37362637362637363,3.641317582417582,331.3599
adx_initiation,r_multiple_3r,bull,88,0.3068181818181818,0.8091863636363636,71.2084
adx_initiation,r_multiple_3r,neutral,17,0.11764705882352941,-4.562847058823529,-77.5684
adx_initiation,regime_flip,bear,91,0.5824175824175825,4.932550549450549,448.8621
adx_initiation,regime_flip,bull,88,0.4659090909090909,1.095530681818182,96.40670000000001
adx_initiation,regime_flip,neutral,17,0.11764705882352941,-15.390905882352941,-261.6454
adx_initiation,reverse_signal,bear,91,0.34065934065934067,-0.6681318681318682,-60.800000000000004
adx_initiation,reverse_signal,bull,88,0.25,-1.3826897727272727,-121.6767
adx_initiation,reverse_signal,neutral,17,0.23529411764705882,-1.7413588235294117,-29.6031
adx_initiation,smc_mitigation_zone,bear,91,0.34065934065934067,-0.6681318681318682,-60.800000000000004
adx_initiation,smc_mitigation_zone,bull,88,0.25,-1.3826897727272727,-121.6767
adx_initiation,smc_mitigation_zone,neutral,17,0.23529411764705882,-1.7413588235294117,-29.6031
adx_initiation,time_stop_10d,bear,91,0.6153846153846154,5.156006593406594,469.1966
adx_initiation,time_stop_10d,bull,88,0.3977272727272727,0.4239715909090909,37.3095
adx_initiation,time_stop_10d,neutral,17,0.17647058823529413,-4.580070588235294,-77.8612
adx_initiation,time_stop_20d,bear,91,0.5824175824175825,4.932550549450549,448.8621
adx_initiation,time_stop_20d,bull,88,0.4659090909090909,1.095530681818182,96.40670000000001
adx_initiation,time_stop_20d,neutral,17,0.11764705882352941,-15.390905882352941,-261.6454
adx_initiation,trailing_10pct,bear,91,0.3626373626373626,0.6858879120879121,62.4158
adx_initiation,trailing_10pct,bull,88,0.3409090909090909,-1.8971886363636363,-166.9526
adx_initiation,trailing_10pct,neutral,17,0.17647058823529413,-4.327135294117647,-73.5613
adx_initiation,trailing_15pct,bear,91,0.42857142857142855,8.706093406593407,792.2545
adx_initiation,trailing_15pct,bull,88,0.3181818181818182,0.2110863636363639,18.575600000000023
adx_initiation,trailing_15pct,neutral,17,0.11764705882352941,-8.299770588235294,-141.0961
adx_initiation,trailing_5pct,bear,91,0.24175824175824176,-0.9758252747252747,-88.8001
adx_initiation,trailing_5pct,bull,88,0.18181818181818182,-2.0580306818181815,-181.1067
adx_initiation,trailing_5pct,neutral,17,0.23529411764705882,-0.5965235294117647,-10.1409
avwap_252_breakout,atr_trail_1x,bear,15,0.2,-1.4717933333333335,-22.076900000000002
avwap_252_breakout,atr_trail_1x,bull,20,0.4,-0.41569500000000004,-8.3139
avwap_252_breakout,atr_trail_1x,neutral,7,0.14285714285714285,-1.8558857142857141,-12.9912
avwap_252_breakout,atr_trail_2x,bear,15,0.4,-0.01921999999999997,-0.28829999999999956
avwap_252_breakout,atr_trail_2x,bull,20,0.45,2.31,46.2
avwap_252_breakout,atr_trail_2x,neutral,7,0.5714285714285714,0.04135714285714294,0.2895000000000006
