strategy,sector,sector_criteria,direction_mix,total_trades,win_rate,win_rate_ci_low,win_rate_ci_high,statistically_random,profit_factor,expected_value,win_loss_ratio,avg_win_pct,avg_loss_pct,max_drawdown_pct,total_roi_pct,sharpe_ratio,sharpe_daily,sortino_ratio,deflated_sharpe,psr,psr_note,tiered_min_trades,meets_tiered_min,pct_trades_near_event,pct_trades_near_fomc,pct_trades_near_cpi,pct_trades_near_nfp,win_rate_near_event,win_rate_far_from_event,win_rate_event_delta,event_wr_note,adf_statistic,adf_p_value,is_stationary,adf_note,chow_f_statistic,chow_p_value,has_structural_break,chow_note,sharpe_at_0bps,sharpe_at_5bps,sharpe_at_10bps,sharpe_at_20bps,avg_aep_pct,n_aep_eligible,poor_exit_timing,aep_note,calmar_ratio,kelly,avg_hold_days,best_trade_pct,worst_trade_pct,smart_money_lift,macro_correlation,criterion_evaluable,regimes_profitable,regime_verdicts,best_regimes,regime_details,passes,passes_all,audit_flags,category,regime_bear_correction_2022,regime_rate_rising_2022_2023,regime_strong_bull_2023,regime_rate_falling_2024,regime_ai_sector_bull_2024,regime_tariff_shock_2025,regime_ai_divergence_2025_2026,regime_covid_crisis_2020
rsi21_slow,Consumer Discretionary,medium_volatility,0L/2S,2,1.0,0.3424,1.0,True,inf,36.3865,999.0,36.3865,0.0,0.0,72.7731,16.705,15.679,999.0,,,insufficient_sample,300,False,0.0,0.0,0.0,0.0,,,,insufficient_sample,,,,insufficient_sample,,,,insufficient_sample,16.705,16.682,16.659,16.613,0.2389,2,False,ok,0.0,"{'full_kelly_pct': 0.0, 'quarter_kelly_pct': 0.0, 'note': 'insufficient_data'}",79.0,39.1374,33.6356,,,"{'smart_money_lift': {'evaluable': False, 'n_with_signal': 1, 'n_without_signal': 1, 'min_required_each': 30, 'blocked_reason': 'smart_money_score>=2 sample n=1<30'}, 'macro_correlation': {'evaluable': False, 'n_favorable': 2, 'n_unfavorable': 0, 'min_required_each': 20, 'blocked_reason': 'macro_score>=2 sample n=2<20'}}",0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],"{'bear_correction_2022': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'rate_rising_2022_2023': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'strong_bull_2023': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'rate_falling_2024': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'ai_sector_bull_2024': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'tariff_shock_2025': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'ai_divergence_2025_2026': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'covid_crisis_2020': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}}","{'win_rate': True, 'profit_factor': True, 'expected_value': True, 'win_loss_ratio': True, 'max_drawdown': True, 'total_roi': True, 'smart_money_lift': True, 'macro_correlation': True, 'trade_count': False, 'deflated_sharpe': True, 'sortino': True, 'calmar': True}",False,"['win_rate_100.0pct_exceeds_audit_threshold', 'profit_factor_inf_exceeds_audit_threshold', 'ci_lower_34.2pct_may_be_random']",mean_reversion,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
keltner_lower,Emerging Markets,medium_volatility,1L/0S,1,1.0,0.2065,1.0,True,inf,10.8073,999.0,10.8073,0.0,0.0,10.8073,,0.0,999.0,,,insufficient_sample,300,False,0.0,0.0,0.0,0.0,,,,insufficient_sample,,,,insufficient_sample,,,,insufficient_sample,,,,,0.7267,1,True,ok,0.0,"{'full_kelly_pct': 0.0, 'quarter_kelly_pct': 0.0, 'note': 'insufficient_data'}",893.0,10.8073,10.8073,,,"{'smart_money_lift': {'evaluable': False, 'n_with_signal': 1, 'n_without_signal': 0, 'min_required_each': 30, 'blocked_reason': 'smart_money_score>=2 sample n=1<30'}, 'macro_correlation': {'evaluable': False, 'n_favorable': 0, 'n_unfavorable': 1, 'min_required_each': 20, 'blocked_reason': 'macro_score>=2 sample n=0<20'}}",0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],"{'bear_correction_2022': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'rate_rising_2022_2023': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'strong_bull_2023': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'rate_falling_2024': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'ai_sector_bull_2024': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'tariff_shock_2025': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'ai_divergence_2025_2026': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'covid_crisis_2020': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}}","{'win_rate': True, 'profit_factor': True, 'expected_value': True, 'win_loss_ratio': True, 'max_drawdown': True, 'total_roi': True, 'smart_money_lift': True, 'macro_correlation': True, 'trade_count': False, 'deflated_sharpe': True, 'sortino': True, 'calmar': True}",False,"['win_rate_100.0pct_exceeds_audit_threshold', 'profit_factor_inf_exceeds_audit_threshold', 'ci_lower_20.6pct_may_be_random']",mean_reversion,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
post_inclusion_reversal_short,Financials,medium_volatility,0L/7S,7,0.5714,0.2505,0.8418,True,2.9946,6.3025,2.246,16.5588,-7.3727,-19.7277,44.1172,0.975,5.305,2.871,,,insufficient_sample,100,False,28.57,14.29,14.29,0.0,1.0,0.4,0.6,small_subgroup,,,,insufficient_sample,,,,insufficient_sample,0.975,0.967,0.959,0.944,0.4722,4,False,ok,1.83,"{'full_kelly_pct': 38.06, 'quarter_kelly_pct': 9.52, 'note': 'tier_may_be_undersizing'}",44.0,31.1995,-10.5062,,,"{'smart_money_lift': {'evaluable': False, 'n_with_signal': 5, 'n_without_signal': 2, 'min_required_each': 30, 'blocked_reason': 'smart_money_score>=2 sample n=5<30'}, 'macro_correlation': {'evaluable': False, 'n_favorable': 4, 'n_unfavorable': 1, 'min_required_each': 20, 'blocked_reason': 'macro_score>=2 sample n=4<20'}}",0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],"{'bear_correction_2022': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'rate_rising_2022_2023': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'strong_bull_2023': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'rate_falling_2024': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'ai_sector_bull_2024': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'tariff_shock_2025': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'ai_divergence_2025_2026': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'covid_crisis_2020': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}}","{'win_rate': True, 'profit_factor': np.True_, 'expected_value': True, 'win_loss_ratio': True, 'max_drawdown': True, 'total_roi': True, 'smart_money_lift': True, 'macro_correlation': True, 'trade_count': False, 'deflated_sharpe': True, 'sortino': True, 'calmar': True}",False,"['profit_factor_2.99_exceeds_audit_threshold', 'ci_lower_25.1pct_may_be_random']",index_rebalance,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
pead_with_insider_confirmation_long,Financials,medium_volatility,9L/0S,9,0.5556,0.2666,0.8112,True,2.8559,4.8742,2.2847,13.501,-5.9093,-11.6398,43.8678,0.72,5.226,2.178,,,insufficient_sample,60,False,44.44,22.22,11.11,11.11,0.25,0.8,-0.55,small_subgroup,,,,insufficient_sample,,,,insufficient_sample,0.72,0.713,0.705,0.69,0.7306,5,True,ok,2.417,"{'full_kelly_pct': 36.1, 'quarter_kelly_pct': 9.03, 'note': 'tier_may_be_undersizing'}",43.7,43.001,-10.8361,,,"{'smart_money_lift': {'evaluable': False, 'n_with_signal': 9, 'n_without_signal': 0, 'min_required_each': 30, 'blocked_reason': 'smart_money_score>=2 sample n=9<30'}, 'macro_correlation': {'evaluable': False, 'n_favorable': 3, 'n_unfavorable': 2, 'min_required_each': 20, 'blocked_reason': 'macro_score>=2 sample n=3<20'}}",0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],"{'bear_correction_2022': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'rate_rising_2022_2023': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'strong_bull_2023': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'rate_falling_2024': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'ai_sector_bull_2024': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'tariff_shock_2025': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'ai_divergence_2025_2026': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'covid_crisis_2020': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}}","{'win_rate': True, 'profit_factor': np.True_, 'expected_value': True, 'win_loss_ratio': True, 'max_drawdown': True, 'total_roi': True, 'smart_money_lift': True, 'macro_correlation': True, 'trade_count': False, 'deflated_sharpe': True, 'sortino': True, 'calmar': True}",False,"['profit_factor_2.86_exceeds_audit_threshold', 'ci_lower_26.7pct_may_be_random']",event_driven,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
stoch_oversold,Commodities,low_volatility,12L/9S,21,0.5238,0.3237,0.7166,True,2.4532,5.0618,2.2302,16.3133,-7.3149,-22.1367,106.2978,0.563,4.524,2.17,,,insufficient_sample,300,False,47.62,9.52,14.29,23.81,0.5,0.5455,-0.0455,ok,0.2247,0.9736,False,non_stationary_edge_may_erode,7.3947,0.0049,True,structural_break_detected,0.563,0.557,0.552,0.541,0.5774,11,True,ok,0.894,"{'full_kelly_pct': 31.03, 'quarter_kelly_pct': 7.76, 'note': 'reasonable'}",64.5,67.3297,-11.068,,,"{'smart_money_lift': {'evaluable': False, 'n_with_signal': 15, 'n_without_signal': 6, 'min_required_each': 30, 'blocked_reason': 'smart_money_score>=2 sample n=15<30'}, 'macro_correlation': {'evaluable': False, 'n_favorable': 13, 'n_unfavorable': 4, 'min_required_each': 20, 'blocked_reason': 'macro_score>=2 sample n=13<20'}}",0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],"{'bear_correction_2022': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'rate_rising_2022_2023': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'strong_bull_2023': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'rate_falling_2024': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'ai_sector_bull_2024': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'tariff_shock_2025': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'ai_divergence_2025_2026': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'covid_crisis_2020': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}}","{'win_rate': False, 'profit_factor': np.True_, 'expected_value': True, 'win_loss_ratio': True, 'max_drawdown': False, 'total_roi': True, 'smart_money_lift': True, 'macro_correlation': True, 'trade_count': False, 'deflated_sharpe': True, 'sortino': True, 'calmar': True}",False,"['profit_factor_2.45_exceeds_audit_threshold', 'ci_lower_32.4pct_may_be_random']",mean_reversion,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
pivot_r2_continuation,Consumer Discretionary,medium_volatility,2L/0S,2,0.5,0.0945,0.9055,True,24.4867,24.7835,24.4867,51.6775,-2.1104,0.0,49.5671,0.701,32.15,12.64,,,insufficient_sample,150,False,100.0,0.0,50.0,50.0,,,,insufficient_sample,,,,insufficient_sample,,,,insufficient_sample,0.701,0.7,0.699,0.696,0.1578,1,False,ok,0.0,"{'full_kelly_pct': 47.96, 'quarter_kelly_pct': 11.99, 'note': 'tier_may_be_undersizing'}",217.5,51.6775,-2.1104,,,"{'smart_money_lift': {'evaluable': False, 'n_with_signal': 2, 'n_without_signal': 0, 'min_required_each': 30, 'blocked_reason': 'smart_money_score>=2 sample n=2<30'}, 'macro_correlation': {'evaluable': False, 'n_favorable': 0, 'n_unfavorable': 2, 'min_required_each': 20, 'blocked_reason': 'macro_score>=2 sample n=0<20'}}",0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],"{'bear_correction_2022': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'rate_rising_2022_2023': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'strong_bull_2023': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'rate_falling_2024': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'ai_sector_bull_2024': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'tariff_shock_2025': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'ai_divergence_2025_2026': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'covid_crisis_2020': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}}","{'win_rate': False, 'profit_factor': np.True_, 'expected_value': True, 'win_loss_ratio': True, 'max_drawdown': True, 'total_roi': True, 'smart_money_lift': True, 'macro_correlation': True, 'trade_count': False, 'deflated_sharpe': True, 'sortino': True, 'calmar': True}",False,"['profit_factor_24.49_exceeds_audit_threshold', 'ci_lower_9.4pct_may_be_random']",pivot,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
institutional_distribution_short,Industrials,medium_volatility,0L/2S,2,0.5,0.0945,0.9055,True,3.9042,1.294,3.9042,3.4791,-0.8911,0.0,2.588,0.848,10.775,2.939,,,insufficient_sample,100,False,50.0,0.0,50.0,0.0,,,,insufficient_sample,,,,insufficient_sample,,,,insufficient_sample,0.848,0.815,0.782,0.717,0.7534,1,True,ok,0.0,"{'full_kelly_pct': 37.19, 'quarter_kelly_pct': 9.3, 'note': 'tier_may_be_undersizing'}",61.5,3.4791,-0.8911,,,"{'smart_money_lift': {'evaluable': False, 'n_with_signal': 0, 'n_without_signal': 2, 'min_required_each': 30, 'blocked_reason': 'smart_money_score>=2 sample n=0<30'}, 'macro_correlation': {'evaluable': False, 'n_favorable': 2, 'n_unfavorable': 0, 'min_required_each': 20, 'blocked_reason': 'macro_score>=2 sample n=2<20'}}",0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],"{'bear_correction_2022': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'rate_rising_2022_2023': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'strong_bull_2023': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'rate_falling_2024': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'ai_sector_bull_2024': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'tariff_shock_2025': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'ai_divergence_2025_2026': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'covid_crisis_2020': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}}","{'win_rate': False, 'profit_factor': np.True_, 'expected_value': True, 'win_loss_ratio': True, 'max_drawdown': True, 'total_roi': True, 'smart_money_lift': True, 'macro_correlation': True, 'trade_count': False, 'deflated_sharpe': True, 'sortino': True, 'calmar': True}",False,"['profit_factor_3.90_exceeds_audit_threshold', 'ci_lower_9.4pct_may_be_random']",smart_money_13f,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
donchian_10_breakout_retest,Financials,medium_volatility,1L/1S,2,0.5,0.0945,0.9055,True,3.5394,13.2037,3.5394,36.8065,-10.3991,0.0,26.4074,0.807,10.256,2.591,,,insufficient_sample,300,False,50.0,0.0,0.0,50.0,,,,insufficient_sample,,,,insufficient_sample,,,,insufficient_sample,0.807,0.804,0.801,0.795,0.2261,1,False,ok,0.0,"{'full_kelly_pct': 35.87, 'quarter_kelly_pct': 8.97, 'note': 'tier_may_be_undersizing'}",60.5,36.8065,-10.3991,,,"{'smart_money_lift': {'evaluable': False, 'n_with_signal': 2, 'n_without_signal': 0, 'min_required_each': 30, 'blocked_reason': 'smart_money_score>=2 sample n=2<30'}, 'macro_correlation': {'evaluable': False, 'n_favorable': 1, 'n_unfavorable': 1, 'min_required_each': 20, 'blocked_reason': 'macro_score>=2 sample n=1<20'}}",0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],"{'bear_correction_2022': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'rate_rising_2022_2023': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'strong_bull_2023': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'rate_falling_2024': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'ai_sector_bull_2024': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'tariff_shock_2025': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'ai_divergence_2025_2026': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'covid_crisis_2020': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}}","{'win_rate': False, 'profit_factor': np.True_, 'expected_value': True, 'win_loss_ratio': True, 'max_drawdown': True, 'total_roi': True, 'smart_money_lift': True, 'macro_correlation': True, 'trade_count': False, 'deflated_sharpe': True, 'sortino': True, 'calmar': True}",False,"['profit_factor_3.54_exceeds_audit_threshold', 'ci_lower_9.4pct_may_be_random']",breakout,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
poc_magnet_long,Unknown,medium_volatility,2L/0S,2,0.5,0.0945,0.9055,True,3.1796,8.3884,3.1796,24.474,-7.6971,0.0,16.7768,0.445,7.39,1.315,,,insufficient_sample,100,False,50.0,0.0,50.0,0.0,,,,insufficient_sample,,,,insufficient_sample,,,,insufficient_sample,0.445,0.442,0.44,0.434,0.2136,1,False,ok,0.0,"{'full_kelly_pct': 34.27, 'quarter_kelly_pct': 8.57, 'note': 'tier_may_be_undersizing'}",173.0,24.474,-7.6971,,,"{'smart_money_lift': {'evaluable': False, 'n_with_signal': 0, 'n_without_signal': 2, 'min_required_each': 30, 'blocked_reason': 'smart_money_score>=2 sample n=0<30'}, 'macro_correlation': {'evaluable': False, 'n_favorable': 0, 'n_unfavorable': 0, 'min_required_each': 20, 'blocked_reason': 'macro_score>=2 sample n=0<20'}}",0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],"{'bear_correction_2022': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'rate_rising_2022_2023': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'strong_bull_2023': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'rate_falling_2024': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'ai_sector_bull_2024': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'tariff_shock_2025': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'ai_divergence_2025_2026': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'covid_crisis_2020': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}}","{'win_rate': True, 'profit_factor': np.True_, 'expected_value': True, 'win_loss_ratio': True, 'max_drawdown': True, 'total_roi': True, 'smart_money_lift': True, 'macro_correlation': True, 'trade_count': False, 'deflated_sharpe': True, 'sortino': True, 'calmar': True}",False,"['profit_factor_3.18_exceeds_audit_threshold', 'ci_lower_9.4pct_may_be_random']",volume_profile,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
inside_bar_breakout,Materials,medium_volatility,37L/0S,37,0.4054,0.2635,0.5651,True,0.9319,-0.4052,1.3668,13.6714,-10.0028,-83.0448,-14.9912,-0.045,-0.499,-0.073,-0.045,0.3944,low_confidence,300,False,72.97,10.81,35.14,27.03,0.4074,0.4,0.0074,ok,-0.7168,0.8424,False,non_stationary_edge_may_erode,60.3017,0.0,True,structural_break_detected,-0.045,-0.051,-0.056,-0.067,0.5071,15,True,ok,-0.016,"{'full_kelly_pct': -2.96, 'quarter_kelly_pct': 0.0, 'note': 'negative_edge'}",78.6,43.768,-44.4971,,,"{'smart_money_lift': {'evaluable': False, 'n_with_signal': 28, 'n_without_signal': 9, 'min_required_each': 30, 'blocked_reason': 'smart_money_score>=2 sample n=28<30'}, 'macro_correlation': {'evaluable': False, 'n_favorable': 16, 'n_unfavorable': 6, 'min_required_each': 20, 'blocked_reason': 'macro_score>=2 sample n=16<20'}}",0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],"{'bear_correction_2022': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'rate_rising_2022_2023': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'strong_bull_2023': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'rate_falling_2024': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'ai_sector_bull_2024': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'tariff_shock_2025': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'ai_divergence_2025_2026': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}, 'covid_crisis_2020': {'trades': 0, 'verdict': 'INSUFFICIENT_DATA'}}","{'win_rate': False, 'profit_factor': np.False_, 'expected_value': False, 'win_loss_ratio': True, 'max_drawdown': False, 'total_roi': False, 'smart_money_lift': True, 'macro_correlation': True, 'trade_count': False, 'deflated_sharpe': False, 'sortino': False, 'calmar': False}",False,['ci_lower_26.4pct_may_be_random'],breakout,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
