strategy,feature,bucket,n_filtered,n_baseline,wr_baseline,wr_filtered,pnl_baseline,pnl_filtered,sharpe_baseline,sharpe_filtered,lift,wr_lift_pp
bollinger_tight,macro_score,macro_neutral,36,380,0.3105,0.4444,-0.0662,6.6537,-0.0606,4.4134,4.474,13.39
monthly_bias_momentum_long,regime,regime_neutral,82,1335,0.2884,0.4146,1.0988,7.5226,0.7997,3.8975,3.0978,12.62
xs_quality_top_quintile_long,macro_score,macro_neutral,76,607,0.2735,0.3289,0.2875,8.342,0.2083,3.0684,2.8601,5.55
xs_low_beta_long,sentiment_score,sentiment_negative,165,1079,0.2984,0.3879,0.3781,3.4827,0.3351,2.7438,2.4087,8.95
pead_long,macro_score,macro_neutral,58,528,0.2595,0.3448,1.8846,4.8867,1.1326,3.3958,2.2632,8.54
adx_initiation,macro_score,macro_neutral,138,955,0.2534,0.3333,-0.5607,2.2517,-0.3972,1.8446,2.2417,7.99
bollinger_tight,regime,regime_bull,218,380,0.3105,0.3211,-0.0662,2.0553,-0.0606,1.6182,1.6788,1.06
xs_momentum_top_decile,sentiment_score,sentiment_positive,154,383,0.2559,0.2922,-0.3234,1.9459,-0.2796,1.3874,1.667,3.63
xs_momentum_top_decile,macro_score,macro_neutral,70,383,0.2559,0.3143,-0.3234,1.9466,-0.2796,1.3807,1.6603,5.84
pairs_mean_reversion_long,regime,regime_bear,422,1145,0.2978,0.3128,0.6724,2.9974,0.5593,2.1187,1.5595,1.5
xs_momentum_top_decile,smart_money_score,sm_score_le_0,75,383,0.2559,0.28,-0.3234,1.4256,-0.2796,1.1857,1.4654,2.41
pead_long,smart_money_score,sm_score_le_0,98,528,0.2595,0.3265,1.8846,3.4223,1.1326,2.4593,1.3268,6.71
cmf_flip,regime,regime_bear,281,636,0.294,0.3203,1.1931,3.1997,0.8259,2.1182,1.2923,2.63
pead_long,confidence_tier,tier_LOW,57,528,0.2595,0.3333,1.8846,6.1436,1.1326,2.4136,1.281,7.39
pairs_mean_reversion_long,smart_money_score,sm_score_le_0,175,1145,0.2978,0.3257,0.6724,2.361,0.5593,1.8052,1.246,2.79
pead_long,regime,regime_bull,289,528,0.2595,0.2941,1.8846,3.3518,1.1326,2.3029,1.1703,3.46
pairs_mean_reversion_long,macro_score,macro_neutral,150,1145,0.2978,0.3333,0.6724,1.8538,0.5593,1.6679,1.1086,3.55
adx_initiation,confidence_tier,tier_LOW,261,955,0.2534,0.3218,-0.5607,0.6872,-0.3972,0.6452,1.0424,6.84
adx_initiation,regime,regime_bear,371,955,0.2534,0.2749,-0.5607,0.9767,-0.3972,0.5433,0.9404,2.15
pairs_mean_reversion_long,sentiment_score,sentiment_positive,551,1145,0.2978,0.3285,0.6724,1.9252,0.5593,1.4804,0.9211,3.07
monthly_bias_momentum_long,smart_money_score,sm_score_le_0,311,1335,0.2884,0.299,1.0988,2.6032,0.7997,1.6877,0.888,1.06
bollinger_tight,sentiment_score,sentiment_neutral,154,380,0.3105,0.3117,-0.0662,1.0224,-0.0606,0.8064,0.867,0.12
cmf_flip,sentiment_score,sentiment_positive,317,636,0.294,0.306,1.1931,2.6542,0.8259,1.6655,0.8397,1.2
xs_low_beta_long,regime,regime_bull,591,1079,0.2984,0.3469,0.3781,1.0098,0.3351,0.9334,0.5983,4.84
xs_low_beta_long,macro_score,macro_negative,363,1079,0.2984,0.2562,0.3781,1.1322,0.3351,0.9154,0.5804,-4.22
xs_momentum_top_decile,regime,regime_bear,153,383,0.2559,0.2288,-0.3234,0.3625,-0.2796,0.267,0.5467,-2.71
cmf_flip,macro_score,macro_negative,223,636,0.294,0.3318,1.1931,1.585,0.8259,1.2986,0.4727,3.78
cmf_flip,regime,regime_neutral,62,636,0.294,0.3226,1.1931,2.711,0.8259,1.2925,0.4667,2.86
cmf_flip,confidence_tier,tier_LOW,163,636,0.294,0.2945,1.1931,1.9616,0.8259,1.2856,0.4597,0.05
cmf_flip,smart_money_score,sm_score_gt_0,536,636,0.294,0.3004,1.1931,1.9177,0.8259,1.2779,0.452,0.63
adx_initiation,sentiment_score,sentiment_positive,463,955,0.2534,0.2678,-0.5607,-0.0371,-0.3972,-0.0311,0.3661,1.44
xs_low_beta_long,confidence_tier,tier_MEDIUM,195,1079,0.2984,0.2821,0.3781,0.8139,0.3351,0.6596,0.3245,-1.64
bollinger_tight,smart_money_score,sm_score_le_0,75,380,0.3105,0.28,-0.0662,0.3002,-0.0606,0.2602,0.3208,-3.05
adx_initiation,smart_money_score,sm_score_gt_0,834,955,0.2534,0.2674,-0.5607,-0.1439,-0.3972,-0.0973,0.2998,1.4
pairs_mean_reversion_long,macro_score,macro_negative,382,1145,0.2978,0.3063,0.6724,1.0094,0.5593,0.8544,0.2951,0.85
xs_quality_top_quintile_long,regime,regime_bear,144,607,0.2735,0.2847,0.2875,0.5611,0.2083,0.4927,0.2844,1.12
adx_initiation,sentiment_score,sentiment_neutral,370,955,0.2534,0.2595,-0.5607,-0.2193,-0.3972,-0.1268,0.2704,0.61
xs_quality_top_quintile_long,macro_score,macro_negative,149,607,0.2735,0.2752,0.2875,0.5496,0.2083,0.447,0.2387,0.17
xs_low_beta_long,smart_money_score,sm_score_gt_0,919,1079,0.2984,0.2982,0.3781,0.6288,0.3351,0.5331,0.198,-0.03
pead_long,sentiment_score,sentiment_neutral,240,528,0.2595,0.2583,1.8846,2.1392,1.1326,1.3181,0.1855,-0.11
monthly_bias_momentum_long,macro_score,macro_positive,966,1335,0.2884,0.2971,1.0988,1.3775,0.7997,0.9849,0.1852,0.87
pead_long,sentiment_score,sentiment_positive,184,528,0.2595,0.2554,1.8846,2.5685,1.1326,1.3037,0.1711,-0.4
xs_momentum_top_decile,confidence_tier,tier_HIGH,373,383,0.2559,0.2627,-0.3234,-0.1319,-0.2796,-0.1128,0.1668,0.69
monthly_bias_momentum_long,confidence_tier,tier_HIGH,1263,1335,0.2884,0.2937,1.0988,1.3285,0.7997,0.946,0.1463,0.54
pairs_mean_reversion_long,confidence_tier,tier_LOW,126,1145,0.2978,0.3095,0.6724,0.752,0.5593,0.6967,0.1375,1.17
xs_quality_top_quintile_long,smart_money_score,sm_score_gt_0,467,607,0.2735,0.2784,0.2875,0.4921,0.2083,0.3384,0.1301,0.49
xs_quality_top_quintile_long,sentiment_score,sentiment_positive,242,607,0.2735,0.3182,0.2875,0.3533,0.2083,0.3291,0.1208,4.47
monthly_bias_momentum_long,sentiment_score,sentiment_positive,510,1335,0.2884,0.2647,1.0988,1.3622,0.7997,0.9178,0.1181,-2.37
pairs_mean_reversion_long,confidence_tier,tier_HIGH,626,1145,0.2978,0.3067,0.6724,0.7719,0.5593,0.6758,0.1165,0.89
adx_initiation,confidence_tier,tier_HIGH,198,955,0.2534,0.2071,-0.5607,-0.6487,-0.3972,-0.2921,0.1051,-4.63
xs_quality_top_quintile_long,confidence_tier,tier_HIGH,580,607,0.2735,0.2741,0.2875,0.38,0.2083,0.2717,0.0634,0.07
xs_low_beta_long,macro_score,macro_positive,574,1079,0.2984,0.3397,0.3781,0.3995,0.3351,0.3983,0.0633,4.13
xs_quality_top_quintile_long,sentiment_score,sentiment_neutral,256,607,0.2735,0.25,0.2875,0.2677,0.2083,0.2207,0.0124,-2.35
monthly_bias_momentum_long,sentiment_score,sentiment_negative,226,1335,0.2884,0.3097,1.0988,0.9244,0.7997,0.7773,-0.0224,2.13
monthly_bias_momentum_long,macro_score,macro_neutral,96,1335,0.2884,0.2917,1.0988,1.0139,0.7997,0.7513,-0.0485,0.33
pead_long,confidence_tier,tier_HIGH,310,528,0.2595,0.2419,1.8846,1.7253,1.1326,1.0787,-0.0538,-1.75
adx_initiation,macro_score,macro_negative,278,955,0.2534,0.2626,-0.5607,-0.5642,-0.3972,-0.4696,-0.0724,0.92
xs_low_beta_long,confidence_tier,tier_HIGH,566,1079,0.2984,0.318,0.3781,0.2798,0.3351,0.2598,-0.0753,1.96
bollinger_tight,smart_money_score,sm_score_gt_0,305,380,0.3105,0.318,-0.0662,-0.1563,-0.0606,-0.1448,-0.0842,0.75
monthly_bias_momentum_long,sentiment_score,sentiment_neutral,599,1335,0.2884,0.3005,1.0988,0.9403,0.7997,0.7002,-0.0996,1.21
bollinger_tight,confidence_tier,tier_HIGH,264,380,0.3105,0.2955,-0.0662,-0.188,-0.0606,-0.1632,-0.1027,-1.51
bollinger_tight,macro_score,macro_negative,90,380,0.3105,0.3444,-0.0662,-0.1525,-0.0606,-0.1667,-0.1061,3.39
pead_long,macro_score,macro_positive,321,528,0.2595,0.2492,1.8846,1.6867,1.1326,1.0232,-0.1094,-1.02
xs_low_beta_long,confidence_tier,tier_LOW,70,1079,0.2984,0.2143,0.3781,0.2976,0.3351,0.2218,-0.1133,-8.41
xs_low_beta_long,regime,regime_bear,442,1079,0.2984,0.2489,0.3781,0.2727,0.3351,0.2218,-0.1133,-4.96
xs_quality_top_quintile_long,sentiment_score,sentiment_negative,109,607,0.2735,0.2294,0.2875,0.1877,0.2083,0.0871,-0.1212,-4.41
cmf_flip,macro_score,macro_positive,345,636,0.294,0.2725,1.1931,1.0936,0.8259,0.6708,-0.155,-2.16
xs_momentum_top_decile,macro_score,macro_positive,195,383,0.2559,0.2615,-0.3234,-0.4637,-0.2796,-0.4445,-0.1649,0.57
xs_quality_top_quintile_long,regime,regime_bull,439,607,0.2735,0.2642,0.2875,0.027,0.2083,0.0183,-0.1899,-0.92
cmf_flip,confidence_tier,tier_MEDIUM,189,636,0.294,0.2804,1.1931,0.8276,0.8259,0.5951,-0.2308,-1.36
pead_long,smart_money_score,sm_score_gt_0,430,528,0.2595,0.2442,1.8846,1.5342,1.1326,0.8916,-0.241,-1.53
pairs_mean_reversion_long,smart_money_score,sm_score_gt_0,970,1145,0.2978,0.2928,0.6724,0.3677,0.5593,0.3111,-0.2481,-0.5
monthly_bias_momentum_long,regime,regime_bull,1022,1335,0.2884,0.2828,1.0988,0.7142,0.7997,0.5407,-0.259,-0.56
monthly_bias_momentum_long,smart_money_score,sm_score_gt_0,1024,1335,0.2884,0.2852,1.0988,0.6419,0.7997,0.487,-0.3127,-0.32
xs_momentum_top_decile,regime,regime_bull,215,383,0.2559,0.2744,-0.3234,-0.666,-0.2796,-0.6471,-0.3674,1.85
xs_momentum_top_decile,smart_money_score,sm_score_gt_0,308,383,0.2559,0.25,-0.3234,-0.7493,-0.2796,-0.6541,-0.3744,-0.59
pead_long,regime,regime_bear,173,528,0.2595,0.237,1.8846,1.3512,1.1326,0.7202,-0.4124,-2.25
monthly_bias_momentum_long,regime,regime_bear,231,1335,0.2884,0.2684,1.0988,0.52,0.7997,0.3844,-0.4153,-2.0
pairs_mean_reversion_long,macro_score,macro_positive,613,1145,0.2978,0.2838,0.6724,0.1733,0.5593,0.1401,-0.4191,-1.4
adx_initiation,macro_score,macro_positive,539,955,0.2534,0.2282,-0.5607,-1.2789,-0.3972,-0.8254,-0.4282,-2.52
cmf_flip,macro_score,macro_neutral,68,636,0.294,0.2794,1.1931,0.4133,0.8259,0.3778,-0.4481,-1.46
xs_low_beta_long,sentiment_score,sentiment_neutral,418,1079,0.2984,0.299,0.3781,-0.1371,0.3351,-0.1207,-0.4558,0.06
pead_long,macro_score,macro_negative,149,528,0.2595,0.2483,1.8846,1.1425,1.1326,0.6417,-0.4909,-1.11
adx_initiation,regime,regime_bull,482,955,0.2534,0.2469,-0.5607,-1.0422,-0.3972,-0.9019,-0.5047,-0.65
bollinger_tight,sentiment_score,sentiment_negative,40,380,0.3105,0.275,-0.0662,-0.5314,-0.0606,-0.5778,-0.5172,-3.55
bollinger_tight,confidence_tier,tier_LOW,46,380,0.3105,0.3913,-0.0662,-0.5412,-0.0606,-0.5811,-0.5205,8.08
xs_low_beta_long,sentiment_score,sentiment_positive,496,1079,0.2984,0.2681,0.3781,-0.2205,0.3351,-0.2067,-0.5418,-3.03
cmf_flip,sentiment_score,sentiment_negative,74,636,0.294,0.2568,1.1931,0.3388,0.8259,0.2618,-0.564,-3.73
xs_quality_top_quintile_long,smart_money_score,sm_score_le_0,140,607,0.2735,0.2571,0.2875,-0.3951,0.2083,-0.3585,-0.5668,-1.63
monthly_bias_momentum_long,macro_score,macro_negative,273,1335,0.2884,0.2564,1.0988,0.1424,0.7997,0.1099,-0.6898,-3.2
pairs_mean_reversion_long,sentiment_score,sentiment_negative,176,1145,0.2978,0.2727,0.6724,-0.2261,0.5593,-0.1789,-0.7382,-2.51
bollinger_tight,sentiment_score,sentiment_positive,186,380,0.3105,0.3172,-0.0662,-0.8674,-0.0606,-0.898,-0.8374,0.67
