strategy,exit_method,day_of_week_at_entry,n,win_rate,avg_pnl_pct,total_pnl_pct
adx_initiation,atr_trail_1x,fri,83,0.30120481927710846,-2.8338192771084336,-235.207
adx_initiation,atr_trail_1x,mon,436,0.2545871559633027,-2.5300708715596327,-1103.1109
adx_initiation,atr_trail_1x,thu,108,0.2962962962962963,-2.5036694444444443,-270.3963
adx_initiation,atr_trail_1x,tue,198,0.2777777777777778,-2.1523545454545454,-426.1662
adx_initiation,atr_trail_1x,wed,130,0.25384615384615383,-2.08343,-270.8459
adx_initiation,atr_trail_2x,fri,83,0.39759036144578314,-1.9005204819277108,-157.7432
adx_initiation,atr_trail_2x,mon,436,0.3256880733944954,-1.95542247706422,-852.5641999999999
adx_initiation,atr_trail_2x,thu,108,0.37962962962962965,-2.7857203703703703,-300.8578
adx_initiation,atr_trail_2x,tue,198,0.36363636363636365,0.6740156565656565,133.4551
adx_initiation,atr_trail_2x,wed,130,0.35384615384615387,-0.05348615384615384,-6.9532
adx_initiation,atr_trail_mae_conditional,fri,83,0.30120481927710846,-2.8338192771084336,-235.207
adx_initiation,atr_trail_mae_conditional,mon,436,0.2545871559633027,-2.5300708715596327,-1103.1109
adx_initiation,atr_trail_mae_conditional,thu,108,0.2962962962962963,-2.5036694444444443,-270.3963
adx_initiation,atr_trail_mae_conditional,tue,198,0.2777777777777778,-2.1523545454545454,-426.1662
adx_initiation,atr_trail_mae_conditional,wed,130,0.25384615384615383,-2.08343,-270.8459
adx_initiation,atr_trail_vix_conditional,fri,83,0.24096385542168675,-3.0740855421686746,-255.1491
adx_initiation,atr_trail_vix_conditional,mon,436,0.23853211009174313,-2.2385864678899083,-976.0237
adx_initiation,atr_trail_vix_conditional,thu,108,0.3611111111111111,-0.9344999999999999,-100.92599999999999
adx_initiation,atr_trail_vix_conditional,tue,198,0.30808080808080807,-1.9479000000000002,-385.68420000000003
adx_initiation,atr_trail_vix_conditional,wed,130,0.26153846153846155,-1.2406607692307692,-161.2859
adx_initiation,break_even_at_1r,fri,83,0.21686746987951808,-0.9262662650602409,-76.8801
adx_initiation,break_even_at_1r,mon,436,0.1926605504587156,0.20331284403669742,88.64440000000008
adx_initiation,break_even_at_1r,thu,108,0.24074074074074073,-1.915437037037037,-206.8672
adx_initiation,break_even_at_1r,tue,198,0.22727272727272727,-0.345968686868687,-68.50180000000002
adx_initiation,break_even_at_1r,wed,130,0.2,3.2127300000000005,417.65490000000005
adx_initiation,breakeven_plus_trail,fri,83,0.5301204819277109,4.8871204819277105,405.631
adx_initiation,breakeven_plus_trail,mon,436,0.44954128440366975,12.53169633027523,5463.8196
adx_initiation,breakeven_plus_trail,thu,108,0.48148148148148145,2.9173074074074075,315.0692
adx_initiation,breakeven_plus_trail,tue,198,0.5151515151515151,16.26016717171717,3219.5131
adx_initiation,breakeven_plus_trail,wed,130,0.5,19.633572307692308,2552.3644
adx_initiation,chandelier_3x,fri,83,0.10843373493975904,0.8559072289156626,71.0403
adx_initiation,chandelier_3x,mon,436,0.08486238532110092,-0.7746474770642201,-337.74629999999996
adx_initiation,chandelier_3x,thu,108,0.1111111111111111,-0.8493759259259259,-91.7326
adx_initiation,chandelier_3x,tue,198,0.1111111111111111,1.406560101010101,278.4989
adx_initiation,chandelier_3x,wed,130,0.1076923076923077,0.5141484615384616,66.83930000000001
adx_initiation,class_time_stop,fri,83,0.4939759036144578,0.37738192771084333,31.322699999999998
adx_initiation,class_time_stop,mon,436,0.48853211009174313,35.50661009174312,15480.882000000001
adx_initiation,class_time_stop,thu,108,0.5092592592592593,3.7674944444444445,406.8894
adx_initiation,class_time_stop,tue,198,0.48484848484848486,233.35835606060607,46204.9545
adx_initiation,class_time_stop,wed,130,0.5230769230769231,84.85450461538461,11031.0856
adx_initiation,earnings_blackout,fri,83,0.4457831325301205,8.052936144578313,668.3937
adx_initiation,earnings_blackout,mon,436,0.4793577981651376,25.950507110091745,11314.421100000001
adx_initiation,earnings_blackout,thu,108,0.6111111111111112,10.384786111111111,1121.5569
adx_initiation,earnings_blackout,tue,198,0.5202020202020202,150.03730252525256,29707.385900000005
adx_initiation,earnings_blackout,wed,130,0.49230769230769234,66.75531615384615,8678.1911
adx_initiation,fixed_4r_2r,fri,83,0.3373493975903614,3.2865180722891565,272.781
adx_initiation,fixed_4r_2r,mon,436,0.3532110091743119,5.5012550458715594,2398.5472
adx_initiation,fixed_4r_2r,thu,108,0.4074074074074074,1.9479435185185185,210.3779
adx_initiation,fixed_4r_2r,tue,198,0.37373737373737376,28.921692424242426,5726.4951
adx_initiation,fixed_4r_2r,wed,130,0.36923076923076925,25.952063846153848,3373.7683
adx_initiation,hybrid_50pct_target,fri,83,0.4939759036144578,4.2177710843373495,350.075
adx_initiation,hybrid_50pct_target,mon,436,0.43577981651376146,-2.5427623853211005,-1108.6444
adx_initiation,hybrid_50pct_target,thu,108,0.5092592592592593,-3.8774666666666673,-418.7664000000001
adx_initiation,hybrid_50pct_target,tue,198,0.45454545454545453,4.025036363636364,796.9572000000001
adx_initiation,hybrid_50pct_target,wed,130,0.4461538461538462,0.526826923076923,68.4875
adx_initiation,ma_exit_ema9,fri,83,0.3253012048192771,-0.19932048192771082,-16.543599999999998
adx_initiation,ma_exit_ema9,mon,436,0.3440366972477064,-0.000947935779816551,-0.4133000000000162
adx_initiation,ma_exit_ema9,thu,108,0.3333333333333333,-0.6891981481481482,-74.4334
adx_initiation,ma_exit_ema9,tue,198,0.3686868686868687,0.5116787878787878,101.31239999999998
adx_initiation,ma_exit_ema9,wed,130,0.4,0.3807361538461538,49.49569999999999
adx_initiation,mfe_lockin_trail,fri,83,0.3132530120481928,-2.7684493975903615,-229.7813
adx_initiation,mfe_lockin_trail,mon,436,0.25688073394495414,-2.2783795871559636,-993.3735
adx_initiation,mfe_lockin_trail,thu,108,0.3148148148148148,-2.2147342592592594,-239.1913
adx_initiation,mfe_lockin_trail,tue,198,0.2828282828282828,-2.0598040404040403,-407.8412
adx_initiation,mfe_lockin_trail,wed,130,0.26153846153846155,-1.800266923076923,-234.0347
adx_initiation,multi_tier_partial,fri,83,0.43373493975903615,-1.9846325301204817,-164.72449999999998
adx_initiation,multi_tier_partial,mon,436,0.4059633027522936,-1.5776483944954127,-687.8547
adx_initiation,multi_tier_partial,thu,108,0.42592592592592593,-1.8670675925925926,-201.6433
adx_initiation,multi_tier_partial,tue,198,0.41414141414141414,-0.7625505050505051,-150.985
adx_initiation,multi_tier_partial,wed,130,0.4846153846153846,-1.20668,-156.8684
adx_initiation,next_pivot_target,fri,83,0.7108433734939759,3.519277108433735,292.1
adx_initiation,next_pivot_target,mon,436,0.6857798165137615,0.3248706422018349,141.64360000000002
adx_initiation,next_pivot_target,thu,108,0.7222222222222222,-0.4232981481481483,-45.716200000000015
adx_initiation,next_pivot_target,tue,198,0.6919191919191919,3.480820707070707,689.2025
adx_initiation,next_pivot_target,wed,130,0.7307692307692307,16.23016769230769,2109.9217999999996
adx_initiation,r_multiple_2r,fri,83,0.37349397590361444,1.0828385542168675,89.8756
adx_initiation,r_multiple_2r,mon,436,0.3211009174311927,8.271174770642203,3606.2322000000004
adx_initiation,r_multiple_2r,thu,108,0.3888888888888889,0.08792592592592587,9.495999999999993
adx_initiation,r_multiple_2r,tue,198,0.3484848484848485,11.195066161616163,2216.6231000000002
adx_initiation,r_multiple_2r,wed,130,0.34615384615384615,12.606580769230769,1638.8555
adx_initiation,r_multiple_3r,fri,83,0.30120481927710846,3.491878313253012,289.8259
adx_initiation,r_multiple_3r,mon,436,0.26146788990825687,3.6504169724770645,1591.5818000000002
adx_initiation,r_multiple_3r,thu,108,0.32407407407407407,1.057037037037037,114.16
adx_initiation,r_multiple_3r,tue,198,0.2878787878787879,17.314469696969695,3428.265
adx_initiation,r_multiple_3r,wed,130,0.27692307692307694,19.039453076923078,2475.1289
adx_initiation,regime_flip,fri,83,0.46987951807228917,0.1538168674698795,12.766799999999998
adx_initiation,regime_flip,mon,436,0.4541284403669725,10.211450917431192,4452.192599999999
adx_initiation,regime_flip,thu,108,0.5648148148148148,0.7636564814814818,82.47490000000003
adx_initiation,regime_flip,tue,198,0.51010101010101,122.86853737373737,24327.9704
adx_initiation,regime_flip,wed,130,0.5,57.755433076923076,7508.2063
adx_initiation,reverse_signal,fri,83,0.30120481927710846,-2.8338192771084336,-235.207
adx_initiation,reverse_signal,mon,436,0.2545871559633027,-2.5300708715596327,-1103.1109
adx_initiation,reverse_signal,thu,108,0.2962962962962963,-2.5036694444444443,-270.3963
adx_initiation,reverse_signal,tue,198,0.2777777777777778,-2.1523545454545454,-426.1662
adx_initiation,reverse_signal,wed,130,0.25384615384615383,-2.08343,-270.8459
adx_initiation,smc_mitigation_zone,fri,83,0.30120481927710846,-2.8338192771084336,-235.207
adx_initiation,smc_mitigation_zone,mon,436,0.2545871559633027,-2.5300708715596327,-1103.1109
adx_initiation,smc_mitigation_zone,thu,108,0.2962962962962963,-2.5036694444444443,-270.3963
adx_initiation,smc_mitigation_zone,tue,198,0.2777777777777778,-2.1523545454545454,-426.1662
adx_initiation,smc_mitigation_zone,wed,130,0.25384615384615383,-2.08343,-270.8459
adx_initiation,time_stop_10d,fri,83,0.4578313253012048,-0.5179590361445782,-42.990599999999986
adx_initiation,time_stop_10d,mon,436,0.47706422018348627,0.48911353211009173,213.2535
adx_initiation,time_stop_10d,thu,108,0.46296296296296297,-2.3223407407407404,-250.81279999999998
adx_initiation,time_stop_10d,tue,198,0.4898989898989899,8.825759595959596,1747.5004
adx_initiation,time_stop_10d,wed,130,0.5153846153846153,6.157456923076922,800.4694
adx_initiation,time_stop_20d,fri,83,0.46987951807228917,0.1538168674698795,12.766799999999998
adx_initiation,time_stop_20d,mon,436,0.4541284403669725,10.211450917431192,4452.192599999999
