strategy,exit_method,days_from_quarter_end_at_entry,n,win_rate,avg_pnl_pct,total_pnl_pct
adx_initiation,atr_trail_1x,0,17,0.17647058823529413,-0.07462352941176464,-1.2685999999999988
adx_initiation,atr_trail_1x,1,8,0.375,-2.422925,-19.3834
adx_initiation,atr_trail_1x,2,6,0.5,0.19014999999999996,1.1408999999999998
adx_initiation,atr_trail_1x,3,7,0.2857142857142857,-2.2025857142857146,-15.4181
adx_initiation,atr_trail_1x,4,8,0.375,-0.4910624999999998,-3.9284999999999983
adx_initiation,atr_trail_1x,5,5,0.0,-3.39978,-16.9989
adx_initiation,atr_trail_1x,6,10,0.4,-0.98583,-9.8583
adx_initiation,atr_trail_1x,7,19,0.15789473684210525,-5.944457894736842,-112.9447
adx_initiation,atr_trail_1x,8,9,0.2222222222222222,0.448888888888889,4.040000000000001
adx_initiation,atr_trail_1x,9,10,0.5,4.05001,40.5001
adx_initiation,atr_trail_1x,10,9,0.1111111111111111,-2.7647222222222223,-24.8825
adx_initiation,atr_trail_1x,11,15,0.06666666666666667,-4.769826666666668,-71.54740000000001
adx_initiation,atr_trail_1x,12,7,0.42857142857142855,-0.9972428571428571,-6.9807
adx_initiation,atr_trail_1x,13,10,0.0,-3.08995,-30.8995
adx_initiation,atr_trail_1x,14,15,0.2,-1.4585133333333336,-21.877700000000004
adx_initiation,atr_trail_1x,15,12,0.4166666666666667,-0.40539166666666676,-4.864700000000001
adx_initiation,atr_trail_1x,16,6,0.0,-4.9256166666666665,-29.5537
adx_initiation,atr_trail_1x,17,11,0.2727272727272727,-3.3834181818181817,-37.2176
adx_initiation,atr_trail_1x,18,8,0.25,-2.6965875,-21.5727
adx_initiation,atr_trail_1x,19,8,0.0,-5.8835875,-47.0687
adx_initiation,atr_trail_1x,20,17,0.23529411764705882,-2.198064705882353,-37.3671
adx_initiation,atr_trail_1x,21,6,0.3333333333333333,2.1537,12.9222
adx_initiation,atr_trail_1x,22,13,0.3076923076923077,-1.5697846153846156,-20.407200000000003
adx_initiation,atr_trail_1x,23,13,0.15384615384615385,-5.665630769230769,-73.6532
adx_initiation,atr_trail_1x,24,9,0.4444444444444444,0.3963555555555556,3.5672000000000006
adx_initiation,atr_trail_1x,25,7,0.2857142857142857,-2.5632857142857146,-17.943
adx_initiation,atr_trail_1x,26,7,0.42857142857142855,-0.7271857142857144,-5.090300000000001
adx_initiation,atr_trail_1x,27,10,0.1,-6.66433,-66.6433
adx_initiation,atr_trail_1x,28,13,0.15384615384615385,-4.954061538461539,-64.4028
adx_initiation,atr_trail_1x,29,12,0.25,-1.9567666666666668,-23.4812
adx_initiation,atr_trail_1x,30,7,0.14285714285714285,-4.095357142857143,-28.6675
adx_initiation,atr_trail_1x,31,8,0.125,-3.3385375,-26.7083
adx_initiation,atr_trail_1x,32,5,0.0,-3.27034,-16.3517
adx_initiation,atr_trail_1x,33,8,0.5,0.06247500000000006,0.49980000000000047
adx_initiation,atr_trail_1x,34,11,0.36363636363636365,-1.8229818181818183,-20.0528
adx_initiation,atr_trail_1x,35,4,0.0,-5.9428,-23.7712
adx_initiation,atr_trail_1x,36,9,0.1111111111111111,-1.8992999999999998,-17.0937
adx_initiation,atr_trail_1x,37,19,0.10526315789473684,-5.823515789473684,-110.6468
adx_initiation,atr_trail_1x,38,7,0.0,-4.819814285714286,-33.7387
adx_initiation,atr_trail_1x,39,10,0.1,-9.681329999999999,-96.8133
adx_initiation,atr_trail_1x,40,8,0.25,-1.7964125,-14.3713
adx_initiation,atr_trail_1x,41,14,0.6428571428571429,-2.4071142857142855,-33.6996
adx_initiation,atr_trail_1x,42,8,0.5,0.6038124999999999,4.830499999999999
adx_initiation,atr_trail_1x,43,11,0.2727272727272727,-2.807718181818182,-30.884900000000002
adx_initiation,atr_trail_1x,44,7,0.0,-9.145657142857143,-64.0196
adx_initiation,atr_trail_1x,45,5,0.0,-5.10158,-25.5079
adx_initiation,atr_trail_1x,46,10,0.2,-5.97664,-59.7664
adx_initiation,atr_trail_1x,47,8,0.125,-4.282525,-34.2602
adx_initiation,atr_trail_1x,48,14,0.14285714285714285,-3.372792857142857,-47.2191
adx_initiation,atr_trail_1x,49,16,0.25,-3.2099125,-51.3586
adx_initiation,atr_trail_1x,50,10,0.2,-3.4081500000000005,-34.081500000000005
adx_initiation,atr_trail_1x,51,2,0.0,-6.4977,-12.9954
adx_initiation,atr_trail_1x,52,32,0.3125,-1.0811,-34.5952
adx_initiation,atr_trail_1x,53,13,0.3076923076923077,0.5917307692307697,7.692500000000006
adx_initiation,atr_trail_1x,54,13,0.15384615384615385,-2.937561538461538,-38.1883
adx_initiation,atr_trail_1x,55,9,0.2222222222222222,-0.9805444444444444,-8.8249
adx_initiation,atr_trail_1x,56,11,0.36363636363636365,-4.090590909090909,-44.9965
adx_initiation,atr_trail_1x,57,11,0.18181818181818182,-5.087427272727272,-55.96169999999999
adx_initiation,atr_trail_1x,58,12,0.3333333333333333,-2.974683333333333,-35.6962
adx_initiation,atr_trail_1x,59,6,0.5,-0.64615,-3.8769
adx_initiation,atr_trail_1x,60,8,0.125,-9.544475,-76.3558
adx_initiation,atr_trail_1x,61,6,0.16666666666666666,-3.97155,-23.8293
adx_initiation,atr_trail_1x,62,9,0.3333333333333333,3.0746888888888884,27.672199999999997
adx_initiation,atr_trail_1x,63,12,0.4166666666666667,1.2898583333333333,15.478299999999999
adx_initiation,atr_trail_1x,64,9,0.3333333333333333,-6.219377777777778,-55.9744
adx_initiation,atr_trail_1x,65,5,0.8,5.23968,26.1984
adx_initiation,atr_trail_1x,66,7,0.2857142857142857,-2.8989285714285713,-20.2925
adx_initiation,atr_trail_1x,67,9,0.3333333333333333,-2.5023444444444447,-22.5211
adx_initiation,atr_trail_1x,68,7,0.42857142857142855,3.102285714285714,21.715999999999998
adx_initiation,atr_trail_1x,69,20,0.3,-1.5086650000000001,-30.1733
adx_initiation,atr_trail_1x,70,10,0.5,0.7595699999999999,7.595699999999999
adx_initiation,atr_trail_1x,71,8,0.0,-4.298825,-34.3906
adx_initiation,atr_trail_1x,72,5,0.2,-2.96786,-14.8393
adx_initiation,atr_trail_1x,73,5,0.4,0.2740400000000001,1.3702000000000005
adx_initiation,atr_trail_1x,74,11,0.45454545454545453,-0.5704727272727271,-6.275199999999999
adx_initiation,atr_trail_1x,75,8,0.375,0.21871250000000006,1.7497000000000005
adx_initiation,atr_trail_1x,76,13,0.23076923076923078,0.23633846153846141,3.0723999999999982
adx_initiation,atr_trail_1x,77,22,0.4090909090909091,-1.8000818181818181,-39.6018
adx_initiation,atr_trail_1x,78,19,0.47368421052631576,0.9268842105263159,17.6108
adx_initiation,atr_trail_1x,79,5,0.2,-4.52034,-22.6017
adx_initiation,atr_trail_1x,80,10,0.4,-1.8998800000000002,-18.998800000000003
adx_initiation,atr_trail_1x,81,14,0.42857142857142855,3.6282857142857137,50.79599999999999
adx_initiation,atr_trail_1x,82,9,0.2222222222222222,-4.931866666666666,-44.386799999999994
