strategy,exit_method,sector,n,win_rate,avg_pnl_pct,total_pnl_pct
adx_initiation,atr_trail_1x,Communication Services,32,0.21875,-3.707971875,-118.6551
adx_initiation,atr_trail_1x,Consumer Discretionary,92,0.30434782608695654,-1.1582391304347825,-106.55799999999999
adx_initiation,atr_trail_1x,Consumer Staples,9,0.2222222222222222,0.5079777777777779,4.5718000000000005
adx_initiation,atr_trail_1x,Energy,57,0.3333333333333333,0.6368964912280702,36.3031
adx_initiation,atr_trail_1x,Financials,92,0.25,-5.726390217391304,-526.8279
adx_initiation,atr_trail_1x,Health Care,254,0.2677165354330709,-2.8388437007874012,-721.0663
adx_initiation,atr_trail_1x,Industrials,101,0.31683168316831684,-1.2468237623762377,-125.92920000000001
adx_initiation,atr_trail_1x,Information Technology,136,0.25735294117647056,-2.081869117647059,-283.1342
adx_initiation,atr_trail_1x,Materials,59,0.2033898305084746,-1.3895898305084746,-81.9858
adx_initiation,atr_trail_1x,Real Estate,11,0.2727272727272727,-1.0964545454545453,-12.061
adx_initiation,atr_trail_1x,Unknown,98,0.24489795918367346,-3.178891836734694,-311.5314
adx_initiation,atr_trail_1x,Utilities,14,0.21428571428571427,-4.203735714285714,-58.8523
adx_initiation,atr_trail_2x,Communication Services,32,0.34375,-0.4268531249999999,-13.659299999999996
adx_initiation,atr_trail_2x,Consumer Discretionary,92,0.30434782608695654,-1.0135815217391306,-93.24950000000001
adx_initiation,atr_trail_2x,Consumer Staples,9,0.6666666666666666,8.67661111111111,78.0895
adx_initiation,atr_trail_2x,Energy,57,0.42105263157894735,-1.609736842105263,-91.75499999999998
adx_initiation,atr_trail_2x,Financials,92,0.3695652173913043,-1.2256282608695652,-112.7578
adx_initiation,atr_trail_2x,Health Care,254,0.33858267716535434,-0.3691799212598424,-93.77169999999997
adx_initiation,atr_trail_2x,Industrials,101,0.36633663366336633,0.5225138613861385,52.77389999999999
adx_initiation,atr_trail_2x,Information Technology,136,0.3382352941176471,-3.229763970588235,-439.24789999999996
adx_initiation,atr_trail_2x,Materials,59,0.3559322033898305,-0.707840677966102,-41.76260000000001
adx_initiation,atr_trail_2x,Real Estate,11,0.36363636363636365,-0.7877,-8.6647
adx_initiation,atr_trail_2x,Unknown,98,0.3469387755102041,-3.424007142857143,-335.5527
adx_initiation,atr_trail_2x,Utilities,14,0.21428571428571427,-6.078964285714285,-85.10549999999999
adx_initiation,atr_trail_mae_conditional,Communication Services,32,0.21875,-3.707971875,-118.6551
adx_initiation,atr_trail_mae_conditional,Consumer Discretionary,92,0.30434782608695654,-1.1582391304347825,-106.55799999999999
adx_initiation,atr_trail_mae_conditional,Consumer Staples,9,0.2222222222222222,0.5079777777777779,4.5718000000000005
adx_initiation,atr_trail_mae_conditional,Energy,57,0.3333333333333333,0.6368964912280702,36.3031
adx_initiation,atr_trail_mae_conditional,Financials,92,0.25,-5.726390217391304,-526.8279
adx_initiation,atr_trail_mae_conditional,Health Care,254,0.2677165354330709,-2.8388437007874012,-721.0663
adx_initiation,atr_trail_mae_conditional,Industrials,101,0.31683168316831684,-1.2468237623762377,-125.92920000000001
adx_initiation,atr_trail_mae_conditional,Information Technology,136,0.25735294117647056,-2.081869117647059,-283.1342
adx_initiation,atr_trail_mae_conditional,Materials,59,0.2033898305084746,-1.3895898305084746,-81.9858
adx_initiation,atr_trail_mae_conditional,Real Estate,11,0.2727272727272727,-1.0964545454545453,-12.061
