strategy,exit_method,total_pnl_pct,n,win_rate
lead_lag_sector_rotation,earnings_blackout,230942.6883,356,0.4803370786516854
adx_initiation,class_time_stop,73155.1342,955,0.4952879581151832
monthly_bias_momentum_long,earnings_blackout,9964.8536,1335,0.5220973782771535
xs_low_beta_long,earnings_blackout,7509.5465,1079,0.5634847080630213
po3_bullish,earnings_blackout,7001.1032,1501,0.48967355096602266
pairs_mean_reversion_long,earnings_blackout,6330.6775,1145,0.5039301310043668
cpr_narrow_bullish,breakeven_plus_trail,4580.0369,2177,0.4056040422599908
williams_r_oversold,earnings_blackout,4428.5162,849,0.5441696113074205
stochrsi_oversold,earnings_blackout,4300.0963,1115,0.4923766816143498
cmf_flip,earnings_blackout,4234.2725,636,0.5424528301886793
institutional_cluster_long,earnings_blackout,3599.5314,278,0.539568345323741
xs_momentum_top_decile,earnings_blackout,3251.4217,383,0.5274151436031331
pead_long,earnings_blackout,2760.9187,528,0.5227272727272727
supertrend_macd,earnings_blackout,2345.6825,520,0.46153846153846156
htf_aligned_breakout_long,earnings_blackout,2278.7556,190,0.5263157894736842
xs_quality_top_quintile_long,breakeven_plus_trail,2061.0393,607,0.37397034596375617
ppo_crossover,breakeven_plus_trail,1711.3042,296,0.43243243243243246
bollinger_tight,earnings_blackout,1663.2849,380,0.5236842105263158
tema_dema,breakeven_plus_trail,1540.9488,406,0.4236453201970443
ultimate_oscillator,breakeven_plus_trail,1536.3931,462,0.4458874458874459
macd_fast_crossover,earnings_blackout,1439.817,256,0.51953125
roc_burst,breakeven_plus_trail,1159.0739,74,0.3783783783783784
squeeze_breakout,breakeven_plus_trail,1119.5128,252,0.4087301587301587
buyback_8k_recent_long,breakeven_plus_trail,1088.9921,245,0.40408163265306124
avwap_252_breakout,breakeven_plus_trail,1088.761,179,0.5083798882681564
camarilla_r3_breakout,earnings_blackout,1070.1744,260,0.5
pre_fomc_long_sleeve,earnings_blackout,1055.1615,229,0.5152838427947598
parabolic_sar_flip,breakeven_plus_trail,1033.2901,338,0.42011834319526625
stochrsi_overbought_short,breakeven_plus_trail,929.6013,353,0.3881019830028329
po3_htf_aligned_long,earnings_blackout,919.093,198,0.5050505050505051
orb_stocks_in_play_long,earnings_blackout,882.4876,205,0.47317073170731705
break_retest_volume,earnings_blackout,843.8966,329,0.49240121580547114
three_white_soldiers,breakeven_plus_trail,841.7862,344,0.35755813953488375
morning_star,breakeven_plus_trail,777.3498,228,0.36403508771929827
pead_short,breakeven_plus_trail,738.3846,453,0.40618101545253865
po3_htf_aligned_short,breakeven_plus_trail,720.6361,211,0.5165876777251185
institutional_buy_momentum_long,earnings_blackout,643.0247,126,0.49206349206349204
awesome_oscillator,breakeven_plus_trail,589.2478,212,0.41037735849056606
ichimoku_cloud_breakout,breakeven_plus_trail,579.0493,384,0.3463541666666667
avwap_50_reclaim,breakeven_plus_trail,536.677,1276,0.3667711598746082
force_index_breakout,breakeven_plus_trail,529.0402,621,0.357487922705314
vix_backwardation_long,class_time_stop,520.7038,30,0.7666666666666667
hull_rsi,breakeven_plus_trail,500.0551,360,0.3888888888888889
ichimoku_tk_cross,earnings_blackout,494.4156,77,0.5324675324675324
macd_crossover,breakeven_plus_trail,492.00169999999997,144,0.3541666666666667
cpr_narrow_momentum,breakeven_plus_trail,490.9617,283,0.4381625441696113
pivot_r1_breakout,earnings_blackout,474.49979999999994,96,0.4583333333333333
golden_cross_9_21,breakeven_plus_trail,457.011,155,0.3935483870967742
pivot_s1_bounce,breakeven_plus_trail,357.9441,97,0.32989690721649484
bollinger_lower,breakeven_plus_trail,351.8702,116,0.43103448275862066
prev_day_low_bounce,earnings_blackout,269.9693,49,0.42857142857142855
williams_stoch_dual,breakeven_plus_trail,269.5437,134,0.30597014925373134
hull_rsi_short,breakeven_plus_trail,244.097,287,0.42857142857142855
double_bottom_long,earnings_blackout,226.46840000000003,53,0.49056603773584906
prev_day_high_break,breakeven_plus_trail,225.7092,86,0.4186046511627907
r1_break_retest,breakeven_plus_trail,182.8913,88,0.23863636363636365
stoch_oversold,fixed_4r_2r,135.3409,11,0.5454545454545454
inside_bar_breakout,earnings_blackout,121.3719,37,0.5135135135135135
pivot_s2_bounce,fixed_4r_2r,119.3338,6,0.8333333333333334
bullish_engulfing_support,earnings_blackout,108.9879,23,0.6086956521739131
totm_long,earnings_blackout,91.79820000000001,16,0.4375
insider_cluster_long,breakeven_plus_trail,88.97040000000001,51,0.45098039215686275
htf_aligned_breakout_short,breakeven_plus_trail,60.14339999999998,309,0.35275080906148865
halloween_seasonal_long,r_multiple_2r,39.317099999999996,10,0.5
break_retest_confluence,breakeven_plus_trail,18.062999999999988,105,0.3238095238095238
rsi_oversold,chandelier_3x,-11.4378,15,0.0
risk_off_bond_equity_short,next_pivot_target,-74.9592,166,0.7289156626506024
pairs_mean_reversion_short,next_pivot_target,-79.8699,165,0.7636363636363637
cpr_narrow_momentum_short,breakeven_plus_trail,-168.7245,109,0.3577981651376147
orb_stocks_in_play_short,breakeven_plus_trail,-243.7739,202,0.4207920792079208
po3_bearish,breakeven_plus_trail,-632.4043,1766,0.3448471121177803
xs_momentum_bottom_decile_short,breakeven_plus_trail,-1277.6483999999998,2163,0.47434119278779474
