strategy,exit_method,trades,win_rate,profit_factor,avg_pnl_pct,total_roi_pct,max_drawdown_pct,avg_hold_days,actual_fire_rate,composite_score,recommended
52w_high_breakout,earnings_blackout,9,0.3333,1.4266,6.0515,54.4638,-114.2927,307.8,0.0,26.13,False
52w_high_breakout,time_stop_10d,9,0.5556,0.6939,-1.5603,-14.043,-37.9613,13.3,1.0,22.22,True
52w_high_breakout,multi_tier_partial,9,0.4444,0.2546,-2.0539,-18.4848,-19.8899,3.7,1.0,17.94,False
52w_high_breakout,atr_trail_2x,9,0.4444,0.183,-4.5695,-41.1252,-44.2896,16.8,0.8889,17.78,False
52w_high_breakout,reverse_signal,9,0.2222,0.618,-1.1436,-10.2923,-15.6371,5.6,0.8889,15.43,False
52w_high_breakout,smart_money_reversal,9,0.2222,0.618,-1.1436,-10.2923,-15.6371,5.6,1.0,15.43,False
52w_high_breakout,atr_trail_1x,9,0.2222,0.618,-1.1436,-10.2923,-15.6371,5.6,0.8889,15.43,False
52w_high_breakout,smc_mitigation_zone,9,0.2222,0.6371,-1.0537,-9.4833,-15.6371,5.4,0.8889,15.43,False
52w_high_breakout,atr_trail_mae_conditional,9,0.2222,0.618,-1.1436,-10.2923,-15.6371,5.6,0.8889,15.43,False
52w_high_breakout,ma_exit_ema9,9,0.3333,0.3766,-2.8732,-25.8592,-31.4356,10.7,0.8889,13.33,False
52w_high_breakout,hybrid_50pct_target,9,0.3333,0.4784,-2.9809,-26.828,-31.4356,23.9,0.8889,13.33,False
52w_high_breakout,next_pivot_target,9,0.3333,0.2951,-4.1891,-37.7019,-45.7019,11.9,0.8889,13.33,False
52w_high_breakout,class_time_stop,9,0.2222,0.0475,-11.0386,-99.3476,-85.9784,31.1,1.0,8.89,False
52w_high_breakout,trailing_5pct,9,0.2222,0.1342,-2.1747,-19.5725,-20.8227,12.0,0.8889,8.89,False
52w_high_breakout,chandelier_3x,9,0.2222,0.0663,-6.6806,-60.1254,-61.9369,17.1,0.8889,8.89,False
52w_high_breakout,r_multiple_2r,9,0.2222,0.5704,-1.7114,-15.4025,-23.4855,9.7,0.8889,8.89,False
52w_high_breakout,mfe_lockin_trail,9,0.2222,0.2362,-2.2867,-20.58,-21.6876,4.7,0.8889,8.89,False
52w_high_breakout,r_multiple_3r,9,0.2222,0.8556,-0.5752,-5.1765,-23.4855,10.0,0.8889,8.89,False
52w_high_breakout,trailing_10pct,9,0.1111,0.2239,-4.8273,-43.4459,-35.3216,16.7,0.8889,4.44,False
52w_high_breakout,atr_trail_vix_conditional,9,0.1111,0.0282,-4.24,-38.1604,-39.268,4.2,0.8889,4.44,False
52w_high_breakout,trailing_15pct,9,0.1111,0.0828,-7.7366,-69.6295,-60.147,29.8,0.8889,4.44,False
52w_high_breakout,fixed_4r_2r,9,0.1111,0.0885,-9.1519,-82.3672,-78.2429,16.9,0.8889,4.44,False
52w_high_breakout,time_stop_20d,9,0.1111,0.0105,-14.0366,-126.3298,-119.478,25.2,1.0,4.44,False
52w_high_breakout,breakeven_plus_trail,9,0.1111,0.2735,-3.6995,-33.2952,-33.2952,18.2,0.7778,4.44,False
52w_high_breakout,regime_flip,9,0.1111,0.0105,-14.0366,-126.3298,-119.478,25.2,1.0,4.44,False
52w_high_breakout,break_even_at_1r,9,0.0,0.0,-2.8218,-25.3961,-25.3961,6.7,0.8889,0.0,False
52w_high_breakout_pullback_long,earnings_blackout,8,0.75,65.358,80.6728,645.3821,-5.0195,383.4,0.0,82.47,False
52w_high_breakout_pullback_long,time_stop_10d,8,0.75,0.505,-2.5294,-20.2354,-40.8779,14.9,1.0,30.0,True
52w_high_breakout_pullback_long,multi_tier_partial,8,0.375,0.5996,-0.8392,-6.7133,-10.7661,7.1,1.0,28.85,False
52w_high_breakout_pullback_long,smc_mitigation_zone,8,0.25,0.5809,-0.7151,-5.7207,-7.9453,5.5,0.875,28.08,False
52w_high_breakout_pullback_long,hybrid_50pct_target,8,0.625,0.7346,-0.9954,-7.9629,-20.0,12.9,0.875,25.0,False
52w_high_breakout_pullback_long,r_multiple_3r,8,0.375,0.8701,-0.3545,-2.8358,-15.8324,7.8,0.875,21.25,False
