strategy_name,direction,category,n_fires,class,fired_regimes,regime_affinity,disabled_flag,exploratory_flag,producer_signals,root_cause_hypothesis,notes
52w_low_breakdown,dual,unknown,0,SILENT,,"bear,crisis,neutral",False,False,"break_52w_low,close_below_open,close_in_bottom_40pct_of_range,sector_underperforming_spy,vol_spike_17x",GATE_STACK_TOO_TIGHT_5_signals,
52wh_break_retest,dual,unknown,0,SILENT,,,False,False,"above_avwap_20low,close_above_open,close_in_top_40pct_of_range,near_52w_high,price_above_ema_200,vol_below_avg,year_high_break_retest_long",GATE_STACK_TOO_TIGHT_7_signals,
52wl_break_retest_short,short,unknown,0,SILENT,,,False,False,"above_avwap_20high,below_avwap_20high,below_ema_200,close_below_open,close_in_bottom_40pct_of_range,near_52w_low,price_above_ema_200,vol_below_avg,year_low_break_retest_short",GATE_STACK_TOO_TIGHT_9_signals,
avwap_20high_rejection_short,short,unknown,0,SILENT,,"bear,crisis,neutral",False,False,"above_avwap_20high,bearish_engulfing,below_ema_200,pct_from_avwap_20high,shooting_star,vol_spike_15x",GATE_STACK_TOO_TIGHT_6_signals,
bb_squeeze_volume,dual,unknown,0,SILENT,,,False,False,"above_vwap,below_vwap,squeeze_fire_dn,squeeze_fire_up,vol_spike_2x",GATE_STACK_TOO_TIGHT_5_signals,
classification_change_breakout_long,long,unknown,0,SILENT,,,False,True,"classification_changed_recent,days_since_classification_change,new_sector,price_above_ema_200,resistance_break_retest",EXPLORATORY_INTENTIONAL,
classification_change_from_tech_short,short,unknown,0,SILENT,,,False,True,"below_ema_200,classification_change_from_tech,new_sector,prior_sector",EXPLORATORY_INTENTIONAL,
classification_change_momentum_long,long,unknown,0,SILENT,,,False,True,"classification_changed_recent,macd_12_26_9_bullish,price_above_ema_50",EXPLORATORY_INTENTIONAL,
classification_change_oversold_long,long,unknown,0,SILENT,,,False,True,"classification_changed_recent,price_above_ema_200,rsi_14",EXPLORATORY_INTENTIONAL,
classification_change_recent_long,long,unknown,0,SILENT,,,False,True,"classification_changed_recent,days_since_classification_change,new_sector,price_above_ema_200,prior_sector",EXPLORATORY_INTENTIONAL,
