strategy,sector,sector_criteria,direction_mix,total_trades,win_rate,win_rate_ci_low,win_rate_ci_high,statistically_random,profit_factor,expected_value,win_loss_ratio,avg_win_pct,avg_loss_pct,max_drawdown_pct,total_roi_pct,sharpe_ratio,sharpe_daily,sortino_ratio,deflated_sharpe,psr,psr_note,tiered_min_trades,meets_tiered_min,pct_trades_near_event,pct_trades_near_fomc,pct_trades_near_cpi,pct_trades_near_nfp,win_rate_near_event,win_rate_far_from_event,win_rate_event_delta,event_wr_note,adf_statistic,adf_p_value,is_stationary,adf_note,chow_f_statistic,chow_p_value,has_structural_break,chow_note,sharpe_at_0bps,sharpe_at_5bps,sharpe_at_10bps,sharpe_at_20bps,avg_aep_pct,n_aep_eligible,poor_exit_timing,aep_note,calmar_ratio,kelly,avg_hold_days,best_trade_pct,worst_trade_pct,smart_money_lift,macro_correlation,criterion_evaluable,regimes_profitable,regime_verdicts,best_regimes,passes_all,audit_flags,category,spy_benchmark_return,vs_benchmark,beats_benchmark,regime_bear_correction_2022,regime_rate_rising_2022_2023,regime_strong_bull_2023,regime_rate_falling_2024,regime_ai_sector_bull_2024,regime_tariff_shock_2025,regime_ai_divergence_2025_2026,regime_covid_crisis_2020
smc_breaker_block_long,Broad Market,medium_volatility,3L/0S,3,1.0,0.4385,1.0,True,inf,7.0369,999.0,7.0369,0.0,0.0,21.1108,4.656,54.571,999.0,,,insufficient_sample,100,False,66.67,33.33,0.0,33.33,,,,insufficient_sample,,,,insufficient_sample,,,,insufficient_sample,4.656,4.623,4.59,4.523,0.3793,3,False,ok,0.0,"{'full_kelly_pct': 0.0, 'quarter_kelly_pct': 0.0, 'note': 'insufficient_data'}",152.7,9.0611,5.1893,,,"{'smart_money_lift': {'evaluable': False, 'n_with_signal': 1, 'n_without_signal': 2, 'min_required_each': 30, 'blocked_reason': 'smart_money_score>=2 sample n=1<30'}, 'macro_correlation': {'evaluable': False, 'n_favorable': 0, 'n_unfavorable': 2, 'min_required_each': 20, 'blocked_reason': 'macro_score>=2 sample n=0<20'}}",0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,"['win_rate_100.0pct_exceeds_audit_threshold', 'profit_factor_inf_exceeds_audit_threshold', 'ci_lower_43.9pct_may_be_random']",smc,7.1,14.0108,True,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
inside_bar_breakout,Broad Market,medium_volatility,1L/0S,1,1.0,0.2065,1.0,True,inf,10.781,999.0,10.781,0.0,0.0,10.781,,0.0,999.0,,,insufficient_sample,300,False,100.0,0.0,0.0,100.0,,,,insufficient_sample,,,,insufficient_sample,,,,insufficient_sample,,,,,0.137,1,False,ok,0.0,"{'full_kelly_pct': 0.0, 'quarter_kelly_pct': 0.0, 'note': 'insufficient_data'}",86.0,10.781,10.781,,,"{'smart_money_lift': {'evaluable': False, 'n_with_signal': 0, 'n_without_signal': 1, 'min_required_each': 30, 'blocked_reason': 'smart_money_score>=2 sample n=0<30'}, 'macro_correlation': {'evaluable': False, 'n_favorable': 0, 'n_unfavorable': 1, 'min_required_each': 20, 'blocked_reason': 'macro_score>=2 sample n=0<20'}}",0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,"['win_rate_100.0pct_exceeds_audit_threshold', 'profit_factor_inf_exceeds_audit_threshold', 'ci_lower_20.6pct_may_be_random']",breakout,7.1,3.681,True,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
smc_inverse_fvg,Consumer Discretionary,medium_volatility,1L/0S,1,1.0,0.2065,1.0,True,inf,15.1639,999.0,15.1639,0.0,0.0,15.1639,,0.0,999.0,,,insufficient_sample,100,False,0.0,0.0,0.0,0.0,,,,insufficient_sample,,,,insufficient_sample,,,,insufficient_sample,,,,,0.2047,1,False,ok,0.0,"{'full_kelly_pct': 0.0, 'quarter_kelly_pct': 0.0, 'note': 'insufficient_data'}",74.0,15.1639,15.1639,,,"{'smart_money_lift': {'evaluable': False, 'n_with_signal': 0, 'n_without_signal': 1, 'min_required_each': 30, 'blocked_reason': 'smart_money_score>=2 sample n=0<30'}, 'macro_correlation': {'evaluable': False, 'n_favorable': 0, 'n_unfavorable': 0, 'min_required_each': 20, 'blocked_reason': 'macro_score>=2 sample n=0<20'}}",0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,"['win_rate_100.0pct_exceeds_audit_threshold', 'profit_factor_inf_exceeds_audit_threshold', 'ci_lower_20.6pct_may_be_random']",smc,7.1,8.0639,True,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
xs_momentum_quality_combined,Information Technology,high_volatility,1L/0S,1,1.0,0.2065,1.0,True,inf,2.0017,999.0,2.0017,0.0,0.0,2.0017,,0.0,999.0,,,insufficient_sample,100,False,0.0,0.0,0.0,0.0,,,,insufficient_sample,,,,insufficient_sample,,,,insufficient_sample,,,,,0.5522,1,True,ok,0.0,"{'full_kelly_pct': 0.0, 'quarter_kelly_pct': 0.0, 'note': 'insufficient_data'}",32.0,2.0017,2.0017,,,"{'smart_money_lift': {'evaluable': False, 'n_with_signal': 0, 'n_without_signal': 1, 'min_required_each': 30, 'blocked_reason': 'smart_money_score>=2 sample n=0<30'}, 'macro_correlation': {'evaluable': False, 'n_favorable': 1, 'n_unfavorable': 0, 'min_required_each': 20, 'blocked_reason': 'macro_score>=2 sample n=1<20'}}",0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,"['win_rate_100.0pct_exceeds_audit_threshold', 'profit_factor_inf_exceeds_audit_threshold', 'ci_lower_20.6pct_may_be_random']",factor,7.1,-5.0983,False,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
pivot_s1_bounce,Information Technology,high_volatility,1L/0S,1,1.0,0.2065,1.0,True,inf,0.6321,999.0,0.6321,0.0,0.0,0.6321,,0.0,999.0,,,insufficient_sample,150,False,0.0,0.0,0.0,0.0,,,,insufficient_sample,,,,insufficient_sample,,,,insufficient_sample,,,,,0.8689,1,True,ok,0.0,"{'full_kelly_pct': 0.0, 'quarter_kelly_pct': 0.0, 'note': 'insufficient_data'}",25.0,0.6321,0.6321,,,"{'smart_money_lift': {'evaluable': False, 'n_with_signal': 0, 'n_without_signal': 1, 'min_required_each': 30, 'blocked_reason': 'smart_money_score>=2 sample n=0<30'}, 'macro_correlation': {'evaluable': False, 'n_favorable': 0, 'n_unfavorable': 0, 'min_required_each': 20, 'blocked_reason': 'macro_score>=2 sample n=0<20'}}",0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,"['win_rate_100.0pct_exceeds_audit_threshold', 'profit_factor_inf_exceeds_audit_threshold', 'ci_lower_20.6pct_may_be_random']",pivot,7.1,-6.4679,False,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
pead_long_high_yoy_growth_only,Information Technology,high_volatility,3L/0S,3,0.6667,0.2077,0.9385,True,0.9875,-0.0436,0.4938,5.1658,-10.4625,0.0,-0.1308,-0.014,-0.085,-0.012,,,insufficient_sample,60,False,33.33,33.33,0.0,0.0,,,,insufficient_sample,,,,insufficient_sample,,,,insufficient_sample,-0.014,-0.03,-0.046,-0.078,0.3616,2,False,ok,0.0,"{'full_kelly_pct': -0.84, 'quarter_kelly_pct': 0.0, 'note': 'negative_edge'}",30.0,5.3508,-10.4625,,,"{'smart_money_lift': {'evaluable': False, 'n_with_signal': 1, 'n_without_signal': 2, 'min_required_each': 30, 'blocked_reason': 'smart_money_score>=2 sample n=1<30'}, 'macro_correlation': {'evaluable': False, 'n_favorable': 1, 'n_unfavorable': 1, 'min_required_each': 20, 'blocked_reason': 'macro_score>=2 sample n=1<20'}}",0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,"['win_rate_66.7pct_exceeds_audit_threshold', 'ci_lower_20.8pct_may_be_random']",event_driven,7.1,-7.2308,False,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
williams_r_oversold,Information Technology,high_volatility,3L/0S,3,0.6667,0.2077,0.9385,True,0.8624,-0.4956,0.4312,4.6606,-10.8078,0.0,-1.4867,-0.118,-1.403,-0.102,,,insufficient_sample,300,False,66.67,33.33,33.33,0.0,,,,insufficient_sample,,,,insufficient_sample,,,,insufficient_sample,-0.118,-0.13,-0.142,-0.166,0.2828,2,False,ok,0.0,"{'full_kelly_pct': -10.63, 'quarter_kelly_pct': 0.0, 'note': 'negative_edge'}",51.3,7.2427,-10.8078,,,"{'smart_money_lift': {'evaluable': False, 'n_with_signal': 0, 'n_without_signal': 3, 'min_required_each': 30, 'blocked_reason': 'smart_money_score>=2 sample n=0<30'}, 'macro_correlation': {'evaluable': False, 'n_favorable': 0, 'n_unfavorable': 3, 'min_required_each': 20, 'blocked_reason': 'macro_score>=2 sample n=0<20'}}",0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,"['win_rate_66.7pct_exceeds_audit_threshold', 'ci_lower_20.8pct_may_be_random']",momentum,7.1,-8.5867,False,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
stochrsi_oversold,Consumer Discretionary,medium_volatility,2L/0S,2,0.5,0.0945,0.9055,True,4.9921,2.0559,4.9921,5.1418,-1.03,0.0,4.1118,0.74,25.943,3.137,,,insufficient_sample,300,False,100.0,50.0,50.0,0.0,,,,insufficient_sample,,,,insufficient_sample,,,,insufficient_sample,0.74,0.722,0.704,0.668,0.313,1,False,ok,0.0,"{'full_kelly_pct': 39.98, 'quarter_kelly_pct': 10.0, 'note': 'tier_may_be_undersizing'}",102.0,5.1418,-1.03,,,"{'smart_money_lift': {'evaluable': False, 'n_with_signal': 2, 'n_without_signal': 0, 'min_required_each': 30, 'blocked_reason': 'smart_money_score>=2 sample n=2<30'}, 'macro_correlation': {'evaluable': False, 'n_favorable': 0, 'n_unfavorable': 2, 'min_required_each': 20, 'blocked_reason': 'macro_score>=2 sample n=0<20'}}",0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,"['profit_factor_4.99_exceeds_audit_threshold', 'ci_lower_9.4pct_may_be_random']",momentum,7.1,-2.9882,False,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
pairs_mean_reversion_long,Information Technology,high_volatility,6L/0S,6,0.5,0.1876,0.8124,True,3.234,2.0746,3.234,6.0064,-1.8573,-4.9993,12.4474,0.839,8.699,2.782,,,insufficient_sample,100,False,50.0,0.0,50.0,0.0,0.0,1.0,-1.0,small_subgroup,,,,insufficient_sample,,,,insufficient_sample,0.839,0.818,0.798,0.758,0.3721,3,False,ok,1.71,"{'full_kelly_pct': 34.54, 'quarter_kelly_pct': 8.63, 'note': 'tier_may_be_undersizing'}",61.2,10.0755,-3.4998,,,"{'smart_money_lift': {'evaluable': False, 'n_with_signal': 1, 'n_without_signal': 5, 'min_required_each': 30, 'blocked_reason': 'smart_money_score>=2 sample n=1<30'}, 'macro_correlation': {'evaluable': False, 'n_favorable': 2, 'n_unfavorable': 2, 'min_required_each': 20, 'blocked_reason': 'macro_score>=2 sample n=2<20'}}",0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,"['profit_factor_3.23_exceeds_audit_threshold', 'ci_lower_18.8pct_may_be_random']",pairs,7.1,5.3474,True,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
cmf_flip,Consumer Discretionary,medium_volatility,2L/2S,4,0.5,0.15,0.85,True,1.5916,2.4049,1.5916,12.94,-8.1302,-5.9604,9.6197,0.364,1.967,1.523,,,insufficient_sample,300,False,75.0,0.0,50.0,25.0,,,,insufficient_sample,,,,insufficient_sample,,,,insufficient_sample,0.364,0.356,0.349,0.334,0.1714,2,False,ok,1.523,"{'full_kelly_pct': 18.59, 'quarter_kelly_pct': 4.65, 'note': 'reasonable'}",66.8,17.4845,-10.2999,,,"{'smart_money_lift': {'evaluable': False, 'n_with_signal': 2, 'n_without_signal': 2, 'min_required_each': 30, 'blocked_reason': 'smart_money_score>=2 sample n=2<30'}, 'macro_correlation': {'evaluable': False, 'n_favorable': 0, 'n_unfavorable': 1, 'min_required_each': 20, 'blocked_reason': 'macro_score>=2 sample n=0<20'}}",0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,"['profit_factor_1.59_exceeds_audit_threshold', 'ci_lower_15.0pct_may_be_random']",mean_reversion,7.1,2.5197,True,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
