strategy,sharpe_adj,win_rate_adj,profit_factor_adj,haircut_pct_applied
smc_breaker_block_long,0.0,0.9,inf,0.2
inside_bar_breakout,0.0,0.8,inf,0.4
squeeze_breakout,0.0,0.8,inf,0.4
mmbm_long,0.0,0.9,inf,0.2
xs_momentum_quality_combined,0.0,0.8,inf,0.4
parabolic_sar_flip,0.0,0.9,inf,0.2
williams_r_oversold,0.0,0.675,1.6318000000000001,0.2
po3_bullish,0.0,0.60003,1.28404,0.2
pairs_mean_reversion_long,0.0,0.4,2.7872000000000003,0.4
cmf_flip,0.0,0.45,1.5324399999999998,0.2
pead_long_high_yoy_growth_only,0.0,0.45,0.5114,0.2
naked_poc_retest_long,0.0,0.29997,1.35073,0.2
stochrsi_oversold,0.0,0.0,0.0,0.4
mmsm_short,0.0,0.0,0.0,0.2
cpr_narrow_momentum_short,0.0,0.0,0.0,0.4
tema_dema,0.0,0.0,0.0,0.2
pairs_mean_reversion_short,0.0,0.0,0.0,0.4
morning_star,0.0,0.0,0.0,0.2
prev_day_low_bounce,0.0,0.0,0.0,0.2
week_opening_gap_fill_up,0.0,0.0,0.0,0.2
macd_crossover,0.0,0.0,0.0,0.4
macd_fast_crossover,0.0,0.0,0.0,0.4
ppo_crossover,0.0,0.0,0.0,0.2
donchian_breakdown_retest_short,0.0,0.0,0.0,0.2
stochrsi_overbought_short,0.0,0.0,0.0,0.4
r1_break_retest,0.0,0.0,0.0,0.2
supertrend_macd,0.0,0.0,0.0,0.4
donchian_10_breakout,0.0,0.0,0.0,0.4
three_black_crows_short,0.0,0.0,0.0,0.2
