strategy,exit_method,vol_band,n,win_rate,avg_pnl_pct,total_pnl_pct
mmsm_short,atr_trail_1x,low_lt_15,4,0.25,-0.08944999999999999,-0.35779999999999995
mmsm_short,atr_trail_1x,mid_15_25,1,0.0,-0.4402,-0.4402
mmsm_short,atr_trail_2x,low_lt_15,4,0.25,-0.2241749999999999,-0.8966999999999996
mmsm_short,atr_trail_2x,mid_15_25,1,0.0,-2.2154,-2.2154
mmsm_short,atr_trail_mae_conditional,low_lt_15,4,0.25,-0.08944999999999999,-0.35779999999999995
mmsm_short,atr_trail_mae_conditional,mid_15_25,1,0.0,-0.4402,-0.4402
mmsm_short,atr_trail_vix_conditional,low_lt_15,4,0.25,-0.041150000000000006,-0.16460000000000002
mmsm_short,atr_trail_vix_conditional,mid_15_25,1,1.0,0.1176,0.1176
mmsm_short,break_even_at_1r,low_lt_15,4,0.25,-0.225525,-0.9021
mmsm_short,break_even_at_1r,mid_15_25,1,0.0,0.0,0.0
mmsm_short,breakeven_plus_trail,low_lt_15,4,0.25,-1.59415,-6.3766
mmsm_short,breakeven_plus_trail,mid_15_25,1,0.0,0.0,0.0
mmsm_short,chandelier_3x,low_lt_15,4,0.0,-0.262025,-1.0481
mmsm_short,chandelier_3x,mid_15_25,1,0.0,-0.2085,-0.2085
mmsm_short,class_time_stop,low_lt_15,4,0.5,0.017199999999999993,0.06879999999999997
mmsm_short,class_time_stop,mid_15_25,1,1.0,0.463,0.463
mmsm_short,earnings_blackout,low_lt_15,4,0.25,-2.6868,-10.7472
mmsm_short,earnings_blackout,mid_15_25,1,0.0,-5.924,-5.924
mmsm_short,fixed_4r_2r,low_lt_15,4,0.25,-0.8279249999999999,-3.3116999999999996
mmsm_short,fixed_4r_2r,mid_15_25,1,0.0,-4.9121,-4.9121
mmsm_short,hybrid_50pct_target,low_lt_15,4,0.75,1.4415499999999999,5.7661999999999995
mmsm_short,hybrid_50pct_target,mid_15_25,1,1.0,3.6841,3.6841
mmsm_short,ma_exit_ema9,low_lt_15,4,0.5,-0.04755000000000001,-0.19020000000000004
mmsm_short,ma_exit_ema9,mid_15_25,1,1.0,1.0354,1.0354
mmsm_short,mfe_lockin_trail,low_lt_15,4,0.25,0.03382499999999995,0.1352999999999998
mmsm_short,mfe_lockin_trail,mid_15_25,1,0.0,-0.4402,-0.4402
mmsm_short,multi_tier_partial,low_lt_15,4,0.75,0.4084,1.6336
mmsm_short,multi_tier_partial,mid_15_25,1,0.0,-0.4402,-0.4402
mmsm_short,next_pivot_target,low_lt_15,4,1.0,0.69075,2.763
mmsm_short,next_pivot_target,mid_15_25,1,1.0,0.7021,0.7021
mmsm_short,r_multiple_2r,low_lt_15,4,0.25,-0.64815,-2.5926
mmsm_short,r_multiple_2r,mid_15_25,1,0.0,-2.4561,-2.4561
mmsm_short,r_multiple_3r,low_lt_15,4,0.25,-0.40670000000000006,-1.6268000000000002
mmsm_short,r_multiple_3r,mid_15_25,1,0.0,-2.4561,-2.4561
mmsm_short,regime_flip,low_lt_15,4,0.5,1.0717249999999998,4.286899999999999
mmsm_short,regime_flip,mid_15_25,1,0.0,-3.215,-3.215
mmsm_short,reverse_signal,low_lt_15,4,0.25,-0.08944999999999999,-0.35779999999999995
mmsm_short,reverse_signal,mid_15_25,1,0.0,-0.4402,-0.4402
mmsm_short,smart_money_reversal,low_lt_15,4,0.25,-0.08944999999999999,-0.35779999999999995
mmsm_short,smart_money_reversal,mid_15_25,1,0.0,-0.4402,-0.4402
mmsm_short,smc_mitigation_zone,low_lt_15,4,0.25,-0.0918,-0.3672
mmsm_short,smc_mitigation_zone,mid_15_25,1,1.0,1.0354,1.0354
mmsm_short,time_stop_10d,low_lt_15,4,0.25,-0.6013,-2.4052
mmsm_short,time_stop_10d,mid_15_25,1,0.0,-1.0097,-1.0097
mmsm_short,time_stop_20d,low_lt_15,4,0.5,1.0717249999999998,4.286899999999999
mmsm_short,time_stop_20d,mid_15_25,1,0.0,-3.215,-3.215
mmsm_short,trailing_10pct,low_lt_15,4,0.25,-2.4079,-9.6316
mmsm_short,trailing_10pct,mid_15_25,1,0.0,-6.9893,-6.9893
mmsm_short,trailing_15pct,low_lt_15,4,0.0,-4.261725,-17.0469
mmsm_short,trailing_15pct,mid_15_25,1,0.0,-7.2102,-7.2102
mmsm_short,trailing_5pct,low_lt_15,4,0.5,1.0043250000000001,4.0173000000000005
mmsm_short,trailing_5pct,mid_15_25,1,0.0,-2.2154,-2.2154
pairs_mean_reversion_long,atr_trail_1x,low_lt_15,5,0.0,-2.6966200000000002,-13.4831
pairs_mean_reversion_long,atr_trail_1x,mid_15_25,1,1.0,4.5637,4.5637
pairs_mean_reversion_long,atr_trail_2x,low_lt_15,5,0.0,-4.17172,-20.8586
pairs_mean_reversion_long,atr_trail_2x,mid_15_25,1,1.0,4.3272,4.3272
pairs_mean_reversion_long,atr_trail_mae_conditional,low_lt_15,5,0.0,-2.6966200000000002,-13.4831
