strategy,exit_method,days_from_quarter_end_at_entry,n,win_rate,avg_pnl_pct,total_pnl_pct
bollinger_lower,atr_trail_1x,0,3,0.0,-2.8463666666666665,-8.5391
bollinger_lower,atr_trail_1x,1,4,0.0,-3.9506,-15.8024
bollinger_lower,atr_trail_1x,2,1,0.0,-4.8424,-4.8424
bollinger_lower,atr_trail_1x,3,2,0.0,-0.6819,-1.3638
bollinger_lower,atr_trail_1x,4,4,0.25,-2.3808749999999996,-9.523499999999999
bollinger_lower,atr_trail_1x,7,4,0.0,-1.83465,-7.3386
bollinger_lower,atr_trail_1x,8,4,0.25,-2.30445,-9.2178
bollinger_lower,atr_trail_1x,9,1,1.0,1.0277,1.0277
bollinger_lower,atr_trail_1x,11,1,0.0,-8.4401,-8.4401
bollinger_lower,atr_trail_1x,12,3,0.6666666666666666,2.5790333333333333,7.7371
bollinger_lower,atr_trail_1x,13,1,1.0,2.7637,2.7637
bollinger_lower,atr_trail_1x,14,10,0.3,-0.7299999999999999,-7.299999999999999
bollinger_lower,atr_trail_1x,16,3,0.0,-7.5214,-22.5642
bollinger_lower,atr_trail_1x,17,7,0.5714285714285714,-0.10239999999999998,-0.7167999999999999
bollinger_lower,atr_trail_1x,18,2,0.0,-11.67855,-23.3571
bollinger_lower,atr_trail_1x,19,2,0.0,-3.8013500000000002,-7.6027000000000005
bollinger_lower,atr_trail_1x,21,3,0.0,-5.0178,-15.0534
bollinger_lower,atr_trail_1x,25,2,0.5,4.53535,9.0707
bollinger_lower,atr_trail_1x,26,1,0.0,-2.7034,-2.7034
bollinger_lower,atr_trail_1x,27,3,0.0,-3.5321666666666665,-10.596499999999999
bollinger_lower,atr_trail_1x,28,3,0.0,-8.160466666666666,-24.4814
bollinger_lower,atr_trail_1x,29,3,0.3333333333333333,-2.2758333333333334,-6.8275
bollinger_lower,atr_trail_1x,30,4,0.5,1.82815,7.3126
bollinger_lower,atr_trail_1x,31,1,0.0,-10.4465,-10.4465
bollinger_lower,atr_trail_1x,32,4,0.5,-0.6978500000000001,-2.7914000000000003
bollinger_lower,atr_trail_1x,33,1,0.0,-2.3454,-2.3454
bollinger_lower,atr_trail_1x,35,2,0.0,-5.1743,-10.3486
bollinger_lower,atr_trail_1x,36,2,0.5,1.9484,3.8968
bollinger_lower,atr_trail_1x,37,2,0.5,2.9463,5.8926
bollinger_lower,atr_trail_1x,38,2,0.5,-1.0698,-2.1396
bollinger_lower,atr_trail_1x,39,2,0.5,-1.2935500000000002,-2.5871000000000004
bollinger_lower,atr_trail_1x,40,1,0.0,-4.1663,-4.1663
bollinger_lower,atr_trail_1x,41,2,1.0,13.70955,27.4191
bollinger_lower,atr_trail_1x,43,3,0.3333333333333333,-1.7526,-5.2578
bollinger_lower,atr_trail_1x,44,3,0.6666666666666666,1.5553333333333337,4.666000000000001
bollinger_lower,atr_trail_1x,45,2,0.0,-6.5827,-13.1654
bollinger_lower,atr_trail_1x,46,1,0.0,-0.9488,-0.9488
bollinger_lower,atr_trail_1x,47,3,0.3333333333333333,-0.5117333333333334,-1.5352000000000001
bollinger_lower,atr_trail_1x,49,4,0.25,-1.6573499999999997,-6.629399999999999
bollinger_lower,atr_trail_1x,50,1,0.0,-14.2438,-14.2438
bollinger_lower,atr_trail_1x,51,1,0.0,-4.9815,-4.9815
bollinger_lower,atr_trail_1x,52,1,0.0,-2.5991,-2.5991
bollinger_lower,atr_trail_1x,53,2,1.0,2.7413,5.4826
bollinger_lower,atr_trail_1x,54,3,1.0,9.010933333333334,27.0328
bollinger_lower,atr_trail_1x,55,3,0.0,-2.2595,-6.7785
bollinger_lower,atr_trail_1x,56,7,0.14285714285714285,-3.973157142857143,-27.8121
bollinger_lower,atr_trail_1x,57,2,0.5,0.6591,1.3182
bollinger_lower,atr_trail_1x,59,2,0.0,-4.3614,-8.7228
bollinger_lower,atr_trail_1x,60,1,0.0,-3.5704,-3.5704
bollinger_lower,atr_trail_1x,61,4,0.25,-2.1228,-8.4912
bollinger_lower,atr_trail_1x,62,1,1.0,1.9666,1.9666
bollinger_lower,atr_trail_1x,63,3,0.0,-3.8221666666666665,-11.4665
bollinger_lower,atr_trail_1x,64,2,0.5,-1.4635000000000002,-2.9270000000000005
bollinger_lower,atr_trail_1x,68,1,1.0,12.3898,12.3898
bollinger_lower,atr_trail_1x,70,2,0.5,0.19389999999999974,0.3877999999999995
