exit_method,regime_at_entry,sector,cap_band,vol_band,hold_duration_band,n,win_rate,avg_pnl_pct,total_pnl_pct,sharpe_proxy
atr_trail_1x,neutral,Communication Services,unknown,crisis_atr_ge_5pct,medium_4_10d,5,0.0,-6.779120000000001,-33.8956,-4.471603373852884
atr_trail_1x,neutral,Communication Services,unknown,high_atr_2.5_5pct,long_ge_11d,10,0.0,-2.25462,-22.5462,-4.579147892966311
atr_trail_1x,neutral,Communication Services,unknown,mid_atr_1_2.5pct,long_ge_11d,7,0.2857142857142857,0.3645571428571429,2.5519000000000003,0.2963432766027288
atr_trail_1x,neutral,Consumer Discretionary,unknown,crisis_atr_ge_5pct,long_ge_11d,11,0.36363636363636365,4.029009090909091,44.3191,0.9262849453255008
atr_trail_1x,neutral,Consumer Discretionary,unknown,high_atr_2.5_5pct,long_ge_11d,12,0.4166666666666667,0.4480833333333332,5.376999999999999,0.37986642092794326
atr_trail_1x,neutral,Consumer Staples,unknown,high_atr_2.5_5pct,long_ge_11d,9,0.2222222222222222,-1.1464222222222222,-10.3178,-1.0484472783336611
atr_trail_1x,neutral,Energy,unknown,crisis_atr_ge_5pct,long_ge_11d,6,0.8333333333333334,2.51905,15.1143,1.0368878808976185
atr_trail_1x,neutral,Energy,unknown,high_atr_2.5_5pct,long_ge_11d,17,0.23529411764705882,-1.7616411764705884,-29.9479,-2.8631001239170524
atr_trail_1x,neutral,Financials,unknown,crisis_atr_ge_5pct,long_ge_11d,7,0.5714285714285714,1.9125142857142858,13.3876,0.9150833428153997
atr_trail_1x,neutral,Financials,unknown,crisis_atr_ge_5pct,medium_4_10d,6,0.3333333333333333,-3.725383333333333,-22.352299999999996,-1.0871355007187073
atr_trail_1x,neutral,Financials,unknown,high_atr_2.5_5pct,long_ge_11d,22,0.2727272727272727,0.12456818181818187,2.7405000000000013,0.1434354875694526
atr_trail_1x,neutral,Financials,unknown,mid_atr_1_2.5pct,long_ge_11d,11,0.36363636363636365,-0.7098636363636364,-7.8085,-1.642507401406457
atr_trail_1x,neutral,Health Care,unknown,crisis_atr_ge_5pct,long_ge_11d,21,0.5238095238095238,3.6855238095238088,77.39599999999999,1.3814117418948393
atr_trail_1x,neutral,Health Care,unknown,crisis_atr_ge_5pct,medium_4_10d,21,0.19047619047619047,-3.071552380952381,-64.5026,-1.986304035257125
atr_trail_1x,neutral,Health Care,unknown,crisis_atr_ge_5pct,short_le_3d,11,0.09090909090909091,-5.530972727272727,-60.8407,-3.6280836509329517
atr_trail_1x,neutral,Health Care,unknown,high_atr_2.5_5pct,long_ge_11d,30,0.26666666666666666,-1.26851,-38.0553,-3.0629025433399377
atr_trail_1x,neutral,Health Care,unknown,mid_atr_1_2.5pct,long_ge_11d,11,0.36363636363636365,-0.1529090909090909,-1.6820000000000002,-0.2346677339837376
atr_trail_1x,neutral,Industrials,unknown,crisis_atr_ge_5pct,long_ge_11d,17,0.35294117647058826,-0.22072941176470595,-3.752400000000001,-0.11625148808673602
atr_trail_1x,neutral,Industrials,unknown,crisis_atr_ge_5pct,medium_4_10d,8,0.125,-3.1465,-25.172,-2.5026668168597124
atr_trail_1x,neutral,Industrials,unknown,high_atr_2.5_5pct,long_ge_11d,34,0.17647058823529413,-1.5663205882352942,-53.2549,-3.9761333928083467
atr_trail_1x,neutral,Industrials,unknown,high_atr_2.5_5pct,medium_4_10d,5,0.2,-1.42264,-7.1132,-1.6795091309618342
atr_trail_1x,neutral,Industrials,unknown,mid_atr_1_2.5pct,long_ge_11d,14,0.21428571428571427,-0.5027857142857143,-7.039,-1.4922711298503972
atr_trail_1x,neutral,Information Technology,unknown,crisis_atr_ge_5pct,long_ge_11d,21,0.3333333333333333,-1.0217952380952382,-21.457700000000003,-0.8890082797158859
atr_trail_1x,neutral,Information Technology,unknown,crisis_atr_ge_5pct,medium_4_10d,19,0.3157894736842105,-2.8685894736842106,-54.5032,-1.1992906051893868
atr_trail_1x,neutral,Information Technology,unknown,high_atr_2.5_5pct,long_ge_11d,29,0.3448275862068966,-1.2355655172413793,-35.8314,-2.180409255544958
atr_trail_1x,neutral,Information Technology,unknown,high_atr_2.5_5pct,medium_4_10d,5,0.0,-3.5853200000000003,-17.9266,-4.834200431791784
atr_trail_1x,neutral,Information Technology,unknown,mid_atr_1_2.5pct,long_ge_11d,5,0.2,-1.00778,-5.0389,-1.7101427398190068
atr_trail_1x,neutral,Materials,unknown,crisis_atr_ge_5pct,long_ge_11d,5,0.6,1.90882,9.5441,0.7396708166046253
atr_trail_1x,neutral,Materials,unknown,crisis_atr_ge_5pct,medium_4_10d,8,0.25,-3.4525125,-27.6201,-1.3192211016653548
atr_trail_1x,neutral,Materials,unknown,high_atr_2.5_5pct,long_ge_11d,10,0.2,-2.07553,-20.755300000000002,-3.802876331997424
atr_trail_1x,neutral,Real Estate,unknown,high_atr_2.5_5pct,long_ge_11d,13,0.46153846153846156,0.11240769230769236,1.4613000000000007,0.14046587735137625
atr_trail_1x,neutral,Unknown,unknown,crisis_atr_ge_5pct,long_ge_11d,5,0.4,-0.4237000000000001,-2.1185000000000005,-0.16119871277137582
atr_trail_1x,neutral,Unknown,unknown,high_atr_2.5_5pct,long_ge_11d,6,0.3333333333333333,-0.0642500000000001,-0.3855000000000006,-0.02803100490110806
atr_trail_1x,neutral,Utilities,unknown,high_atr_2.5_5pct,long_ge_11d,5,0.4,-0.3119200000000001,-1.5596000000000005,-0.17971663493078438
atr_trail_1x,neutral,Utilities,unknown,mid_atr_1_2.5pct,long_ge_11d,8,0.125,-1.3186625,-10.5493,-3.8661828741141084
atr_trail_2x,neutral,Communication Services,unknown,crisis_atr_ge_5pct,medium_4_10d,5,0.0,-13.08884,-65.4442,-5.483432228997617
atr_trail_2x,neutral,Communication Services,unknown,high_atr_2.5_5pct,long_ge_11d,10,0.2,-2.0865,-20.865000000000002,-1.2715340571020834
atr_trail_2x,neutral,Communication Services,unknown,mid_atr_1_2.5pct,long_ge_11d,7,0.2857142857142857,-0.7545714285714286,-5.282,-0.5596784385249559
atr_trail_2x,neutral,Consumer Discretionary,unknown,crisis_atr_ge_5pct,long_ge_11d,11,0.5454545454545454,11.813554545454544,129.9491,1.3318634709435861
atr_trail_2x,neutral,Consumer Discretionary,unknown,high_atr_2.5_5pct,long_ge_11d,12,0.6666666666666666,3.926725,47.1207,1.6675250738986125
atr_trail_2x,neutral,Consumer Staples,unknown,high_atr_2.5_5pct,long_ge_11d,9,0.4444444444444444,-0.40293333333333337,-3.6264000000000003,-0.12405572272088813
atr_trail_2x,neutral,Energy,unknown,crisis_atr_ge_5pct,long_ge_11d,6,0.6666666666666666,5.8292166666666665,34.9753,1.3364726879675426
atr_trail_2x,neutral,Energy,unknown,high_atr_2.5_5pct,long_ge_11d,17,0.29411764705882354,-0.4404588235294118,-7.4878,-0.18428296153753498
atr_trail_2x,neutral,Financials,unknown,crisis_atr_ge_5pct,long_ge_11d,7,0.8571428571428571,6.669828571428572,46.6888,1.7838417136733264
atr_trail_2x,neutral,Financials,unknown,crisis_atr_ge_5pct,medium_4_10d,6,0.3333333333333333,6.715733333333333,40.294399999999996,0.32545986315238273
atr_trail_2x,neutral,Financials,unknown,high_atr_2.5_5pct,long_ge_11d,22,0.5909090909090909,3.9697227272727273,87.3339,1.6833356116744715
atr_trail_2x,neutral,Financials,unknown,mid_atr_1_2.5pct,long_ge_11d,11,0.6363636363636364,-0.5009181818181818,-5.5100999999999996,-0.5983932706271144
atr_trail_2x,neutral,Health Care,unknown,crisis_atr_ge_5pct,long_ge_11d,21,0.6190476190476191,22.47417142857143,471.9576,2.8315160320838078
atr_trail_2x,neutral,Health Care,unknown,crisis_atr_ge_5pct,medium_4_10d,21,0.3333333333333333,0.6033857142857144,12.671100000000003,0.09967875116076712
atr_trail_2x,neutral,Health Care,unknown,crisis_atr_ge_5pct,short_le_3d,11,0.2727272727272727,-4.919063636363637,-54.109700000000004,-1.1103683358215326
atr_trail_2x,neutral,Health Care,unknown,high_atr_2.5_5pct,long_ge_11d,30,0.4666666666666667,-0.1920899999999999,-5.762699999999997,-0.1668560562305124
atr_trail_2x,neutral,Health Care,unknown,mid_atr_1_2.5pct,long_ge_11d,11,0.36363636363636365,-0.011909090909090848,-0.13099999999999934,-0.00914107079142687
atr_trail_2x,neutral,Industrials,unknown,crisis_atr_ge_5pct,long_ge_11d,17,0.4117647058823529,0.9628176470588239,16.367900000000006,0.21554689504279284
atr_trail_2x,neutral,Industrials,unknown,crisis_atr_ge_5pct,medium_4_10d,8,0.0,-9.1703,-73.3624,-5.327067804785493
atr_trail_2x,neutral,Industrials,unknown,high_atr_2.5_5pct,long_ge_11d,34,0.47058823529411764,-0.4467294117647059,-15.1888,-0.4842309457777483
atr_trail_2x,neutral,Industrials,unknown,high_atr_2.5_5pct,medium_4_10d,5,0.0,-5.1748400000000006,-25.874200000000002,-5.45074854270194
atr_trail_2x,neutral,Industrials,unknown,mid_atr_1_2.5pct,long_ge_11d,14,0.35714285714285715,-0.6735928571428571,-9.430299999999999,-1.0496462460178138
atr_trail_2x,neutral,Information Technology,unknown,crisis_atr_ge_5pct,long_ge_11d,21,0.6190476190476191,6.286385714285715,132.0141,1.7882020913989418
atr_trail_2x,neutral,Information Technology,unknown,crisis_atr_ge_5pct,medium_4_10d,19,0.3684210526315789,-0.014952631578947299,-0.2840999999999987,-0.0027261693515039146
atr_trail_2x,neutral,Information Technology,unknown,high_atr_2.5_5pct,long_ge_11d,29,0.41379310344827586,-0.05058965517241374,-1.4670999999999985,-0.034532165522497583
atr_trail_2x,neutral,Information Technology,unknown,high_atr_2.5_5pct,medium_4_10d,5,0.0,-7.572159999999999,-37.8608,-7.621723385974412
atr_trail_2x,neutral,Information Technology,unknown,mid_atr_1_2.5pct,long_ge_11d,5,0.2,-2.40826,-12.0413,-1.9706886085598785
atr_trail_2x,neutral,Materials,unknown,crisis_atr_ge_5pct,long_ge_11d,5,0.6,10.90418,54.5209,1.3050948351396556
atr_trail_2x,neutral,Materials,unknown,crisis_atr_ge_5pct,medium_4_10d,8,0.375,-5.293825,-42.3506,-1.340116541364657
atr_trail_2x,neutral,Materials,unknown,high_atr_2.5_5pct,long_ge_11d,10,0.2,3.4942,34.942,0.6470797175490625
atr_trail_2x,neutral,Real Estate,unknown,high_atr_2.5_5pct,long_ge_11d,13,0.46153846153846156,0.9055769230769232,11.7725,0.627246076751226
atr_trail_2x,neutral,Unknown,unknown,crisis_atr_ge_5pct,long_ge_11d,5,0.6,7.518459999999999,37.592299999999994,0.5892611250498025
atr_trail_2x,neutral,Unknown,unknown,high_atr_2.5_5pct,long_ge_11d,6,0.5,-1.5847499999999999,-9.5085,-0.7185743666446871
atr_trail_2x,neutral,Utilities,unknown,high_atr_2.5_5pct,long_ge_11d,5,0.6,1.2092600000000002,6.046300000000001,0.3730289502647197
atr_trail_2x,neutral,Utilities,unknown,mid_atr_1_2.5pct,long_ge_11d,8,0.25,-2.05865,-16.4692,-1.7523357711605498
break_even_at_1r,neutral,Communication Services,unknown,crisis_atr_ge_5pct,medium_4_10d,5,0.0,-5.962260000000001,-29.811300000000003,-3.0301225201708575
break_even_at_1r,neutral,Communication Services,unknown,high_atr_2.5_5pct,long_ge_11d,10,0.0,-3.0898899999999996,-30.898899999999998,-5.539143170855003
break_even_at_1r,neutral,Communication Services,unknown,mid_atr_1_2.5pct,long_ge_11d,7,0.14285714285714285,-0.5988,-4.1916,-0.8536551001310281
break_even_at_1r,neutral,Consumer Discretionary,unknown,crisis_atr_ge_5pct,long_ge_11d,11,0.2727272727272727,8.213736363636365,90.3511,1.0722878564890068
break_even_at_1r,neutral,Consumer Discretionary,unknown,high_atr_2.5_5pct,long_ge_11d,12,0.25,3.9919333333333333,47.9032,1.0431012609196504
break_even_at_1r,neutral,Consumer Staples,unknown,high_atr_2.5_5pct,long_ge_11d,9,0.1111111111111111,-1.9232444444444445,-17.3092,-2.46916585783745
break_even_at_1r,neutral,Energy,unknown,crisis_atr_ge_5pct,long_ge_11d,6,0.3333333333333333,3.47305,20.8383,1.0780175127206204
break_even_at_1r,neutral,Energy,unknown,high_atr_2.5_5pct,long_ge_11d,17,0.11764705882352941,-1.4505411764705882,-24.6592,-1.9269878275354446
break_even_at_1r,neutral,Financials,unknown,crisis_atr_ge_5pct,long_ge_11d,7,0.5714285714285714,2.226,15.582,0.7775322019871869
break_even_at_1r,neutral,Financials,unknown,crisis_atr_ge_5pct,medium_4_10d,6,0.3333333333333333,-4.8399833333333335,-29.039900000000003,-1.0092678175184706
break_even_at_1r,neutral,Financials,unknown,high_atr_2.5_5pct,long_ge_11d,22,0.18181818181818182,0.3042636363636364,6.6938,0.28354570817584446
break_even_at_1r,neutral,Financials,unknown,mid_atr_1_2.5pct,long_ge_11d,11,0.0,-1.029209090909091,-11.3213,-3.326742307316765
break_even_at_1r,neutral,Health Care,unknown,crisis_atr_ge_5pct,long_ge_11d,21,0.47619047619047616,13.958271428571427,293.1237,2.056212269450915
break_even_at_1r,neutral,Health Care,unknown,crisis_atr_ge_5pct,medium_4_10d,21,0.19047619047619047,-3.2588809523809523,-68.4365,-1.7097833944864855
break_even_at_1r,neutral,Health Care,unknown,crisis_atr_ge_5pct,short_le_3d,11,0.09090909090909091,-5.530972727272727,-60.8407,-3.6280836509329517
