exit_method,regime_at_entry,sector,cap_band,vol_band,hold_duration_band,total_pnl_pct,runner_up_method,runner_up_metric,edge_over_runner_up,n,n_exits_in_cell,rank_in_cell
breakeven_plus_trail,neutral,Health Care,unknown,mid_atr_1_2.5pct,long_ge_11d,25.9582,hybrid_50pct_target,18.569200000000002,7.388999999999999,11,18,1.0
class_time_stop,neutral,Real Estate,unknown,high_atr_2.5_5pct,long_ge_11d,55.2796,next_pivot_target,52.8083,2.4712999999999994,13,18,1.0
earnings_blackout,neutral,Information Technology,unknown,crisis_atr_ge_5pct,long_ge_11d,2393.3652,fixed_4r_2r,269.9715,2123.3937,21,18,1.0
earnings_blackout,neutral,Health Care,unknown,crisis_atr_ge_5pct,medium_4_10d,2065.1165,breakeven_plus_trail,365.7387,1699.3778000000002,21,18,1.0
earnings_blackout,neutral,Information Technology,unknown,high_atr_2.5_5pct,long_ge_11d,1737.5402000000001,breakeven_plus_trail,240.06140000000002,1497.4788,29,18,1.0
earnings_blackout,neutral,Financials,unknown,high_atr_2.5_5pct,long_ge_11d,1277.5296,class_time_stop,143.7223,1133.8073000000002,22,18,1.0
earnings_blackout,neutral,Industrials,unknown,crisis_atr_ge_5pct,long_ge_11d,1267.3838,hybrid_50pct_target,158.9736,1108.4102,17,18,1.0
earnings_blackout,neutral,Materials,unknown,high_atr_2.5_5pct,long_ge_11d,993.4798,breakeven_plus_trail,38.9294,954.5504,10,18,1.0
earnings_blackout,neutral,Health Care,unknown,crisis_atr_ge_5pct,short_le_3d,904.465,trailing_15pct,109.10229999999999,795.3627,11,18,1.0
earnings_blackout,neutral,Energy,unknown,high_atr_2.5_5pct,long_ge_11d,555.8484,time_stop_10d,23.985400000000002,531.8629999999999,17,18,1.0
earnings_blackout,neutral,Health Care,unknown,crisis_atr_ge_5pct,long_ge_11d,1072.3328000000001,class_time_stop,653.8439000000001,418.48890000000006,21,18,1.0
earnings_blackout,neutral,Industrials,unknown,high_atr_2.5_5pct,long_ge_11d,396.88489999999996,trailing_15pct,67.8711,329.01379999999995,34,18,1.0
earnings_blackout,neutral,Financials,unknown,mid_atr_1_2.5pct,long_ge_11d,351.37219999999996,trailing_15pct,31.357599999999998,320.0146,11,18,1.0
earnings_blackout,neutral,Industrials,unknown,mid_atr_1_2.5pct,long_ge_11d,420.7781,trailing_15pct,159.6577,261.1204,14,18,1.0
earnings_blackout,neutral,Consumer Discretionary,unknown,crisis_atr_ge_5pct,long_ge_11d,527.1864,class_time_stop,267.5879,259.59850000000006,11,18,1.0
earnings_blackout,neutral,Consumer Discretionary,unknown,high_atr_2.5_5pct,long_ge_11d,353.1374,breakeven_plus_trail,179.5996,173.5378,12,18,1.0
earnings_blackout,neutral,Information Technology,unknown,crisis_atr_ge_5pct,medium_4_10d,311.7372000000001,fixed_4r_2r,183.3456,128.3916000000001,19,18,1.0
earnings_blackout,neutral,Health Care,unknown,high_atr_2.5_5pct,long_ge_11d,181.3687,breakeven_plus_trail,69.9864,111.38229999999999,30,18,1.0
time_stop_10d,neutral,Communication Services,unknown,high_atr_2.5_5pct,long_ge_11d,-2.5608000000000004,fixed_4r_2r,-4.127100000000001,1.566300000000001,10,18,1.0
