entry_date,sector,trades,total_trades,sector_pct
2022-05-05,Consumer Staples,1,9,11.11111111111111
2022-05-05,Financials,2,9,22.22222222222222
2022-05-05,Health Care,1,9,11.11111111111111
2022-05-05,Information Technology,3,9,33.33333333333333
2022-05-05,Materials,1,9,11.11111111111111
2022-05-05,Unknown,1,9,11.11111111111111
2022-05-12,Communication Services,1,8,12.5
2022-05-12,Consumer Discretionary,1,8,12.5
2022-05-12,Financials,1,8,12.5
2022-05-12,Health Care,1,8,12.5
2022-05-12,Materials,2,8,25.0
2022-05-12,Unknown,2,8,25.0
2022-05-13,Consumer Discretionary,1,8,12.5
2022-05-13,Consumer Staples,1,8,12.5
2022-05-13,Energy,2,8,25.0
2022-05-13,Financials,2,8,25.0
2022-05-13,Materials,1,8,12.5
2022-05-13,Unknown,1,8,12.5
2022-05-16,Consumer Discretionary,1,6,16.666666666666664
2022-05-16,Energy,1,6,16.666666666666664
2022-05-16,Financials,2,6,33.33333333333333
2022-05-16,Health Care,1,6,16.666666666666664
2022-05-16,Materials,1,6,16.666666666666664
2022-05-18,Consumer Discretionary,2,4,50.0
2022-05-18,Consumer Staples,1,4,25.0
2022-05-18,Unknown,1,4,25.0
2022-05-19,Industrials,1,1,100.0
2022-05-20,Financials,1,3,33.33333333333333
2022-05-20,Information Technology,2,3,66.66666666666666
2022-05-24,Health Care,1,2,50.0
2022-05-24,Information Technology,1,2,50.0
2022-06-01,Health Care,1,1,100.0
2022-06-09,Industrials,1,1,100.0
2022-06-13,Consumer Discretionary,2,10,20.0
2022-06-13,Energy,1,10,10.0
2022-06-13,Financials,1,10,10.0
2022-06-13,Fixed Income,1,10,10.0
2022-06-13,Health Care,2,10,20.0
2022-06-13,Industrials,1,10,10.0
2022-06-13,Real Estate,2,10,20.0
2022-06-16,Broad Market,1,9,11.11111111111111
2022-06-16,Energy,1,9,11.11111111111111
2022-06-16,Financials,1,9,11.11111111111111
2022-06-16,Health Care,1,9,11.11111111111111
2022-06-16,Industrials,3,9,33.33333333333333
2022-06-16,Materials,1,9,11.11111111111111
2022-06-16,Utilities,1,9,11.11111111111111
2022-06-17,Industrials,1,1,100.0
2022-06-23,Energy,1,1,100.0
2022-06-28,Energy,1,1,100.0
2022-06-29,Consumer Discretionary,1,1,100.0
2022-06-30,Consumer Staples,1,1,100.0
2022-07-01,Fixed Income,1,4,25.0
2022-07-01,Industrials,1,4,25.0
2022-07-01,Information Technology,2,4,50.0
2022-07-06,Industrials,1,1,100.0
2022-07-07,Health Care,1,1,100.0
2022-07-11,Information Technology,1,1,100.0
2022-07-12,Health Care,1,1,100.0
2022-07-14,Communication Services,1,4,25.0
2022-07-14,Financials,2,4,50.0
2022-07-14,Materials,1,4,25.0
2022-07-19,Health Care,1,1,100.0
2022-07-28,Industrials,1,3,33.33333333333333
2022-07-28,Information Technology,1,3,33.33333333333333
2022-07-28,Utilities,1,3,33.33333333333333
2022-08-02,Unknown,1,1,100.0
2022-08-08,Information Technology,1,2,50.0
2022-08-08,Unknown,1,2,50.0
2022-08-09,Communication Services,1,1,100.0
2022-08-18,Information Technology,1,1,100.0
2022-08-22,Health Care,1,2,50.0
2022-08-22,Materials,1,2,50.0
2022-08-23,Communication Services,1,2,50.0
2022-08-23,Industrials,1,2,50.0
2022-08-24,Industrials,1,1,100.0
2022-08-26,Health Care,1,2,50.0
2022-08-26,Industrials,1,2,50.0
2022-08-29,Health Care,2,3,66.66666666666666
2022-08-29,Industrials,1,3,33.33333333333333
2022-08-30,Health Care,1,1,100.0
2022-08-31,Consumer Discretionary,2,3,66.66666666666666
2022-08-31,Consumer Staples,1,3,33.33333333333333
2022-09-01,Communication Services,1,4,25.0
2022-09-01,Information Technology,1,4,25.0
2022-09-01,Materials,1,4,25.0
2022-09-01,Real Estate,1,4,25.0
2022-09-06,Communication Services,1,1,100.0
2022-09-12,Communication Services,1,1,100.0
2022-09-14,Industrials,1,3,33.33333333333333
2022-09-14,Materials,2,3,66.66666666666666
2022-09-16,Financials,1,5,20.0
2022-09-16,Health Care,1,5,20.0
2022-09-16,Industrials,2,5,40.0
2022-09-16,Unknown,1,5,20.0
2022-09-19,Health Care,1,1,100.0
2022-09-22,Communication Services,1,7,14.285714285714285
2022-09-22,Financials,1,7,14.285714285714285
2022-09-22,Industrials,1,7,14.285714285714285
2022-09-22,Information Technology,3,7,42.857142857142854
2022-09-22,Real Estate,1,7,14.285714285714285
2022-09-23,Broad Market,1,6,16.666666666666664
2022-09-23,Communication Services,1,6,16.666666666666664
2022-09-23,Financials,2,6,33.33333333333333
2022-09-23,Industrials,1,6,16.666666666666664
2022-09-23,Utilities,1,6,16.666666666666664
2022-09-26,Financials,1,3,33.33333333333333
2022-09-26,Industrials,1,3,33.33333333333333
2022-09-26,Materials,1,3,33.33333333333333
2022-09-27,Real Estate,1,1,100.0
2022-09-29,Consumer Discretionary,1,1,100.0
2022-10-04,Health Care,1,1,100.0
