strategy,exit_method,trades,win_rate,profit_factor,avg_pnl_pct,total_roi_pct,max_drawdown_pct,avg_hold_days,composite_score,recommended
bollinger_tight,regime_flip,126,0.6349,2.2771,5.0378,634.7595,-71.3196,28.6,55.4,True
bollinger_tight,time_stop_20d,126,0.6349,2.2771,5.0378,634.7595,-71.3196,28.6,55.4,False
bollinger_tight,class_time_stop,126,0.619,2.5425,6.0788,765.9322,-64.6793,35.5,54.76,False
bollinger_tight,earnings_blackout,126,0.619,9.4704,87.7924,11061.8401,-271.109,718.7,54.76,False
bollinger_tight,breakeven_plus_trail,126,0.5079,2.4876,6.1701,777.4305,-84.474,49.1,50.32,False
bollinger_tight,trailing_15pct,126,0.4524,2.0364,5.776,727.7759,-151.3793,92.5,48.1,False
bollinger_tight,hybrid_50pct_target,126,0.5,1.6514,3.1648,398.7608,-75.2438,58.2,39.54,False
bollinger_tight,time_stop_10d,126,0.5556,1.4806,1.6487,207.7379,-49.3814,14.5,36.64,False
bollinger_tight,fixed_4r_2r,126,0.4365,1.4726,3.3174,417.9912,-114.1299,45.9,31.64,False
bollinger_tight,next_pivot_target,126,0.5952,1.1652,0.6814,85.8619,-85.4174,18.8,28.76,False
bollinger_tight,atr_trail_2x,126,0.4286,1.1867,0.9186,115.7431,-152.5157,25.2,22.75,False
bollinger_tight,r_multiple_3r,126,0.3016,1.2693,1.2063,151.989,-110.2125,14.5,20.14,False
bollinger_tight,ma_exit_ema9,126,0.4524,0.9183,-0.1419,-17.8784,-82.5411,1.6,18.1,False
bollinger_tight,r_multiple_2r,126,0.3492,1.1193,0.4988,62.8444,-94.5391,10.1,17.55,False
bollinger_tight,trailing_10pct,126,0.3571,0.9484,-0.2346,-29.5569,-149.293,39.7,14.28,False
bollinger_tight,atr_trail_1x,126,0.2937,0.7086,-0.9476,-119.3994,-182.0772,7.2,11.75,False
bollinger_tight,trailing_5pct,126,0.246,0.5712,-1.1832,-149.0883,-159.6784,11.7,9.84,False
bollinger_tight,break_even_at_1r,126,0.1984,0.9182,-0.2771,-34.9133,-155.8464,12.9,7.94,False
