date,event,z_score,today_dispersion,ticker,level,reason,exit_price,action,new_stop
2022-05-06,dispersion_cb_triggered_dec128,3.6551,0.039079,,,,,,
2022-05-09,dispersion_cb_triggered_dec128,4.0433,0.04479,,,,,,
2022-05-11,,,,U,1.0,overnight_gap_down_32.8pct,32.33,,
2022-05-11,dispersion_cb_triggered_dec128,4.4231,0.054599,,,,,,
2022-06-23,dispersion_cb_triggered_dec128,3.0595,0.048559,,,,,,
2022-09-23,,,,SAVA,1.0,overnight_gap_down_24.9pct,27.3893,,
2022-10-11,dispersion_cb_triggered_dec128,3.2934,0.041878,,,,,,
2022-11-10,dispersion_cb_triggered_dec128,6.1547,0.072275,,,,,,
2022-12-16,dispersion_cb_triggered_dec128,10.0,0.094682,,,,,,
2023-03-13,,,,KEY,1.0,overnight_gap_down_21.8pct,12.24,,
2023-03-13,dispersion_cb_triggered_dec128,10.0,0.184804,,,,,,
2023-05-04,dispersion_cb_triggered_dec128,3.2883,0.037367,,,,,,
2023-08-01,dispersion_cb_triggered_dec128,5.3177,0.040626,,,,,,
2023-10-10,dispersion_cb_triggered_dec128,9.3095,0.054101,,,,,,
2023-10-27,,,,ENPH,1.0,overnight_gap_down_14.5pct,82.19,,
2023-11-02,,,,RELY,1.0,overnight_gap_down_29.0pct,19.6,,
2023-11-07,,,,OLO,1.0,overnight_gap_down_14.5pct,5.0,,
2024-01-08,dispersion_cb_triggered_dec128,9.8498,0.071348,,,,,,
2024-02-05,,,,APD,1.0,overnight_gap_down_12.1pct,227.0,,
2024-02-07,dispersion_cb_triggered_dec128,3.7069,0.036198,,,,,,
2024-02-27,dispersion_cb_triggered_dec128,10.0,0.084353,,,,,,
2024-03-05,,,,KOS,1.0,overnight_gap_down_12.5pct,5.26,,
2024-04-26,dispersion_cb_triggered_dec128,8.7602,0.042575,,,,,,
2024-05-28,dispersion_cb_triggered_dec128,10.0,0.081064,,,,,,
2024-06-28,dispersion_cb_triggered_dec128,10.0,0.056015,,,,,,
2024-08-01,dispersion_cb_triggered_dec128,3.1308,0.04102,,,,,,
2024-10-08,dispersion_cb_triggered_dec128,4.6601,0.036902,,,,,,
2024-10-31,dispersion_cb_triggered_dec128,3.7378,0.043925,,,,,,
2024-11-06,dispersion_cb_triggered_dec128,5.7348,0.059484,,,,,,
2024-11-07,,,,YOU,1.0,overnight_gap_down_18.8pct,31.24,,
2025-01-07,,,,SERV,1.0,overnight_gap_down_14.8pct,19.51,,
2025-01-27,dispersion_cb_triggered_dec128,5.0944,0.080646,,,,,,
2025-02-13,,,,SAIL,1.0,overnight_gap_down_64.7pct,23.0,,
2025-02-13,,,,GXO,1.0,overnight_gap_down_17.4pct,35.3,,
2025-04-04,,,,ESNT,5.0,vix_crisis_45.3,,tighten_stop,56.287499999999994
2025-04-04,,,,REG,5.0,vix_crisis_45.3,,tighten_stop,73.853
2025-04-04,,,,ABBV,5.0,vix_crisis_45.3,,tighten_stop,205.827
2025-04-04,,,,GFL,5.0,vix_crisis_45.3,,tighten_stop,46.35999999999999
2025-04-04,,,,PGR,5.0,vix_crisis_45.3,,tighten_stop,276.659
2025-04-04,,,,CMCSA,5.0,vix_crisis_45.3,,tighten_stop,35.7105
2025-04-04,,,,DGX,5.0,vix_crisis_45.3,,tighten_stop,168.1025
