strategy,exit_method,sector,n,win_rate,avg_pnl_pct,total_pnl_pct
bollinger_lower,atr_trail_1x,Communication Services,11,0.45454545454545453,0.8948999999999998,9.843899999999998
bollinger_lower,atr_trail_1x,Consumer Discretionary,23,0.17391304347826086,-2.4789434782608697,-57.0157
bollinger_lower,atr_trail_1x,Consumer Staples,9,0.3333333333333333,-0.32844444444444443,-2.956
bollinger_lower,atr_trail_1x,Energy,12,0.25,-0.7761,-9.3132
bollinger_lower,atr_trail_1x,Financials,16,0.1875,-1.5448625,-24.7178
bollinger_lower,atr_trail_1x,Health Care,30,0.36666666666666664,-1.6960733333333335,-50.882200000000005
bollinger_lower,atr_trail_1x,Industrials,27,0.25925925925925924,0.06197407407407412,1.6733000000000011
bollinger_lower,atr_trail_1x,Information Technology,25,0.32,-0.06820799999999999,-1.7051999999999996
bollinger_lower,atr_trail_1x,International,2,0.0,-1.40285,-2.8057
bollinger_lower,atr_trail_1x,Materials,15,0.13333333333333333,-1.9853200000000002,-29.7798
bollinger_lower,atr_trail_1x,Real Estate,9,0.6666666666666666,0.3973555555555556,3.5762
bollinger_lower,atr_trail_1x,Small Cap,1,0.0,-0.0671,-0.0671
bollinger_lower,atr_trail_1x,Unknown,3,0.0,-3.9111666666666665,-11.7335
bollinger_lower,atr_trail_1x,Utilities,7,0.14285714285714285,-0.0867,-0.6069
bollinger_lower,atr_trail_2x,Communication Services,11,0.6363636363636364,-0.5489727272727273,-6.0387
bollinger_lower,atr_trail_2x,Consumer Discretionary,23,0.30434782608695654,-3.278517391304348,-75.4059
bollinger_lower,atr_trail_2x,Consumer Staples,9,0.2222222222222222,0.43143333333333345,3.882900000000001
bollinger_lower,atr_trail_2x,Energy,12,0.25,2.1283499999999993,25.54019999999999
bollinger_lower,atr_trail_2x,Financials,16,0.1875,-3.4927937499999997,-55.884699999999995
bollinger_lower,atr_trail_2x,Health Care,30,0.43333333333333335,2.7120266666666666,81.3608
bollinger_lower,atr_trail_2x,Industrials,27,0.4074074074074074,1.805737037037037,48.7549
bollinger_lower,atr_trail_2x,Information Technology,25,0.4,1.007432,25.1858
bollinger_lower,atr_trail_2x,International,2,0.5,-0.9465500000000001,-1.8931000000000002
bollinger_lower,atr_trail_2x,Materials,15,0.5333333333333333,-0.15930666666666665,-2.3895999999999997
bollinger_lower,atr_trail_2x,Real Estate,9,0.5555555555555556,4.130122222222222,37.171099999999996
bollinger_lower,atr_trail_2x,Small Cap,1,1.0,8.3447,8.3447
bollinger_lower,atr_trail_2x,Unknown,3,0.3333333333333333,3.0680333333333336,9.2041
bollinger_lower,atr_trail_2x,Utilities,7,0.42857142857142855,2.389728571428571,16.728099999999998
bollinger_lower,break_even_at_1r,Communication Services,11,0.45454545454545453,0.6297454545454546,6.927200000000001
bollinger_lower,break_even_at_1r,Consumer Discretionary,23,0.13043478260869565,-0.2716913043478261,-6.248900000000001
bollinger_lower,break_even_at_1r,Consumer Staples,9,0.0,-0.7967666666666666,-7.1709
bollinger_lower,break_even_at_1r,Energy,12,0.08333333333333333,1.4257666666666662,17.109199999999994
bollinger_lower,break_even_at_1r,Financials,16,0.0625,-1.2578187499999998,-20.125099999999996
bollinger_lower,break_even_at_1r,Health Care,30,0.26666666666666666,-1.2808766666666667,-38.4263
bollinger_lower,break_even_at_1r,Industrials,27,0.14814814814814814,-1.2439444444444445,-33.5865
bollinger_lower,break_even_at_1r,Information Technology,25,0.28,0.7632519999999999,19.0813
bollinger_lower,break_even_at_1r,International,2,0.0,-1.11215,-2.2243
bollinger_lower,break_even_at_1r,Materials,15,0.13333333333333333,-0.8990666666666667,-13.486
bollinger_lower,break_even_at_1r,Real Estate,9,0.1111111111111111,-0.3656888888888889,-3.2912
bollinger_lower,break_even_at_1r,Small Cap,1,0.0,-0.0671,-0.0671
bollinger_lower,break_even_at_1r,Unknown,3,0.3333333333333333,3.957966666666667,11.8739
bollinger_lower,break_even_at_1r,Utilities,7,0.2857142857142857,1.4681571428571427,10.277099999999999
bollinger_lower,breakeven_plus_trail,Communication Services,11,0.6363636363636364,5.136881818181819,56.505700000000004
