strategy,exit_method,smart_money_signal_present,n,win_rate,avg_pnl_pct,total_pnl_pct
bollinger_lower,atr_trail_1x,no,190,0.2789473684210526,-0.9288931578947368,-176.4897
bollinger_lower,atr_trail_2x,no,190,0.39473684210526316,0.6029505263157895,114.5606
bollinger_lower,break_even_at_1r,no,190,0.18421052631578946,-0.3124084210526315,-59.357599999999984
bollinger_lower,breakeven_plus_trail,no,190,0.4368421052631579,3.9380984210526315,748.2387
bollinger_lower,class_time_stop,no,190,0.5526315789473685,2.186812105263158,415.4943
bollinger_lower,earnings_blackout,no,190,0.6947368421052632,48.86702578947368,9284.7349
bollinger_lower,fixed_4r_2r,no,190,0.4105263157894737,1.932744210526316,367.2214
bollinger_lower,hybrid_50pct_target,no,190,0.5578947368421052,3.9331389473684206,747.2964
bollinger_lower,ma_exit_ema9,no,190,0.5157894736842106,0.43801947368421057,83.22370000000001
bollinger_lower,next_pivot_target,no,190,0.5421052631578948,0.8843768421052632,168.03160000000003
bollinger_lower,r_multiple_2r,no,190,0.4263157894736842,1.68706,320.5414
bollinger_lower,r_multiple_3r,no,190,0.3473684210526316,2.4333889473684214,462.3439
bollinger_lower,regime_flip,no,190,0.5578947368421052,2.391353157894737,454.3571
bollinger_lower,time_stop_10d,no,190,0.5210526315789473,1.3194915789473685,250.70340000000002
bollinger_lower,time_stop_20d,no,190,0.5578947368421052,2.391353157894737,454.3571
bollinger_lower,trailing_10pct,no,190,0.37894736842105264,0.659501052631579,125.30520000000001
bollinger_lower,trailing_15pct,no,190,0.42105263157894735,1.5860436842105263,301.3483
bollinger_lower,trailing_5pct,no,190,0.28421052631578947,-0.599001052631579,-113.81020000000001
bollinger_tight,atr_trail_1x,no,124,0.28225806451612906,-1.1539870967741936,-143.0944
bollinger_tight,atr_trail_2x,no,124,0.3467741935483871,-1.4392612903225808,-178.4684
bollinger_tight,break_even_at_1r,no,124,0.1774193548387097,-0.4874701612903226,-60.4463
bollinger_tight,breakeven_plus_trail,no,124,0.3951612903225806,3.5376459677419354,438.6681
bollinger_tight,class_time_stop,no,124,0.5564516129032258,0.27535161290322585,34.143600000000006
bollinger_tight,earnings_blackout,no,124,0.6774193548387096,77.94675967741935,9665.3982
bollinger_tight,fixed_4r_2r,no,124,0.43548387096774194,1.8076137096774194,224.1441
bollinger_tight,hybrid_50pct_target,no,124,0.5080645161290323,1.9371451612903225,240.206
bollinger_tight,ma_exit_ema9,no,124,0.4596774193548387,0.018111290322580624,2.2457999999999974
bollinger_tight,next_pivot_target,no,124,0.5645161290322581,0.06871532258064514,8.520699999999998
bollinger_tight,r_multiple_2r,no,124,0.3548387096774194,-0.070499193548387,-8.741899999999989
bollinger_tight,r_multiple_3r,no,124,0.28225806451612906,-0.2550137096774194,-31.621700000000004
bollinger_tight,regime_flip,no,124,0.49193548387096775,-0.3556145161290321,-44.09619999999998
bollinger_tight,time_stop_10d,no,124,0.532258064516129,0.354,43.896
bollinger_tight,time_stop_20d,no,124,0.49193548387096775,-0.3556145161290321,-44.09619999999998
bollinger_tight,trailing_10pct,no,124,0.3629032258064516,0.07525967741935484,9.3322
bollinger_tight,trailing_15pct,no,124,0.4435483870967742,3.0598862903225807,379.4259
bollinger_tight,trailing_5pct,no,124,0.23387096774193547,-1.6272991935483871,-201.7851
cmf_flip,atr_trail_1x,no,9,0.2222222222222222,-2.5877777777777777,-23.29
