strategy,exit_method,confidence_tier,n,win_rate,avg_pnl_pct,total_pnl_pct
bollinger_lower,atr_trail_1x,HIGH,57,0.3508771929824561,-0.8065929824561403,-45.9758
bollinger_lower,atr_trail_2x,HIGH,57,0.38596491228070173,-1.716461403508772,-97.8383
bollinger_lower,break_even_at_1r,HIGH,57,0.15789473684210525,-1.2583684210526316,-71.727
bollinger_lower,breakeven_plus_trail,HIGH,57,0.3157894736842105,2.4208543859649123,137.9887
bollinger_lower,class_time_stop,HIGH,57,0.49122807017543857,-0.8425280701754386,-48.024100000000004
bollinger_lower,earnings_blackout,HIGH,57,0.6666666666666666,70.65841403508772,4027.5296
bollinger_lower,fixed_4r_2r,HIGH,57,0.3333333333333333,0.6583701754385965,37.527100000000004
bollinger_lower,hybrid_50pct_target,HIGH,57,0.45614035087719296,1.0343859649122806,58.959999999999994
bollinger_lower,ma_exit_ema9,HIGH,57,0.40350877192982454,-0.30803859649122806,-17.5582
bollinger_lower,next_pivot_target,HIGH,57,0.5614035087719298,0.5056561403508771,28.8224
bollinger_lower,r_multiple_2r,HIGH,57,0.3508771929824561,0.32111052631578946,18.3033
bollinger_lower,r_multiple_3r,HIGH,57,0.2982456140350877,1.1876561403508772,67.6964
bollinger_lower,regime_flip,HIGH,57,0.47368421052631576,-0.5883894736842107,-33.53820000000001
bollinger_lower,time_stop_10d,HIGH,57,0.47368421052631576,-0.879578947368421,-50.135999999999996
bollinger_lower,time_stop_20d,HIGH,57,0.47368421052631576,-0.5883894736842107,-33.53820000000001
bollinger_lower,trailing_10pct,HIGH,57,0.3157894736842105,-0.4174649122807017,-23.795499999999997
bollinger_lower,trailing_15pct,HIGH,57,0.2982456140350877,1.9886157894736842,113.3511
bollinger_lower,trailing_5pct,HIGH,57,0.24561403508771928,-1.4364631578947369,-81.8784
bollinger_tight,atr_trail_1x,HIGH,39,0.358974358974359,-1.7145282051282054,-66.8666
bollinger_tight,atr_trail_2x,HIGH,39,0.358974358974359,-2.6193282051282054,-102.1538
bollinger_tight,break_even_at_1r,HIGH,39,0.1794871794871795,-1.6882153846153847,-65.8404
bollinger_tight,breakeven_plus_trail,HIGH,39,0.48717948717948717,3.447853846153846,134.4663
bollinger_tight,class_time_stop,HIGH,39,0.4358974358974359,-1.3089051282051283,-51.0473
bollinger_tight,earnings_blackout,HIGH,39,0.6923076923076923,76.48158205128205,2982.7817
bollinger_tight,fixed_4r_2r,HIGH,39,0.28205128205128205,-2.7764410256410255,-108.2812
bollinger_tight,hybrid_50pct_target,HIGH,39,0.358974358974359,-1.6596153846153845,-64.725
bollinger_tight,ma_exit_ema9,HIGH,39,0.48717948717948717,0.42425384615384615,16.5459
bollinger_tight,next_pivot_target,HIGH,39,0.5641025641025641,-1.359792307692308,-53.03190000000001
bollinger_tight,r_multiple_2r,HIGH,39,0.38461538461538464,0.10308461538461532,4.020299999999997
bollinger_tight,r_multiple_3r,HIGH,39,0.23076923076923078,-2.1234974358974354,-82.81639999999999
bollinger_tight,regime_flip,HIGH,39,0.5128205128205128,-0.6322205128205126,-24.656599999999994
bollinger_tight,time_stop_10d,HIGH,39,0.5384615384615384,0.21196923076923085,8.266800000000003
bollinger_tight,time_stop_20d,HIGH,39,0.5128205128205128,-0.6322205128205126,-24.656599999999994
bollinger_tight,trailing_10pct,HIGH,39,0.358974358974359,-1.5686641025641024,-61.177899999999994
bollinger_tight,trailing_15pct,HIGH,39,0.20512820512820512,-3.0284564102564104,-118.1098
