signal_contribution,timing_contribution,exit_contribution,sizing_contribution,agent_contribution,actual_total_check,ticker,entry_date
-1007.2,0.0,0.0,0.0,0.0,-1007.2,GH,2022-05-05
-52.75,0.0,0.0,0.0,0.0,-52.75,UAA,2022-05-05
-1007.19,0.0,0.0,0.0,0.0,-1007.19,CPNG,2022-05-05
-1007.2,0.0,0.0,0.0,0.0,-1007.2,MELI,2022-05-05
-1007.2,0.0,0.0,0.0,0.0,-1007.2,ESTC,2022-05-05
-1007.23,0.0,0.0,0.0,0.0,-1007.23,RIOT,2022-05-09
-1007.2,0.0,0.0,0.0,0.0,-1007.2,OKTA,2022-05-09
-1007.22,0.0,0.0,0.0,0.0,-1007.22,DISH,2022-05-09
-1007.11,0.0,0.0,0.0,0.0,-1007.11,RKLB,2022-05-09
-1007.22,0.0,0.0,0.0,0.0,-1007.22,NWL,2022-05-09
-336.66,0.0,0.0,0.0,0.0,-336.66,OSCR,2022-05-12
-1007.19,0.0,0.0,0.0,0.0,-1007.19,KHC,2022-05-13
-996.19,0.0,0.0,0.0,0.0,-996.19,ROK,2022-05-05
-644.89,0.0,0.0,0.0,0.0,-644.89,CHD,2022-05-05
722.66,0.0,0.0,0.0,0.0,722.66,GTHX,2022-05-16
-861.96,0.0,0.0,0.0,0.0,-861.96,REXR,2022-05-12
-901.81,0.0,0.0,0.0,0.0,-901.81,AEO,2022-05-18
-668.47,0.0,0.0,0.0,0.0,-668.47,UAA,2022-05-19
-363.42,0.0,0.0,0.0,0.0,-363.42,TWST,2022-05-13
-218.16,0.0,0.0,0.0,0.0,-218.16,CPRX,2022-05-09
884.05,0.0,0.0,0.0,0.0,884.05,HBM,2022-05-12
159.62,0.0,0.0,0.0,0.0,159.62,NG,2022-05-12
-165.2,0.0,0.0,0.0,0.0,-165.2,OXY,2022-05-13
-382.03,0.0,0.0,0.0,0.0,-382.03,PPG,2022-05-13
1054.42,0.0,0.0,0.0,0.0,1054.42,PATH,2022-05-13
-708.4,0.0,0.0,0.0,0.0,-708.4,WY,2022-05-16
-16.59,0.0,0.0,0.0,0.0,-16.59,OSCR,2022-05-24
-1082.06,0.0,0.0,0.0,0.0,-1082.06,XLRE,2022-05-05
-149.6,0.0,0.0,0.0,0.0,-149.6,LYV,2022-05-09
10.21,0.0,0.0,0.0,0.0,10.21,HASI,2022-05-12
-302.63,0.0,0.0,0.0,0.0,-302.63,EXC,2022-05-12
-625.39,0.0,0.0,0.0,0.0,-625.39,MRK,2022-05-12
-429.97,0.0,0.0,0.0,0.0,-429.97,AXP,2022-05-12
-622.12,0.0,0.0,0.0,0.0,-622.12,NI,2022-05-13
-42.77,0.0,0.0,0.0,0.0,-42.77,IRM,2022-05-19
-235.27,0.0,0.0,0.0,0.0,-235.27,RRC,2022-05-26
50.85,0.0,0.0,0.0,0.0,50.85,GOOGL,2022-05-24
-458.43,0.0,0.0,0.0,0.0,-458.43,AEO,2022-05-31
-782.59,0.0,0.0,0.0,0.0,-782.59,QS,2022-06-13
-899.13,0.0,0.0,0.0,0.0,-899.13,NVTS,2022-06-13
-888.71,0.0,0.0,0.0,0.0,-888.71,ADBE,2022-06-13
-1007.21,0.0,0.0,0.0,0.0,-1007.21,CNQ,2022-06-16
2069.28,0.0,0.0,0.0,0.0,2069.28,DOMO,2022-06-13
516.69,0.0,0.0,0.0,0.0,516.69,MELI,2022-06-13
-97.02,0.0,0.0,0.0,0.0,-97.02,PTON,2022-06-13
-1007.2,0.0,0.0,0.0,0.0,-1007.2,BKNG,2022-06-13
607.07,0.0,0.0,0.0,0.0,607.07,CCL,2022-06-16
866.5,0.0,0.0,0.0,0.0,866.5,WOLF,2022-06-16
498.14,0.0,0.0,0.0,0.0,498.14,SWIM,2022-06-16
-1007.2,0.0,0.0,0.0,0.0,-1007.2,PXD,2022-06-16
-649.19,0.0,0.0,0.0,0.0,-649.19,KGC,2022-06-30
-643.02,0.0,0.0,0.0,0.0,-643.02,NG,2022-06-30
-1007.27,0.0,0.0,0.0,0.0,-1007.27,SWIM,2022-07-05
-1007.19,0.0,0.0,0.0,0.0,-1007.19,NVEI,2022-06-30
51.05,0.0,0.0,0.0,0.0,51.05,DISH,2022-06-16
-258.88,0.0,0.0,0.0,0.0,-258.88,GPS,2022-06-30
-415.96,0.0,0.0,0.0,0.0,-415.96,NVTS,2022-06-30
-330.31,0.0,0.0,0.0,0.0,-330.31,FCX,2022-07-05
-619.41,0.0,0.0,0.0,0.0,-619.41,GDX,2022-06-30
-800.26,0.0,0.0,0.0,0.0,-800.26,EOG,2022-07-05
-533.53,0.0,0.0,0.0,0.0,-533.53,MUR,2022-07-05
-1008.77,0.0,0.0,0.0,0.0,-1008.77,AXTA,2022-06-30
-33.12,0.0,0.0,0.0,0.0,-33.12,TRU,2022-06-16
1098.18,0.0,0.0,0.0,0.0,1098.18,UAA,2022-06-30
4102.13,0.0,0.0,0.0,0.0,4102.13,SGEN,2022-05-09
1837.16,0.0,0.0,0.0,0.0,1837.16,VRSN,2022-06-16
