strategy,point_sharpe,ci_low,ci_high,n_trades,method
bollinger_lower,0.2337872845130125,-2.4091251513212337,2.630177542114308,152,bootstrap
bollinger_tight,2.8357435719154687,0.10070869472754464,4.9406338375889645,109,bootstrap
camarilla_s3_bounce,0.0,,,1,insufficient_sample
cmf_flip,-0.2980054240603505,,,15,insufficient_sample
cpr_narrow_bullish,-0.5001824971331791,,,26,insufficient_sample
hull_rsi,-2.0760478331857137,,,7,insufficient_sample
ichimoku_cloud_breakout,0.9533243783338708,,,5,insufficient_sample
macd_crossover,0.0,,,1,insufficient_sample
morning_star,0.0,,,1,insufficient_sample
pivot_r1_breakout,0.7928193172715632,-3.398534359123122,3.270580563343412,99,bootstrap
pivot_r2_continuation,1.6093130400943814,,,17,insufficient_sample
pivot_s2_bounce,0.0,,,1,insufficient_sample
pivot_s3_capitulation,-12.07888342090742,,,3,insufficient_sample
stochrsi_oversold,2.3430085166666323,,,24,insufficient_sample
supertrend_macd,5.010657943633816,,,5,insufficient_sample
ultimate_oscillator,8.48699714310598,,,4,insufficient_sample
williams_r_oversold,0.4226135771338918,,,13,insufficient_sample
williams_stoch_dual,0.0,,,1,insufficient_sample
