strategy,sharpe_adj,win_rate_adj,profit_factor_adj,haircut_pct_applied
pivot_s2_bounce,0.0,0.9,inf,0.2
macd_crossover,0.0,0.8,inf,0.4
camarilla_s3_bounce,0.0,0.9,inf,0.2
ultimate_oscillator,0.0,0.45,5.27977,0.2
bollinger_tight,0.0,0.41283000000000003,1.70398,0.2
bollinger_lower,0.0,0.36117,1.04185,0.2
supertrend_macd,0.0,0.32000000000000006,2.01616,0.4
ichimoku_cloud_breakout,0.0,0.32000000000000006,1.14824,0.4
williams_r_oversold,0.0,0.34614,1.0729,0.2
stochrsi_oversold,0.0,0.30000000000000004,1.5805600000000002,0.4
pivot_r2_continuation,0.0,0.31761,1.40086,0.2
pivot_s3_capitulation,0.0,0.29997,0.1181,0.2
pivot_r1_breakout,0.0,0.25856,1.14704,0.4
cpr_narrow_bullish,0.0,0.27693,0.9229,0.2
cmf_flip,0.0,0.24003,0.9463,0.2
hull_rsi,0.0,0.11432,0.6769,0.4
morning_star,0.0,0.0,0.0,0.2
williams_stoch_dual,0.0,0.0,0.0,0.2
