strategy,exit_method,universe_tier,n,win_rate,avg_pnl_pct,total_pnl_pct
bollinger_lower,atr_trail_1x,T1ETF,3,0.3333333333333333,0.06493333333333333,0.19479999999999997
bollinger_lower,atr_trail_1x,T1a,53,0.2641509433962264,-0.8000566037735849,-42.403
bollinger_lower,atr_trail_1x,T1c,6,0.16666666666666666,-2.0347166666666667,-12.2083
bollinger_lower,atr_trail_1x,T2,23,0.4782608695652174,1.3359260869565217,30.7263
bollinger_lower,atr_trail_1x,T3,8,0.375,-3.1556625,-25.2453
bollinger_lower,atr_trail_1x,unknown,59,0.22033898305084745,-3.0096050847457625,-177.5667
bollinger_lower,atr_trail_2x,T1ETF,3,0.0,-1.7548000000000001,-5.2644
bollinger_lower,atr_trail_2x,T1a,53,0.39622641509433965,-0.11005660377358491,-5.833
bollinger_lower,atr_trail_2x,T1c,6,0.16666666666666666,-3.4038,-20.4228
bollinger_lower,atr_trail_2x,T2,23,0.5217391304347826,8.987047826086956,206.7021
bollinger_lower,atr_trail_2x,T3,8,0.375,-3.0206375,-24.1651
bollinger_lower,atr_trail_2x,unknown,59,0.3898305084745763,-2.758237288135593,-162.736
bollinger_lower,break_even_at_1r,T1ETF,3,0.0,-1.1708,-3.5124
bollinger_lower,break_even_at_1r,T1a,53,0.1509433962264151,-0.21401509433962257,-11.342799999999997
bollinger_lower,break_even_at_1r,T1c,6,0.16666666666666666,-2.5033666666666665,-15.020199999999999
bollinger_lower,break_even_at_1r,T2,23,0.17391304347826086,0.11541304347826085,2.6544999999999996
bollinger_lower,break_even_at_1r,T3,8,0.0,-4.7509375,-38.0075
bollinger_lower,break_even_at_1r,unknown,59,0.22033898305084745,-2.255732203389831,-133.08820000000003
bollinger_lower,breakeven_plus_trail,T1ETF,3,0.3333333333333333,-0.8114666666666667,-2.4344
bollinger_lower,breakeven_plus_trail,T1a,53,0.32075471698113206,1.7460849056603773,92.5425
bollinger_lower,breakeven_plus_trail,T1c,6,0.5,4.384999999999999,26.309999999999995
bollinger_lower,breakeven_plus_trail,T2,23,0.4782608695652174,23.29286086956522,535.7358
bollinger_lower,breakeven_plus_trail,T3,8,0.625,18.045725,144.3658
bollinger_lower,breakeven_plus_trail,unknown,59,0.5254237288135594,2.6062084745762713,153.7663
bollinger_lower,class_time_stop,T1ETF,3,1.0,5.953,17.859
bollinger_lower,class_time_stop,T1a,53,0.6037735849056604,0.8096830188679246,42.9132
bollinger_lower,class_time_stop,T1c,6,0.6666666666666666,6.460666666666666,38.763999999999996
bollinger_lower,class_time_stop,T2,23,0.5652173913043478,12.39138695652174,285.00190000000003
bollinger_lower,class_time_stop,T3,8,0.75,4.876225,39.0098
bollinger_lower,class_time_stop,unknown,59,0.423728813559322,-0.5513813559322035,-32.53150000000001
bollinger_lower,earnings_blackout,T1ETF,3,1.0,99.06816666666667,297.2045
bollinger_lower,earnings_blackout,T1a,53,0.5849056603773585,76.49865849056603,4054.4289
bollinger_lower,earnings_blackout,T1c,6,0.5,31.52073333333333,189.12439999999998
bollinger_lower,earnings_blackout,T2,23,0.8260869565217391,172.2266,3961.2118
bollinger_lower,earnings_blackout,T3,8,0.625,33.9071,271.2568
bollinger_lower,earnings_blackout,unknown,59,0.6101694915254238,50.13800847457627,2958.1425
bollinger_lower,fixed_4r_2r,T1ETF,3,0.3333333333333333,1.4311333333333334,4.2934
bollinger_lower,fixed_4r_2r,T1a,53,0.4528301886792453,2.296866037735849,121.7339
bollinger_lower,fixed_4r_2r,T1c,6,0.16666666666666666,-5.976016666666667,-35.856100000000005
bollinger_lower,fixed_4r_2r,T2,23,0.4782608695652174,13.890334782608697,319.4777
bollinger_lower,fixed_4r_2r,T3,8,0.25,-2.0566750000000003,-16.453400000000002
bollinger_lower,fixed_4r_2r,unknown,59,0.3728813559322034,-0.33767457627118647,-19.922800000000002
bollinger_lower,hybrid_50pct_target,T1ETF,3,1.0,5.0411,15.1233
bollinger_lower,hybrid_50pct_target,T1a,53,0.5849056603773585,1.2486037735849056,66.176
bollinger_lower,hybrid_50pct_target,T1c,6,0.6666666666666666,1.9754333333333332,11.852599999999999
bollinger_lower,hybrid_50pct_target,T2,23,0.6086956521739131,16.076678260869564,369.7636
bollinger_lower,hybrid_50pct_target,T3,8,0.375,1.346875,10.775
bollinger_lower,hybrid_50pct_target,unknown,59,0.3898305084745763,3.165893220338983,186.7877
bollinger_lower,ma_exit_ema9,T1ETF,3,0.3333333333333333,2.5129333333333332,7.5388
bollinger_lower,ma_exit_ema9,T1a,53,0.5094339622641509,0.2688641509433963,14.249800000000002
bollinger_lower,ma_exit_ema9,T1c,6,0.6666666666666666,-0.3829166666666668,-2.2975000000000008
bollinger_lower,ma_exit_ema9,T2,23,0.6086956521739131,1.3276260869565217,30.5354
bollinger_lower,ma_exit_ema9,T3,8,0.125,-1.7612125,-14.0897
bollinger_lower,ma_exit_ema9,unknown,59,0.6271186440677966,1.3789881355932203,81.3603
bollinger_lower,next_pivot_target,T1ETF,3,1.0,6.354966666666667,19.0649
bollinger_lower,next_pivot_target,T1a,53,0.5660377358490566,0.24311698113207553,12.885200000000003
bollinger_lower,next_pivot_target,T1c,6,0.6666666666666666,5.5746166666666666,33.4477
bollinger_lower,next_pivot_target,T2,23,0.5652173913043478,9.594365217391305,220.67040000000003
bollinger_lower,next_pivot_target,T3,8,0.625,1.79905,14.3924
bollinger_lower,next_pivot_target,unknown,59,0.4915254237288136,0.21935762711864393,12.942099999999991
bollinger_lower,r_multiple_2r,T1ETF,3,0.3333333333333333,0.6739666666666668,2.0219000000000005
bollinger_lower,r_multiple_2r,T1a,53,0.4528301886792453,1.2509396226415095,66.2998
bollinger_lower,r_multiple_2r,T1c,6,0.3333333333333333,2.6049833333333337,15.629900000000001
bollinger_lower,r_multiple_2r,T2,23,0.5652173913043478,7.464847826086956,171.6915
bollinger_lower,r_multiple_2r,T3,8,0.25,-3.3038,-26.4304
bollinger_lower,r_multiple_2r,unknown,59,0.3050847457627119,-2.081749152542373,-122.8232
bollinger_lower,r_multiple_3r,T1ETF,3,0.3333333333333333,1.9691,5.9073
bollinger_lower,r_multiple_3r,T1a,53,0.37735849056603776,2.026918867924528,107.4267
bollinger_lower,r_multiple_3r,T1c,6,0.16666666666666666,-2.4922666666666666,-14.9536
bollinger_lower,r_multiple_3r,T2,23,0.391304347826087,9.14434347826087,210.31990000000002
bollinger_lower,r_multiple_3r,T3,8,0.0,-6.7470375,-53.9763
bollinger_lower,r_multiple_3r,unknown,59,0.2542372881355932,-1.47134406779661,-86.8093
bollinger_lower,regime_flip,T1ETF,3,1.0,2.7124666666666664,8.1374
bollinger_lower,regime_flip,T1a,53,0.6037735849056604,0.8381358490566038,44.4212
bollinger_lower,regime_flip,T1c,6,0.6666666666666666,5.582133333333332,33.492799999999995
bollinger_lower,regime_flip,T2,23,0.4782608695652174,8.475386956521739,194.9339
bollinger_lower,regime_flip,T3,8,0.625,2.3124375,18.4995
bollinger_lower,regime_flip,unknown,59,0.5084745762711864,0.9459525423728815,55.81120000000001
bollinger_lower,time_stop_10d,T1ETF,3,0.6666666666666666,2.8897666666666666,8.6693
bollinger_lower,time_stop_10d,T1a,53,0.5660377358490566,0.4562716981132075,24.182399999999998
bollinger_lower,time_stop_10d,T1c,6,0.3333333333333333,-0.22701666666666664,-1.3620999999999999
bollinger_lower,time_stop_10d,T2,23,0.6521739130434783,4.687139130434782,107.8042
bollinger_lower,time_stop_10d,T3,8,0.375,-1.8998249999999999,-15.198599999999999
bollinger_lower,time_stop_10d,unknown,59,0.559322033898305,0.1744898305084745,10.294899999999995
bollinger_lower,time_stop_20d,T1ETF,3,1.0,2.7124666666666664,8.1374
bollinger_lower,time_stop_20d,T1a,53,0.6037735849056604,0.8381358490566038,44.4212
bollinger_lower,time_stop_20d,T1c,6,0.6666666666666666,5.582133333333332,33.492799999999995
bollinger_lower,time_stop_20d,T2,23,0.4782608695652174,8.475386956521739,194.9339
bollinger_lower,time_stop_20d,T3,8,0.625,2.3124375,18.4995
