strategy,regime,trades,win_rate,avg_pnl,total_roi
bollinger_lower,neutral,152,0.4013,0.24,36.4832
bollinger_tight,neutral,108,0.463,3.2953,355.8931
cmf_flip,neutral,15,0.2667,-0.2729,-4.0929
cpr_narrow_bullish,crisis_CRISIS_FLAG,3,0.3333,2.8733,8.6199
cpr_narrow_bullish,neutral,23,0.3043,-0.8489,-19.5255
hull_rsi,neutral,7,0.1429,-1.0858,-7.6008
ichimoku_cloud_breakout,neutral,5,0.4,0.8007,4.0036
pivot_r1_breakout,crisis_CRISIS_FLAG,4,0.25,14.8179,59.2714
pivot_r1_breakout,neutral,95,0.3263,0.2997,28.4673
pivot_r2_continuation,neutral,16,0.375,2.4119,38.5898
pivot_s3_capitulation,neutral,3,0.3333,-4.8536,-14.5608
stochrsi_oversold,neutral,24,0.375,2.4355,58.4515
supertrend_macd,neutral,5,0.4,7.7159,38.5795
ultimate_oscillator,neutral,4,0.5,15.4117,61.6468
williams_r_oversold,neutral,13,0.3846,0.3613,4.6972
